,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25521,12.2,-0.1,1,82,1,-87,-27,-24,178,-66,90.0,60.0,37.5,112.5,-30.0,51.6752948072395,41.584012117842605,29.611387074415102,22.9963817851052,25.7622201725139,18.9872253398381,14.093349529991801,8.02488094284675,7.152983631489789,7.089961897248941
1,25359,11.9,-0.25,2,80,1,-78,-32,180,-11,45,105.0,45.0,105.0,67.5,90.0,52.1296657798515,35.3358846708746,27.342138906427802,25.6403514583927,14.654395861760099,15.042144244359601,16.9785447988467,7.1620198619298305,13.5161849536836,4.82820295995459
2,25360,12.05,-0.25,2,81,1,-82,-21,10,84,-16,97.5,67.5,90.0,105.0,67.5,52.688470922979896,36.5282872375857,28.818105491774602,24.5038726260787,15.872021249707197,16.7357985017928,12.1694705719945,8.14675682073346,8.98412137301912,8.407952611321571
3,25361,12.2,-0.25,2,82,1,-87,-35,-20,-60,158,90.0,52.5,82.5,-30.0,105.0,52.712695551051794,40.856783000573,26.7483082027491,25.6238098955765,22.416832050035897,19.7142198393312,14.5742754092837,7.897237697042621,8.123497905631059,10.178229289034698
4,25362,12.35,-0.25,2,83,1,-92,-43,-30,167,-63,82.5,52.5,67.5,105.0,-30.0,47.0747243099191,40.8707262484887,32.559334211146606,33.065174373701,24.8820660190489,18.4560431017222,10.1948680860406,10.285538810834401,8.15041931185832,8.63740428695104
5,25363,12.5,-0.25,2,84,1,-97,-21,-48,11,17,82.5,67.5,37.5,-30.0,97.5,49.222811959900504,40.3283217522836,30.1183560783996,20.5213217176865,18.1252419770733,19.1440583333072,14.035070388089599,10.634160641850599,6.964817833268159,5.8022587867107305
6,25364,12.65,-0.25,2,85,1,-101,-48,99,-31,12,75.0,52.5,97.5,45.0,90.0,52.7089039815456,33.043610180897495,36.0191092382329,18.9988967403373,9.35469665848893,22.3058363913892,9.034859009745631,17.2645566093451,9.457652049801949,8.83966987937917
7,25197,11.6,-0.4,3,78,1,-67,-27,154,-44,-14,112.5,37.5,112.5,-37.5,22.5,51.955373116515105,28.5303350063363,22.1101123754997,22.9869389667475,18.8560477754285,10.463231522787499,17.0335709402053,6.400528115645679,9.88721500705887,16.924281587526902
8,25198,11.75,-0.4,3,79,1,-72,-34,145,-26,11,112.5,37.5,112.5,75.0,90.0,50.5164034529959,30.364746558608605,27.879129183660602,22.921976244288,14.597247460973302,12.6511808138698,11.6950231464551,10.709119406339699,9.06507225813836,8.23600602207988
9,25199,11.9,-0.4,3,80,1,-77,-19,155,-28,-11,105.0,67.5,112.5,37.5,90.0,51.682136766925105,32.8483488919029,27.841436894731398,24.4761850199131,15.8951456752868,14.8754653719129,13.3243443731697,7.1850587080494295,10.1761948771967,7.20738311106209
10,25200,12.05,-0.4,3,81,1,-82,-21,84,17,-32,97.5,52.5,97.5,67.5,120.0,53.036005566014204,36.1314712896512,34.9956410115415,25.3656364050144,14.3133903345649,17.1406995546639,16.599350399388097,13.6007894366138,9.55228003828519,5.83419099464677
11,25201,12.2,-0.4,3,82,1,-87,31,15,157,-52,90.0,67.5,82.5,105.0,105.0,53.083850555824604,28.0629995850316,26.8196484758044,23.7211743423874,19.505680095668602,19.6476825856894,10.1164046108381,12.113060253645699,6.901936558650499,6.38101517831534
12,25202,12.35,-0.4,3,83,1,-92,-28,92,-52,-42,90.0,52.5,90.0,-30.0,30.0,50.877064078667296,39.0212621907334,34.681430349464804,27.7451400785353,19.0040898532787,21.8646263818048,19.411383578877803,19.82924333164,10.2432320342326,6.973806237475589
13,25203,12.5,-0.4,3,84,1,-97,-37,-22,132,-63,82.5,52.5,67.5,45.0,-30.0,50.721729326119004,42.7256304514004,28.5808829117446,27.3539464129196,25.9393851055938,23.2375676096701,13.972217566549098,13.5833239324624,22.993323820556302,9.28365837879214
14,25204,12.65,-0.4,3,85,1,-102,-49,-42,96,-69,75.0,52.5,75.0,97.5,-30.0,51.536683887789096,34.2967253364378,22.4561322340243,28.3467971185855,14.5899399792489,23.2651186112429,8.111356962681379,7.36590930913317,13.8990872754178,6.064212098902839
15,25205,12.8,-0.4,3,86,1,-108,-54,-20,159,113,75.0,52.5,90.0,97.5,97.5,51.900380699002,34.8802025456504,19.6769210139855,23.354131206974202,10.7153031630748,21.852807677768002,9.065864122905099,9.96085981462937,15.7707323152569,10.4797832679963
16,25034,11.15,-0.55,4,75,1,-50,13,46,-23,30,127.5,75.0,120.0,22.5,60.0,49.241674204606504,33.5404816824166,26.8253701165379,29.4619656693883,11.9059995391694,10.537363696784698,23.2449035670885,9.108039943316118,19.411290467013604,5.80139083984195
