,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,16232,10.85,-8.8,59,73,1,-10,15,-51,0,87,165.0,15.0,-127.5,135.0,15.0,50.131442736012794,29.1013660479558,30.2076398206979,31.5991100052326,18.3052770841125,21.4577829432392,11.3420792084412,8.521184454372,18.1331417985316,15.651698501679098
1,16233,11.0,-8.8,59,74,1,-13,-1,-128,13,-53,165.0,142.5,-127.5,15.0,-52.5,49.976838982518,35.0982321754418,31.6833055150591,29.8613605161547,17.83139019594,22.5615965536291,22.133095460507,22.107320692533197,18.3913110084532,8.53584662308605
2,16234,11.15,-8.8,59,75,1,-13,-2,-131,8,-130,165.0,150.0,-127.5,-67.5,-127.5,49.5201546710326,29.7555518589131,23.257339666747605,17.4259085334132,19.822305273673898,23.9919756298817,23.767523658822103,8.60147259732866,11.700044115605099,13.935809293852301
3,16235,11.3,-8.8,59,76,1,-14,-57,-141,-4,8,165.0,-127.5,-127.5,127.5,15.0,50.0207790015794,25.028313406259198,30.575462400710396,26.6535246871452,18.792970058670303,24.561681939752898,7.688436849583441,16.642064610514602,20.1989021130155,25.1185537184983
4,16236,11.45,-8.8,59,77,1,-14,-3,-2,-25,137,165.0,-120.0,142.5,-75.0,-127.5,49.8273265801542,28.653779901448804,26.7150485411639,13.0038881536359,15.191692346905802,24.6882353535427,8.66992143069295,12.9591239823721,12.7675617240635,24.550090602706
5,16237,11.6,-8.8,59,78,1,-14,-2,-133,-60,8,165.0,127.5,-135.0,-120.0,127.5,50.2089659790108,27.109925002389,32.9986511995436,23.477106547214103,12.390208411450601,23.367552400715798,23.031505065883604,24.612678396097998,9.34235815530267,15.605317665522499
6,16238,11.75,-8.8,59,79,1,-15,-2,12,-169,-28,165.0,135.0,15.0,172.5,-75.0,52.03937141732921,30.4344053906395,26.9417769787532,22.051698208149702,14.101028271033599,22.7836604394809,19.8659413790444,21.936165235739605,11.954009730629199,14.0897059315182
7,16239,11.9,-8.8,59,80,1,-16,18,-6,-169,-62,165.0,15.0,127.5,172.5,-120.0,49.1049045819884,29.361567791802802,26.2174567378506,23.1206035369275,22.2506421342243,21.433838148842,19.797092055557602,17.7308094979477,12.0355120829885,9.43549988136877
8,16240,12.05,-8.8,59,81,1,-16,-3,-65,-171,6,165.0,15.0,-120.0,172.5,22.5,48.6721926184064,29.770188435438598,25.9631705375874,21.3822537262032,17.4099042747705,19.6495189005045,19.6388098504987,9.75748728737306,10.805317571732699,14.471093725059099
9,16072,10.85,-8.95,60,73,1,-10,-53,2,13,22,172.5,-127.5,82.5,-75.0,15.0,50.12440068677979,36.517747706773896,35.4203174961528,28.113123313221998,20.4313168134854,23.712764755335897,10.376786611673198,20.6608684284375,14.930536209675699,17.3620167053691
