,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,21839,11.9,-3.55,24,80,2,-14,-53,-75,-27,-123,97.5,172.5,97.5,67.5,-52.5,45.8347529028193,29.348404985016604,8.46865002124758,8.36754222057129,-0.19385245945585397,14.5535620871053,9.112685238489972,5.77005639534268,7.69290488162851,3.6357292632968097
1,21840,12.05,-3.55,24,81,2,-74,-88,-84,129,131,172.5,90.0,90.0,120.0,97.5,42.028680917369705,33.665581568530506,30.1661083036819,10.037378018955302,1.39741947071758,8.9761838792393,8.24745081544595,8.56770828305172,6.30992974086555,5.652421391524941
2,21677,11.6,-3.7,25,78,2,-8,-16,-34,-30,149,97.5,172.5,97.5,180.0,-112.5,41.7991748612414,34.0673096352498,20.6795087289877,7.432413510672059,2.49572055928985,8.29946321579507,16.669613489471,8.18244117593382,7.451043641433361,6.430593250764081
3,21678,11.75,-3.7,25,79,2,-83,-9,-35,3,0,97.5,90.0,97.5,105.0,112.5,41.6184670945736,32.262655327999504,22.891616219316695,8.35677186495769,1.78258431760651,12.300213990260401,17.1723318264468,12.2732641216769,5.99052963697122,5.10936651070005
4,21679,11.9,-3.7,25,80,2,-56,0,-39,-10,27,97.5,172.5,105.0,-37.5,105.0,34.2272941667769,28.228732338737103,13.2094987406505,2.5887025622118904,2.82991381669234,5.67068434097823,14.8553355693644,4.87632038264087,3.24807493950036,5.92530238869481
5,21680,12.05,-3.7,25,81,2,-66,0,-84,-29,-110,97.5,180.0,97.5,112.5,120.0,47.562263871866996,30.526782675614,17.8227308954184,5.17504750703807,-1.7942865707471498,8.94411687328794,12.2503990149194,10.8350477712495,4.47625409903055,4.7817138494059
6,21515,11.3,-3.85,26,76,2,-7,6,180,33,-19,97.5,172.5,105.0,97.5,112.5,49.1826276338261,32.3114996696119,30.255627305872103,17.2306754318003,3.17112736707247,22.4597925292295,17.2758908319295,7.97684551388919,15.8941356039135,7.447691272684111
7,21516,11.45,-3.85,26,77,2,-12,97,176,0,0,97.5,97.5,112.5,82.5,120.0,46.41798338483849,31.229366099161602,29.1774947729987,20.416824624771603,13.002471471824698,17.992455576278502,7.92463126192755,6.46446629722477,6.553047083180539,5.87731686040549
8,21517,11.6,-3.85,26,78,2,-2,-10,91,92,3,97.5,180.0,97.5,150.0,120.0,38.775725575924795,35.542643547874,25.215260010335804,18.5413963670297,17.0157968488662,6.58649877834383,16.2393242879605,8.140785298701019,6.0425987792558,5.47396430131047
9,21518,11.75,-3.85,26,79,2,-5,-11,179,5,-82,97.5,180.0,112.5,90.0,120.0,43.494037537346706,29.553869954467803,22.2843008243652,20.485887683842897,14.1661207004351,9.571288101369241,6.64873096769024,4.80294128756325,13.7337824963483,8.5147709488472
10,21519,11.9,-3.85,26,80,2,-19,8,180,-2,17,97.5,165.0,105.0,120.0,112.5,47.0467647067968,31.360276017620603,26.2359109768528,17.829516354621102,8.02373735523531,12.6159973175253,15.229004597157099,8.55128899757589,19.1611824925608,6.27182511325451
11,21520,12.05,-3.85,26,81,2,-49,-26,180,3,-1,97.5,90.0,105.0,120.0,105.0,43.4014868388231,29.3782422196249,26.090801395016303,21.0207626585888,17.9638974538409,9.67712777956508,14.2489412186877,9.09727284814519,16.576326063517598,8.689404353304889
