,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,17077,17.6,-8.05,54,118,1,-147,-160,2,-9,134,30.0,60.0,30.0,15.0,82.5,51.5948531037316,37.7714734777552,22.7548483118399,16.3704941889928,8.01139546209669,20.7301047394355,16.019207401435303,8.84500893278008,9.22213772456114,5.64898706955924
1,17078,17.75,-8.05,54,119,1,-150,-164,-26,-31,-17,30.0,60.0,30.0,82.5,75.0,52.311696960519704,35.166327154068306,26.9227677905351,21.625335168795498,11.2482459493276,17.239158332674002,12.3860196286009,7.47397259096916,10.3866639818442,13.8111795283035
2,16914,17.15,-8.2,55,115,1,-145,-161,-9,4,1,37.5,22.5,15.0,7.5,82.5,49.6615733214608,28.8649018419496,21.8753101056457,2.77838753718447,1.3497803272718998,20.691537648436398,15.6511772359004,23.1941841798256,9.32004341834873,8.08660148029696
3,16915,17.3,-8.2,55,116,1,-148,-163,153,-14,10,30.0,82.5,60.0,15.0,37.5,50.8038953591656,37.8369576332899,21.056839839456398,21.6648941406702,12.3975390728723,21.772330592906197,15.4624947201412,10.179666950660199,11.808370370973801,14.118678699863
4,16916,17.45,-8.2,55,117,1,-152,-167,151,-8,-4,30.0,75.0,15.0,22.5,45.0,52.0805474491081,38.4830009714104,29.135176338165802,21.0365997838434,8.42226153364555,18.4759415720828,12.630843902835698,12.478755249165198,11.2676039659801,5.192808154847481
5,16917,17.6,-8.2,55,118,1,-155,-171,140,-4,-22,22.5,75.0,30.0,15.0,7.5,50.176708560707,40.3279487615782,27.727777839323302,21.637196179767102,17.9257017545466,15.673971787299301,10.0984227210118,10.8054221224388,6.49259598513473,10.0277062408821
6,16918,17.75,-8.2,55,119,1,-157,-174,153,60,-38,22.5,82.5,37.5,22.5,7.5,51.6026756124733,36.2657651892861,30.1184179723724,23.011333287577894,18.363777938109102,17.114450258346,9.31851320040402,12.132638967860599,5.15143563492961,9.32161332611358
7,16919,17.9,-8.2,55,120,1,-160,-152,151,137,92,22.5,15.0,37.5,22.5,7.5,49.950637499832894,34.6427833868484,32.0201042133976,11.153814469584699,7.00718175214467,15.0561528470718,8.18991000108253,16.026752024869403,6.84936804989758,9.335781505623439
8,16752,16.85,-8.35,56,113,1,-138,-162,136,-9,174,45.0,75.0,22.5,7.5,37.5,50.529571101989696,27.1461800995482,22.3279965967554,24.7087011813317,3.5941896141783305,19.9549510237793,9.949225671221939,10.6424245714029,24.814846645896697,6.85450509061419
9,16753,17.0,-8.35,56,114,1,-145,-167,161,-9,1,37.5,75.0,60.0,7.5,75.0,51.9619452178329,38.7615883923233,21.4447411247344,22.9759731441777,10.5016047942912,22.2742305867345,11.8602894377265,13.412455062902902,24.6042382487821,21.8812392157849
10,16754,17.15,-8.35,56,115,1,-150,-168,150,-8,-140,30.0,82.5,60.0,7.5,142.5,52.34816025033171,42.3725243214434,34.1812707661152,24.9191538376842,8.56670719209558,19.5795315562339,12.423659663012199,17.2584257225379,24.9033864162744,9.16776266789224
11,16755,17.3,-8.35,56,116,1,-154,147,143,-4,11,22.5,75.0,82.5,75.0,22.5,52.538392691139606,34.4668004610835,32.357837639595104,22.655347106361898,13.0052719886372,17.8065865860744,7.314199991303759,11.6171668679672,20.90923268168,8.962651249683711
12,16756,17.45,-8.35,56,117,1,-157,142,-176,33,-5,22.5,15.0,82.5,37.5,82.5,49.7856318989865,42.1133231070481,31.554829542687504,29.1885203586918,24.4909398532258,12.6392708018346,15.5408060026052,9.552875967485699,19.5938512561538,23.195577400384497
13,16757,17.6,-8.35,56,118,1,-160,168,59,-4,-4,22.5,45.0,30.0,75.0,82.5,49.68454409661221,34.7541552481482,31.877904356753604,24.0185762393787,21.634090112782502,16.4897304422901,6.83362352087001,7.47074988078966,13.5626050411174,10.151331291194301
14,16758,17.75,-8.35,56,119,1,-161,149,179,-14,-4,15.0,45.0,75.0,22.5,82.5,52.60452599650821,37.51836444642171,28.4600300645047,24.2992341679603,27.3237187591598,15.529973352653402,13.799062110761499,6.45921664970855,4.64550967413291,17.5343865523143
15,16759,17.9,-8.35,56,120,1,-164,146,-155,108,-5,15.0,45.0,82.5,37.5,7.5,47.999410385910394,40.7027910689898,30.8567840626105,19.0388460341579,18.3811341042511,13.535258287447,12.3389375527406,5.37041202602242,10.8559465522399,10.228805896877901
16,16590,16.55,-8.5,57,111,1,-124,153,-6,44,-135,60.0,82.5,7.5,60.0,-135.0,51.543192516873106,33.6028140991013,23.834869523843697,9.84240654864522,11.691138922022299,25.3892080828126,13.962828292976301,25.6139312505047,7.106795135540169,12.9508170205764
17,16591,16.7,-8.5,57,112,1,-139,170,144,-165,133,45.0,75.0,97.5,105.0,-135.0,49.0471984248516,36.074307388174,23.8410590830124,8.84724299495696,17.3851256569782,23.1304177352179,9.95738640808613,11.9748251591278,4.54123962420417,22.0175423133459
