,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15593,11.0,-9.4,63,74,2,-71,78,143,-98,70,-172.5,-22.5,30.0,105.0,-45.0,22.700630011532898,1.23418174371699,0.842568293356521,2.01026248902372,2.33484122730249,11.747531220045301,3.22498476341244,3.1407028090947504,3.6178677075898396,3.52753718231723
1,15594,11.15,-9.4,63,75,2,-73,-30,178,42,-91,-165.0,60.0,-127.5,15.0,82.5,15.7334159720237,1.6103652757501,1.1120474521278,0.0495835854262054,1.7076810709171497,11.8422385613115,4.932931350883901,3.1955607710821803,2.6527447213195097,4.36886733569334
2,15595,11.3,-9.4,63,76,3,147,118,-9,-152,127,-172.5,-15.0,112.5,-165.0,-52.5,2.35194422554088,2.9038278029831295,0.8063320004872591,1.8366675327362099,-0.0869630868062927,3.8396971526712598,4.70575139590934,3.07648690296746,4.02650149970478,3.09298628419185
3,15431,10.7,-9.55,64,72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15432,10.85,-9.55,64,73,2,-69,-28,-118,-50,-86,-165.0,52.5,-15.0,90.0,-30.0,35.802526254087404,-0.144874407795896,2.43066952650742,-0.0471996846252409,1.95060133090828,11.230332034319101,3.283400318253,5.42224166182972,2.94760171444721,3.89695044245764
5,15433,11.0,-9.55,64,74,2,-70,-83,98,18,92,-165.0,-82.5,45.0,-120.0,-67.5,32.6191477084423,3.79935270214594,1.55788356662481,1.8781788326896798,2.1440496149440897,11.6334117275737,5.756153086450161,4.2691050469975,4.31138175190681,5.55510161421061
6,15434,11.15,-9.55,64,75,2,-69,161,154,154,-114,-165.0,-30.0,-172.5,142.5,-97.5,19.6043320665903,4.20865494545086,4.32504425819872,1.0378264161663,2.44087669687451,10.9355800444971,4.9763093239066105,4.4106002582912005,2.9186290657455998,4.531028191577571
7,15435,11.3,-9.55,64,76,3,-169,-12,-23,-3,-72,22.5,97.5,-127.5,-105.0,-82.5,2.50501583321915,2.3551062325365097,0.959776989215868,0.384051821878757,-0.0273285603135491,4.28108804448449,3.83503052915388,3.74037865018079,3.21361307432223,3.4262444427367202
8,15272,10.85,-9.7,65,73,2,-68,-118,-7,145,113,-165.0,7.5,67.5,-127.5,-15.0,33.4792275504065,1.49557428418109,3.27004886164968,3.71461982334137,1.89478825161603,11.0100081948593,2.78056555797632,4.18179462440236,5.2308235246260395,4.16199263473933
9,15273,11.0,-9.7,65,74,2,-69,168,-34,0,60,-97.5,-22.5,172.5,52.5,90.0,18.790286752821103,0.266666377009756,1.5788106163804498,3.34548286670434,0.0252882576606908,11.1031738754428,3.4349957958552597,3.96788797302687,5.41020721646041,2.94687835244829
