,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,17539,14.9,-7.6,51,100,3,-44,-22,-13,-31,156,52.5,75.0,-127.5,-135.0,75.0,16.1437813463339,12.0806394266195,4.08655906031748,3.3682446206798304,5.3538127047737,13.884269663431802,16.691675332279697,6.17259757678597,5.89983114385014,5.81769341666878
1,17378,14.75,-7.75,52,99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17217,14.6,-7.9,53,98,3,154,94,29,20,-97,90.0,-157.5,105.0,135.0,-22.5,2.49643402306805,3.0130775575164503,0.6270621856538701,1.3691879730113798,4.01498283352817,4.13087153000288,4.87720591866446,3.2747197461445294,3.63533428889369,7.02158882403757
3,17056,14.45,-8.05,54,97,3,-80,33,-9,-39,-11,157.5,-15.0,-142.5,105.0,142.5,0.44419662216921596,3.46774175753427,1.7513876923873701,2.50738427550289,2.0924546086394598,3.94209075164021,4.53180410751271,4.86575035113073,4.09201686469635,4.59629153625992
4,17057,14.6,-8.05,54,98,3,-154,106,78,-141,34,30.0,120.0,90.0,-15.0,-120.0,4.16327625779468,2.57141210679868,2.11682196481638,1.64573832230627,0.7266272676607171,4.490357734795,5.0111341131968095,4.29347405423891,2.8616748861129397,3.56982628413392
5,16895,14.3,-8.2,55,96,3,109,-26,-176,-104,-146,-157.5,-37.5,-112.5,-165.0,67.5,2.64209956113848,2.4649553843463,1.12774401142968,3.33311118745115,2.1717500999552,4.03640284169189,4.780640281278269,2.92785498558425,5.6052700150778305,4.50941669354925
6,16896,14.45,-8.2,55,97,3,99,-9,-25,170,42,-112.5,82.5,105.0,15.0,-142.5,2.0231300538075603,1.37461847631681,2.38214917502307,-0.596695498296981,2.7597778269722,4.07729297819345,5.24985821530754,4.35703257827285,3.4678889711446694,4.37134630308221
7,16897,14.6,-8.2,55,98,3,148,-23,126,-12,-89,-67.5,75.0,22.5,105.0,180.0,3.56253812437677,0.7559830005246791,4.3456727935602,1.0755685014840999,0.0376280065922856,5.56947652573081,3.61843160233359,6.10186739785015,4.89461535787699,3.3097623757745405
8,16898,14.75,-8.2,55,99,3,122,-2,-6,118,128,97.5,97.5,-52.5,-52.5,-15.0,2.45782215799943,2.3853892275161,0.59900301666471,-0.23171465396922,0.903205736257917,4.73009406494398,4.97164719198414,3.3430548452602,3.1142621109024304,3.6275755907705802
9,16735,14.3,-8.35,56,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
