,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,18976,14.45,-6.25,42,97,3,-13,-21,41,-44,111,-97.5,-165.0,-15.0,-52.5,-7.5,21.6864463242281,15.0963112476227,3.0394719151333303,2.28058827631094,3.75995701704494,14.6114262249279,13.1393847943329,4.686170818486,4.4593258215072105,7.699547176399371
1,18977,14.6,-6.25,42,98,3,-21,-4,-150,122,-84,-157.5,-105.0,75.0,120.0,-105.0,31.654499156942602,16.156544341495,2.2603615272763,1.6825872351996598,3.35461953748671,23.7320152069552,18.495927661001698,4.5592809898655196,4.08556090098977,6.484132481290571
2,18978,14.75,-6.25,42,99,3,-21,-7,108,4,-33,-165.0,-105.0,-150.0,-22.5,120.0,23.330348364538697,14.4990851740342,2.28306807114956,1.26888029625098,1.46346743438647,22.3583481464578,16.6920696764139,4.08986837779527,3.8415721547089703,4.3206850500805
3,18979,14.9,-6.25,42,100,3,-7,138,126,-112,20,-97.5,135.0,157.5,45.0,45.0,23.002806444436196,1.9488645231375,4.65168362224767,0.41219175343945796,-0.0727635942570828,21.618438086060902,4.0556668695054,6.3893781189565395,3.3487554827698798,3.3308298978241098
4,18816,14.45,-6.4,43,97,3,-12,-99,29,-93,112,-97.5,-150.0,-165.0,120.0,157.5,19.8200418737005,3.04614079504739,0.0327307320085879,0.146795241938491,1.2881141342251698,20.2824937383498,4.38956086764475,2.72939714266895,3.00700926036962,5.11468611910667
5,18817,14.6,-6.4,43,98,3,-16,10,-4,-51,127,-105.0,-15.0,-127.5,-97.5,112.5,19.700562158197,1.9433564933756298,0.17810163652057998,1.6634153323908503,-1.61736805915524,17.541125277111302,3.59949539002118,3.23699122019665,3.2747894871609198,2.8556166129556604
6,18818,14.75,-6.4,43,99,3,-14,-79,-80,106,-144,-97.5,0.0,157.5,112.5,75.0,20.500736741125102,2.80633454245168,1.06174522251507,0.37729236027240604,4.41064753558987,16.9030276004566,4.5212862623186,4.11716018580762,3.6688554523837,5.87207004924695
7,18819,14.9,-6.4,43,100,3,-20,-4,96,120,-145,-157.5,-97.5,-67.5,30.0,97.5,28.335360281778,16.7043229009533,3.32203403985119,2.76657890912549,3.21371792253927,23.7754975279236,18.000971486559102,4.6908436477510795,4.910857188146691,5.32379731339687
8,18820,15.05,-6.4,43,101,3,-21,143,-154,-5,-50,-165.0,52.5,-112.5,-15.0,-150.0,27.5446781540693,0.6407688944869959,1.2837661584962299,0.514662461191676,0.309941814057481,23.649723488018697,3.47983826663598,2.99028078648826,3.4046579939966297,3.26490116151683
9,18821,15.2,-6.4,43,102,3,2,107,-132,99,144,-97.5,-37.5,157.5,112.5,-142.5,17.3126006907406,2.90739872034004,2.21227276216285,1.51587114424467,0.5353830495838,17.975605216148,5.408299088773741,4.7927698835570895,4.525860736691969,3.79302135512244
10,18822,15.35,-6.4,43,103,3,1,-171,95,-82,-91,-105.0,-172.5,-45.0,157.5,-22.5,19.1777691314985,2.52612678922299,1.2960639767447901,1.047269764688,1.03827231044471,19.028186588830103,3.41407767029491,3.84580435043216,4.07792625513758,2.92145560947181
11,18823,15.5,-6.4,43,104,3,2,-171,-168,136,36,-90.0,-150.0,-105.0,135.0,157.5,18.4452764356607,2.3809059562609,3.0115430720176697,-0.16104252641474698,1.14974794156626,15.9122541999905,2.77296602301265,4.73019087980114,3.23672016145176,3.61502390867868
12,18824,15.65,-6.4,43,105,3,3,150,-100,-9,-87,-97.5,-7.5,-135.0,45.0,120.0,23.656292427633602,2.76914257021969,4.11166964338639,-0.337608675157696,0.6221518335332801,23.6796522202215,3.62575791217367,7.533275068620269,2.96351656237337,3.0813087892079998
13,18825,15.8,-6.4,43,106,3,-63,5,-16,88,-118,150.0,-105.0,-30.0,45.0,7.5,36.608839215386894,17.2163776433649,3.4805627361882903,2.58376745915342,2.5832493399662404,10.076123864254301,12.97579257532,5.38228689838001,4.8700484152689905,4.97166226061372
14,18826,15.95,-6.4,43,107,2,-65,-83,-15,-111,171,150.0,-105.0,-165.0,-37.5,-157.5,31.4919411255775,22.645435032797298,0.732709585905695,0.41130354320432594,2.53557576756623,10.4032189814469,16.8714765730844,3.1339794697357006,3.56934789027479,3.8868349097212795
15,18827,16.1,-6.4,43,108,2,-78,10,-61,99,-139,-97.5,-97.5,-157.5,15.0,-142.5,36.6327767757783,23.1123351046653,14.9182545212166,3.28931688169757,2.867378056468,13.2671729217764,16.8375794557349,6.97313600554938,4.40441356002532,5.565861546926401
