,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25495,8.3,-0.1,1,56,2,-37,99,-3,140,-53,22.5,-135.0,15.0,-135.0,-165.0,21.947736904685698,3.07266561516059,1.8253450265460198,2.5083637185806,-0.6214305647368411,15.9902015811917,5.643966028096,3.47887477288092,4.8924656688373,2.87064778471066
1,25496,8.45,-0.1,1,57,2,-38,125,-111,140,160,22.5,-105.0,-112.5,105.0,30.0,20.758095686714498,0.6983602396086329,1.54165351616308,1.6631347126321399,2.22209152028506,16.7205415199462,3.7406642035629396,5.1097408372777595,3.84295164722188,4.48342054195556
2,25497,8.6,-0.1,1,58,2,-38,-130,119,-122,126,22.5,172.5,-75.0,90.0,-97.5,20.048066521050803,4.374575816834859,1.82734933179319,0.831037205359053,3.06904186181697,16.236209873666102,6.3061623884328695,4.09663152523063,4.1493905059451,4.24707100793996
3,25498,8.75,-0.1,1,59,2,-39,161,-93,170,-146,22.5,97.5,150.0,-82.5,-82.5,21.5704534269947,2.0908283017595903,1.04231143888893,1.1443454758134,1.8441156018838603,15.377992442689099,3.7185131294218303,3.6969291876993595,4.035375328926,4.506127317521809
4,25499,8.9,-0.1,1,60,2,-39,147,-155,-116,-112,22.5,-150.0,-142.5,-67.5,-60.0,20.9087348779195,1.48321996462704,2.19972551384615,-1.12195289582036,2.08436074651985,15.510422673072801,4.2521660450165,5.2186549069572505,2.9831753189668198,4.35433431040635
5,25500,9.05,-0.1,1,61,2,-39,17,-167,-91,-23,30.0,15.0,97.5,-75.0,180.0,18.617151036122802,2.2827802069907595,-0.6439341607539859,2.4471233271310697,1.0692345398474599,15.7331550498139,3.82087841735318,2.99394048379184,5.60331080870308,4.9259504227276905
6,25501,9.2,-0.1,1,62,2,-39,42,144,94,108,22.5,-135.0,142.5,15.0,75.0,15.8272103932545,2.08932997475597,0.9295992377425359,1.86424869571857,1.5848093803977001,12.218440571624598,4.6859746268813,3.48024659995161,3.9618805880405,3.83977182064982
7,25502,9.35,-0.1,1,63,2,-41,-15,3,120,-132,30.0,112.5,120.0,127.5,142.5,19.284007720373896,2.90332773788043,1.2243555394702,1.5830113322788302,0.571992147899948,15.483933399528802,4.47541337725736,4.7663206548229,3.9445639657522005,3.73069315465677
8,25503,9.5,-0.1,1,64,2,-132,-43,-32,7,122,-7.5,15.0,15.0,150.0,-150.0,16.4978562172948,12.709011848744801,-0.267485343099224,2.02761797473221,1.5473525600539801,20.337238283732397,10.9701264747705,2.7901579490941604,3.9476905997375,3.43364030532521
9,25504,9.65,-0.1,1,65,2,-42,78,-125,141,149,15.0,150.0,-105.0,22.5,-127.5,10.3239509053919,3.0727346641355697,1.7649090220051598,3.51825341209366,0.627078570256288,10.644212902399198,4.14260904202007,4.16034985516151,4.02102545304584,3.6389485985702597
10,25505,9.8,-0.1,1,66,2,-43,-132,15,143,-138,22.5,-15.0,150.0,67.5,-157.5,15.9873305059312,4.28342974051674,1.76833619307376,-0.0311190866582365,5.23838288960258,12.6495898747438,4.6648534116487905,3.77278912923123,2.39653847897971,7.77273593809182
11,25506,9.95,-0.1,1,67,2,-42,-146,-135,-129,-17,22.5,90.0,82.5,-150.0,82.5,21.5192715426647,0.531721125162846,3.4925465082412797,0.39165546288017994,3.0181025652164,14.3650095137938,3.05391718321081,5.29696672524583,3.1361270426140497,5.03996808888449
12,25507,10.1,-0.1,1,68,2,-43,168,129,138,-90,22.5,37.5,-75.0,142.5,-142.5,20.4214300311614,0.5628301278085811,3.58676252735205,0.8075362519055029,3.4076143529912297,14.824682071898199,3.48885630491473,5.160925032422139,3.38710657330122,4.61887036092798
13,25508,10.25,-0.1,1,69,2,-59,-14,-132,124,-40,90.0,142.5,-157.5,-112.5,-112.5,1.4888770847956,0.681581169161291,1.8329448875216499,1.60695217963365,0.595428914105241,3.49197319851712,2.7026024148150003,3.8292832361047595,4.60033478820167,3.2571731325446804
14,25509,10.4,-0.1,1,70,2,13,162,30,91,-157,-37.5,-15.0,90.0,127.5,7.5,2.52771213454906,1.5961253490538099,0.9135933353717289,1.40598922380292,-1.2853918815029601,3.99973162020254,3.5785715372452302,3.5932571380908,4.24682116127258,2.8045360926294203
