,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,20241,12.2,-5.05,34,82,3,178,119,164,-105,96,180.0,0.0,150.0,97.5,165.0,14.768053896612198,1.8959328631817702,2.6571767018626202,2.36017860588566,2.34882827309565,9.494772065663401,3.49733653099277,4.71985637780612,5.47106588686139,5.04509996240201
1,20080,12.05,-5.2,35,81,3,-89,-105,-29,11,1,-172.5,97.5,97.5,-120.0,-172.5,22.738047438444,2.04080796064608,0.318668799138209,0.541520956060651,1.30348846144636,20.5701168720515,3.91388921464984,3.44732137936228,3.45311189241987,3.43153761444892
2,20081,12.2,-5.2,35,82,3,-107,-148,-112,153,-98,-45.0,45.0,90.0,-60.0,165.0,1.80969257078686,0.363491870491089,1.29336231110176,0.849259934056136,1.1789229307644298,4.176683016217391,3.4299256361486203,4.40525593625283,4.2090901140104195,4.15860737181039
3,20082,12.35,-5.2,35,83,3,84,-169,-92,-128,-153,127.5,120.0,-112.5,-105.0,150.0,2.49121940429586,1.60273109584591,1.0917909643719101,2.02282672724266,1.64400484917115,3.45912918118624,2.8102485973197595,3.86560697781493,5.02770084775746,4.3892701584269
4,19918,11.75,-5.35,36,79,3,-47,-78,-90,-31,132,135.0,15.0,-172.5,7.5,-97.5,30.065986410461896,27.035561928200497,15.882582776061499,2.8739492921585,0.148446949753065,12.5235077713483,14.088738935188001,17.795822454298502,4.66999395516423,2.93510574888372
5,19919,11.9,-5.35,36,80,3,-127,3,113,154,-179,97.5,-142.5,112.5,105.0,37.5,2.8384686623647304,0.548745970504058,2.7811291135797696,1.14218758754038,0.939747469328893,4.562764624456481,3.72443788023647,4.459686958850139,3.9834138819634997,3.06046981766061
6,19920,12.05,-5.35,36,81,3,-89,-116,-103,110,-102,-165.0,60.0,142.5,-45.0,-172.5,21.879991796254803,20.968779427650603,4.97347602517846,2.11080121755703,2.4193154977158398,19.8458262984416,23.9708346232974,7.55856514985006,5.34689528028463,4.78261571367791
7,19921,12.2,-5.35,36,82,3,16,134,32,104,-122,165.0,-165.0,82.5,-90.0,-120.0,2.48274158220323,3.76837867016684,1.1553195616068601,1.09032619726605,2.2870920056612403,3.9904086403440804,6.55966209112908,3.7256158130901005,3.3872104116206097,4.612391396908549
8,19922,12.35,-5.35,36,83,2,-125,-135,108,116,-26,135.0,135.0,30.0,-37.5,-165.0,22.914379071726398,10.246870908426802,2.01805645111165,0.17829437300878198,-0.255516121063749,24.765355628986303,9.75729641895726,5.15916005317793,3.7301660360443596,3.30920457777189
9,19923,12.5,-5.35,36,84,2,-128,-10,-111,-141,116,135.0,-127.5,-30.0,-150.0,165.0,33.202425247130606,1.4589250555054598,3.62818251766657,2.49871048996022,1.7151587729046003,25.6845266866961,4.0250639328050095,4.89771807680852,4.11774551331907,3.97080850380332
