,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,19452,13.85,-5.8,39,93,3,81,-75,-13,-45,29,-30.0,-67.5,-142.5,-7.5,-15.0,0.8828907423579151,1.55459002797829,1.00944940294363,1.70232081448847,2.2904153942525296,4.01604372642616,3.77700504269317,4.18643749317913,3.8789204090993703,3.99707430658992
1,19454,14.15,-5.8,39,95,3,174,29,116,49,-43,105.0,127.5,-150.0,142.5,-120.0,2.2810280321588197,1.2479179856308602,0.8870993363381671,1.8407318788673002,1.74243703501804,3.56748999901187,3.9413387549697103,3.8597506452969506,4.24021902511788,4.09348222240832
2,19292,13.85,-5.95,40,93,3,-16,-28,-146,-93,-70,75.0,90.0,97.5,105.0,75.0,22.283945381062104,4.18386815803945,1.7299937341425702,3.75088883559482,2.26011501699918,21.2953961866927,4.62847810685324,4.56368931465704,5.54050931309394,4.14175923113385
3,19293,14.0,-5.95,40,94,3,96,44,-154,-124,82,-52.5,60.0,150.0,105.0,-60.0,0.410530255578237,-0.69600132328236,2.2616100691175203,4.132250236625911,1.4001368421668898,3.1751138032515698,2.70124902758901,4.29568579824537,6.701870303072179,4.32585022224957
4,19294,14.15,-5.95,40,95,3,-45,-14,-136,5,129,67.5,90.0,-90.0,-67.5,0.0,23.7204987343242,2.5318463421832003,4.17121067911836,1.4690211303090501,2.88379468558975,13.757157945034402,4.1596509762775895,4.9920586100125,4.55288169169566,5.8181966578013204
5,19295,14.3,-5.95,40,96,3,40,-27,86,-50,-121,0.0,-172.5,-90.0,-112.5,-37.5,1.7778808926271399,0.5858192955772671,0.529872414499323,2.0054298985098202,2.2904432611509304,4.71275145049085,3.4969215735367203,3.6061448211281,3.81445819795644,3.19921165399408
6,19296,14.45,-5.95,40,97,3,-49,-31,-157,124,154,97.5,67.5,7.5,22.5,-112.5,25.948045732438104,14.2780956340204,3.8589715951483194,2.59571764496172,2.9147314234882598,11.308221495731,7.14792099262235,5.8911555614841,5.04855377149798,4.30706791754318
7,19131,13.7,-6.1,41,92,3,-114,-19,-80,22,85,15.0,-15.0,0.0,37.5,135.0,0.0539290601436733,0.341899294591997,0.597712194373116,3.05659289740248,3.58174560758835,3.12216858844926,3.2549293139449196,3.1900421928746803,4.6334844984476,6.047664404158441
8,19132,13.85,-6.1,41,93,3,-158,-20,125,117,-17,82.5,-60.0,-60.0,-150.0,172.5,3.18370269396729,2.17090223053464,3.8607829497524304,2.37991594611589,0.696493637428546,3.4831830067791003,2.99793224168103,5.2280016108233305,5.27298474941508,3.47491782244405
9,19133,14.0,-6.1,41,94,3,-37,-23,152,-124,-16,82.5,-127.5,-142.5,120.0,-67.5,12.870867846124199,3.3249743303427404,2.75285118657104,3.21960036661847,1.2443266950518301,15.389697072967902,5.92199289642884,4.558766893329639,4.63456213118498,4.120409312104069
10,19134,14.15,-6.1,41,95,3,6,-102,5,-37,-93,165.0,60.0,-52.5,-7.5,120.0,2.6022342712989803,3.1153024480689706,3.4318026258307004,1.42869032157211,4.1496881839496496,4.47343398025859,4.35469747934151,3.5372511958796204,3.94399809227165,3.66707678750505
