,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15943,15.5,-9.1,61,104,3,-44,92,149,123,-111,150.0,-90.0,7.5,-135.0,120.0,19.3849968703503,0.620801620904729,2.5396482031312595,2.5098712394126297,0.60430937117377,13.630872213266402,3.7260453117681496,4.14078517898042,4.4083672308657,3.7515656537516002
1,15944,15.65,-9.1,61,105,3,-35,-85,99,12,25,142.5,-157.5,82.5,-127.5,-135.0,20.5345704807001,2.17539616904122,0.9911998450073158,1.9003568385379601,1.93211056950861,12.2170590877706,3.58770733645448,3.08882352328856,4.74017657611308,4.903326447553019
2,15945,15.8,-9.1,61,106,3,-49,-168,-96,136,28,150.0,7.5,-120.0,0.0,90.0,29.2155107471449,1.9821738902061299,3.8456051950520895,4.60717449160393,1.5714804681925902,11.448831254565,3.52343320170611,6.536281568756371,6.8823269659911706,3.32341190321244
3,15946,15.95,-9.1,61,107,3,-96,-144,139,-122,16,150.0,22.5,105.0,142.5,-60.0,20.813491789732,2.05151235281318,1.68858092521828,-0.570605701839725,1.1677733726908202,10.2360060986028,3.32217522646929,4.32963251220033,2.8145786904513503,4.29952618692258
4,15947,16.1,-9.1,61,108,2,-117,-142,108,-37,135,150.0,-52.5,120.0,-157.5,120.0,31.817324005848103,18.2528378701005,0.7853930435228449,0.557831981486629,3.1642776030797704,17.402767878753,19.298584632137498,2.54376680137043,3.8005269615122597,6.09576711292205
5,15772,13.85,-9.25,62,93,3,-40,-141,17,10,-27,142.5,135.0,67.5,-172.5,-15.0,36.8262810307871,19.5032959645977,1.74963032561215,-0.186587185731582,2.05856454865449,14.549563779042598,19.955679346916,5.179715201610941,2.8769889200302403,5.058388506192401
6,15773,14.0,-9.25,62,94,3,-64,98,139,-20,153,142.5,180.0,-112.5,-97.5,30.0,15.3024912838777,-0.11472258192998198,3.1553828669960398,4.321115413634169,2.28531434501639,8.756016397184741,2.9728573663066804,4.09353860196593,7.407156886660559,5.463280009365509
7,15783,15.5,-9.25,62,104,3,-32,-94,14,-163,97,150.0,142.5,-30.0,135.0,67.5,22.4412072791253,2.63055367848085,-0.0475763881172497,1.04761554527943,1.32905697190955,17.9859262578911,5.01303361741378,2.6641016123165495,4.15215007585526,3.63314190825829
8,15784,15.65,-9.25,62,105,3,-42,31,-7,-26,-26,150.0,142.5,120.0,37.5,-45.0,19.260005083905398,5.05730596008516,0.8189554248442622,1.9046247764559299,0.614417172847425,10.258057951088999,6.6658502536488,3.64995773281392,4.98388604741187,3.35841008651352
9,15785,15.8,-9.25,62,106,3,-136,-143,-89,-1,130,150.0,150.0,-82.5,-105.0,0.0,13.418632426165301,4.69235476735082,1.5415117320648601,0.42475050082254,0.552571528206158,6.118871297411269,4.55675039114974,4.41650403910755,3.6284136512415297,3.76092586871301
10,15786,15.95,-9.25,62,107,2,-145,-120,-111,113,1,150.0,165.0,105.0,120.0,-30.0,34.8329956048738,14.0724655492429,0.81359983515506,1.3323190340287299,0.9327778405929621,16.9964044140803,12.7656515360289,2.8743605195266495,3.6522681372507,4.10173013444302
11,15787,16.1,-9.25,62,108,3,-152,8,139,-27,128,142.5,0.0,-22.5,90.0,-22.5,2.29458413874585,4.246446044433701,0.337913715858974,1.97445515389762,4.82927859991196,3.89136226387318,6.263469138716661,2.93083898849429,5.5334749167140105,6.38439347999831
12,15612,13.85,-9.4,63,93,3,-34,13,84,29,11,142.5,-30.0,-172.5,-22.5,-15.0,33.0133807773705,1.01731688130963,1.5904896915250801,1.8507841799555,1.23737553753796,19.039226732617397,3.30442208467151,3.46302102046605,4.42033968049192,3.54977870117284
