,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15465,15.8,-9.55,64,106,3,-63,-131,125,153,37,142.5,142.5,82.5,-157.5,-112.5,14.0763825981725,3.52810779325557,-0.21479132387270303,0.754073179352304,0.23505342068386897,9.31116692682407,4.19995814814021,3.00357682038656,3.31686650530492,3.66525312583374
1,15303,15.5,-9.7,65,104,3,-38,-25,-16,41,-139,142.5,142.5,120.0,142.5,-142.5,39.7728206660373,36.798883750887,2.09056760912648,-0.0452533636526482,1.49804571515119,13.0320420818806,15.7271895250835,5.31660552295442,3.2258854002315998,4.945820111091519
2,15304,15.65,-9.7,65,105,3,-34,-52,-75,-95,-107,60.0,142.5,75.0,60.0,67.5,41.2297845338912,31.3432667719861,22.5326018160093,9.36424473815674,4.44747789538121,18.8696829133087,9.71111415825459,7.463753664670019,12.267962281394,5.638204506228121
3,15305,15.8,-9.7,65,106,2,-56,-40,-95,-109,149,60.0,142.5,67.5,67.5,-52.5,46.4174728275607,13.579050142098,11.877185424614902,-1.3296693311893402,-7.74576576007854,10.218226556816699,15.1243015760374,22.5521642048084,11.6023478981074,5.996310789721051
4,15306,15.95,-9.7,65,107,2,-63,-101,-115,107,147,60.0,67.5,67.5,-7.5,-67.5,33.6879604265118,29.397889249425603,19.448272018390398,3.1872899683151,2.3162389090752002,8.34710448336504,17.4329598168477,23.5906995163873,6.487456621779799,5.421197603921981
5,15142,15.35,-9.85,66,103,2,-13,-36,-69,132,110,60.0,142.5,67.5,75.0,52.5,39.6766625179534,33.491862571311195,18.0164788121547,13.108929734065402,7.04813400957181,22.2514841267383,14.762765110727802,6.938446100379781,16.103428395569402,6.525188169000349
6,15143,15.5,-9.85,66,104,2,-15,-38,-25,120,-1,60.0,142.5,82.5,-172.5,-75.0,38.222585420451104,30.2111633411058,9.28101851137501,1.2487632261378998,2.5283258026907403,18.5863429352243,15.7320930649277,9.49298035083482,3.80772587079446,4.3238898048062095
7,15144,15.65,-9.85,66,105,2,-20,-40,-72,122,-30,60.0,142.5,75.0,82.5,127.5,45.2197313441961,41.673429733052004,27.1953612821878,20.41162477795,12.0832988829655,23.619753633106605,14.9269823478792,8.54718920594668,14.219629508798802,10.791175068017399
8,15145,15.8,-9.85,66,106,2,-26,-45,-95,-97,-111,60.0,150.0,67.5,67.5,90.0,47.776651835292704,31.493465388938304,20.1153837282525,18.542257923687803,2.6683480611857204,22.325153415760603,13.790709741330199,11.1456426647048,11.507024130364,5.29092007202837
9,15146,15.95,-9.85,66,107,2,-57,-118,-104,-40,-80,60.0,67.5,75.0,142.5,90.0,46.3479319550804,32.1290817969482,26.5202081501831,19.8444679360118,13.9170707177455,10.0745227779117,14.9968808196683,24.522146721554197,10.366156414175,7.78063693068151
