,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,21185,9.8,-4.15,28,66,2,-121,-72,-107,-164,-82,-60.0,-15.0,-52.5,-75.0,-45.0,29.913245568450797,28.4300669231678,27.3948807294194,22.7836914860044,9.574179855798661,19.0646624453463,10.510756926687801,22.303019305925,13.0777915378405,6.87483172016235
1,21186,9.95,-4.15,28,67,2,-74,-162,-120,-108,-151,-15.0,15.0,-67.5,-52.5,15.0,32.2326767833018,25.4655646675553,26.389977573667398,20.3794495346765,17.3839577206224,11.693029293661098,11.2626260947409,18.4502016566047,18.932209699437898,12.2825727646277
2,21022,9.35,-4.3,29,63,2,-54,-40,-105,-33,-94,-52.5,-15.0,-75.0,-52.5,-45.0,29.3472345206008,23.4717085392861,26.377880015399498,15.028069930384,15.0379587528262,9.998538679961712,9.9810433959484,23.1138174130752,9.657359127640461,14.4858637249438
3,21023,9.5,-4.3,29,64,2,-107,-70,-45,-22,-31,-75.0,-15.0,-45.0,-37.5,30.0,30.222748416940398,27.2108188839224,15.451307981697399,5.0063861996426295,3.3950852939476,16.4911879076926,7.030817940410401,9.482121097267369,5.0708697714123705,5.489049915404349
4,21024,9.65,-4.3,29,65,2,-69,-107,-48,-173,-116,-15.0,-75.0,-52.5,-75.0,-52.5,36.3437431023154,29.398506525668,20.314442657148103,10.7974197406268,10.370820400469901,11.341503034456599,23.193269064564298,6.97387767018455,6.71339533891087,10.519244352883401
5,21025,9.8,-4.3,29,66,2,-70,-106,-121,-81,94,-15.0,-52.5,-52.5,37.5,-165.0,27.302494797616202,25.3841124190897,22.845110909780303,16.4777555501511,3.0058102773448394,9.647998265921471,13.4243839916201,11.3828591419068,7.7910694535144405,5.42389544503988
6,21026,9.95,-4.3,29,67,2,-108,-107,-122,87,-138,-15.0,-15.0,-60.0,-37.5,-22.5,28.563430842258,26.699210102965303,25.2564822751999,1.5505369928835602,2.58559896427113,11.462628886412102,12.164206149658401,25.1782580562004,4.00186304645478,5.48374286089126
7,21027,10.1,-4.3,29,68,2,-124,-107,-174,141,-2,-60.0,-45.0,-67.5,180.0,157.5,30.275324043169103,19.3154497525412,13.732172197152,0.307091857453258,1.93138711814504,26.0712551864677,19.7933661791665,8.52238914776334,3.58416901620385,4.38563377828848
8,20859,8.9,-4.45,30,60,2,-31,-101,-48,-90,-70,30.0,-75.0,-45.0,-90.0,52.5,38.327097533009,33.6527037821122,20.7822950447514,14.674625499152699,4.62390315494559,20.5544569499135,23.465559545262,12.2743496412677,9.3720581319503,5.18703433848082
9,20860,9.05,-4.45,30,61,2,-58,-103,-34,-74,-169,-30.0,-75.0,30.0,-30.0,-82.5,38.282035363392,38.8443622398187,26.1456614696535,17.813398434018396,16.217303861321398,8.00144942227223,14.9987334542662,18.939055746296,7.301954533487871,9.894967727619632
10,20861,9.2,-4.45,30,62,2,-39,-104,-30,-24,-97,30.0,-75.0,-52.5,37.5,-90.0,38.234612559023795,28.971600696841502,21.159583388563103,12.316294002917099,7.886755989753279,16.4256264836776,18.894056571227697,9.323008602119119,9.31158138073376,6.39215198146045
11,20862,9.35,-4.45,30,63,2,-37,-52,129,-108,-105,37.5,-52.5,45.0,-22.5,-37.5,48.14135980619471,20.9271529360715,15.0408847388179,6.583285266881321,6.470969094099639,17.8281166003123,9.32543532606007,15.2329800487064,10.329589138257301,10.0099443533734
12,20863,9.5,-4.45,30,64,2,-62,-108,-45,-106,-36,-22.5,-82.5,-22.5,-82.5,60.0,33.456565505905104,31.6784346346099,25.193767896946103,23.7837744571844,7.39905422107745,9.726072259786369,11.3731370644254,7.310356015442389,12.001189407827999,9.56585258096072
13,20864,9.65,-4.45,30,65,2,-62,-119,-17,-107,-168,-30.0,-15.0,-15.0,-52.5,15.0,27.703420620633803,28.2721269655957,25.486628280564798,24.3996282007939,20.8181300737972,8.88569649140296,12.3925068624528,10.711865676701699,21.976695003980698,7.656983313222929
14,20865,9.8,-4.45,30,66,2,-71,-120,165,-109,-167,-22.5,-67.5,-75.0,-52.5,15.0,31.5701166817572,25.762015671766896,22.7040223548653,17.890368743181103,19.6613178893795,12.003538984983999,14.899293231245698,9.655049257438721,18.0276340871169,9.17910991646484
15,20866,9.95,-4.45,30,67,2,-107,-119,-73,169,-82,-52.5,-52.5,-15.0,-82.5,37.5,27.459035387602896,25.182303436812703,25.8051566067027,25.3966373344526,16.2115264461579,16.214300679135803,17.1879596962678,10.1827031936095,11.7966648459459,9.26160918098899
16,20867,10.1,-4.45,30,68,2,-75,-109,170,-124,-90,-15.0,-45.0,-75.0,-60.0,97.5,29.5132062956524,28.8094231529835,20.8545742052622,21.3578924277346,3.50899113767963,11.733651494186,19.6264881046593,10.443379777623,22.054122234553798,7.101135068352059
17,20697,8.6,-4.6,31,58,2,-53,-35,-26,-99,-89,-30.0,-52.5,-45.0,-45.0,-82.5,39.751179687980795,33.7087969207405,22.103492221625,21.941927511300303,17.1256707134372,10.450515264326,16.503507805854,5.423708101987651,17.4443436041471,11.5334762529705
18,20698,8.75,-4.6,31,59,2,-55,-36,-102,-74,51,-30.0,-52.5,-75.0,-30.0,45.0,37.7321180983153,35.394436600324894,35.2145418071464,24.2280263575449,12.266915606283,9.80384891444808,16.9645723623222,22.792292437574602,9.258256351672339,8.72456925070765
19,20699,8.9,-4.6,31,60,2,-62,-102,-42,-33,-112,-30.0,-75.0,-37.5,-52.5,-90.0,38.1651996914738,38.410905406504,26.7169388894592,16.7993422530384,7.93977809583293,10.0005794861149,23.6036230139933,12.579787663027698,11.635228421595302,8.606217041830469
20,20700,9.05,-4.6,31,61,2,-31,-103,-46,-69,-17,30.0,-67.5,-45.0,-30.0,45.0,46.8784743994709,29.376938423234602,23.2083246026889,18.694157462558202,6.12099824939253,20.409025919535,16.318405175164003,9.19461340773186,9.33183226809236,13.979646221867599
21,20701,9.2,-4.6,31,62,2,-34,-50,-105,-22,-19,30.0,-52.5,-75.0,-37.5,30.0,42.4311162213959,31.4983545377055,31.3402797541368,14.3106575928844,8.381976918119731,18.016784872905102,11.369539714667301,24.5921717007636,6.48129345874897,8.089400615816329
22,20702,9.35,-4.6,31,63,2,-39,-103,-69,-27,-112,30.0,-52.5,-15.0,-52.5,-60.0,34.9824272546697,29.8852646669055,27.2413913818665,18.519985289294,7.66086901677863,16.6265727154267,22.258066925515898,9.04406540829718,13.886136620432401,6.364337038857031
23,20703,9.5,-4.6,31,64,2,-36,-54,-106,-74,-79,37.5,-52.5,-60.0,-22.5,30.0,40.7930528186236,25.8662545578794,21.2651766716302,9.54343540354341,0.683046584466069,18.2140613051516,10.422199736710802,23.785157080960197,8.03308705000386,3.40889149467331
24,20704,9.65,-4.6,31,65,2,-69,-121,-105,-118,153,-22.5,-52.5,-52.5,-45.0,-82.5,38.011687943786505,26.315203484556697,26.6873447090023,16.4435411495861,19.10591187304,10.889004101275999,8.73674469640069,21.8567900770314,10.2968302804504,16.2128421857118
25,20705,9.8,-4.6,31,66,2,-70,-124,-108,-44,166,-15.0,-52.5,-52.5,37.5,-75.0,36.2714310803503,29.996736208940703,28.3345942717764,18.292544023412102,15.475209914337,11.7362862025319,24.258298529502,23.5733821388973,11.640446523918,13.6599198602146
26,20706,9.95,-4.6,31,67,2,-72,-125,-110,-82,158,-15.0,-52.5,-52.5,-52.5,-67.5,34.9333955638996,24.706293193337697,24.983043766967302,16.841581326304098,19.734297263963,12.375481278968401,17.5545360152175,18.469772890466302,6.53162768819745,17.4136855575644
27,20707,10.1,-4.6,31,68,2,-74,-126,162,-110,-1,-15.0,-60.0,-67.5,-52.5,-22.5,28.478135088345102,25.1709280036549,21.4550503851519,20.5458834488936,1.2904896082306998,12.8172552524773,19.954292249837803,13.8377174324082,21.2094874424493,4.1917018674541895
28,20535,8.3,-4.75,32,56,2,-58,-26,-110,-41,116,-30.0,30.0,15.0,-30.0,-120.0,43.38849885531071,25.601873315474702,25.746734755107198,15.111995414492302,0.978914135830451,9.959334293388189,21.630677863541898,24.6174016841221,9.724561459319132,5.01183760621504
29,20536,8.45,-4.75,32,57,2,-50,152,152,-95,-36,-37.5,-22.5,-22.5,-82.5,-52.5,40.67540940150911,27.455994729898,18.9597151288454,23.7000031598762,13.4686084062432,11.5214196880528,9.94224955860603,8.72332028571078,17.2700971858965,7.79939559164276
30,20537,8.6,-4.75,32,58,2,-61,-99,-34,-108,-80,-30.0,-75.0,-45.0,-82.5,-30.0,43.290938189132795,32.5774050095101,20.8915632677458,13.764095632981801,13.574571874588301,9.96134954182535,23.481960270317998,14.685868996387802,11.102106268604802,9.224490382341699
31,20538,8.75,-4.75,32,59,2,-54,-102,-36,-27,-124,-30.0,-75.0,-52.5,-45.0,-22.5,42.4515012600402,33.8290625377808,27.575926765372895,22.076955246918804,12.6868283077334,10.4928523053351,21.2900825359235,15.736449580223,9.31468160306107,7.196783191648789
32,20539,8.9,-4.75,32,60,2,-60,-37,-103,-75,-92,-30.0,-45.0,-82.5,-22.5,-82.5,38.9433253850209,31.6264715785023,26.654402978835698,16.7502132726891,12.429003384835301,9.83497207260639,17.1975063887182,23.682326057001802,8.84121594561334,13.050885846768
33,20540,9.05,-4.75,32,61,2,-63,-104,-45,-29,120,-30.0,-75.0,-37.5,30.0,-45.0,41.1813689862482,38.7903181452846,22.786853070809997,17.7048027992949,11.3736317205025,10.090431773674698,24.0378635227561,8.9511864137713,16.1998504692272,9.623485461539481
34,20541,9.2,-4.75,32,62,2,-32,-45,-105,-68,-17,30.0,-52.5,-75.0,-22.5,22.5,37.5738461612694,25.8709052166104,27.8761981297227,16.8330398934419,6.29287963571926,19.9310594327105,12.2858275827833,23.8824011462278,8.934792506227538,9.117507681086618
35,20542,9.35,-4.75,32,63,2,-32,-50,-21,-106,-161,30.0,-52.5,37.5,-67.5,22.5,45.4813549517831,22.1201057466373,13.1929390117127,16.6121977214235,15.9901733846228,19.8352233212335,12.155952283812198,12.3255438738413,21.2358682657332,13.7477170094426
36,20543,9.5,-4.75,32,64,2,-69,-108,-80,-31,31,-22.5,-75.0,-30.0,-97.5,97.5,39.2358937916642,29.7284419880084,17.1505327783326,2.2712017924818597,0.42298769015218296,11.287069990731,24.9541094584406,9.70424173360457,3.44902454212799,3.9844745723098303
37,20544,9.65,-4.75,32,65,2,-67,-124,-120,-108,-34,-22.5,-52.5,-37.5,-52.5,-52.5,36.5877964459137,26.329477225419502,21.2056912390502,24.968725556973702,16.552711865081598,10.5665519261415,9.413859010334711,8.5195780844961,20.8829134693969,14.2750732181846
38,20545,9.8,-4.75,32,66,2,-41,-33,-125,-110,164,37.5,-52.5,-67.5,-45.0,-82.5,36.6495119218186,27.275707333907498,15.0792107747511,14.046752544165301,1.2772179724208301,15.1046928595096,6.990397663008441,17.5034825824054,20.4957481811182,4.1220342464807995
39,20546,9.95,-4.75,32,67,2,-72,-49,-110,-124,-162,-15.0,-52.5,-52.5,-60.0,15.0,39.0760157805786,21.9118119729269,25.2590602461189,20.589861089051897,21.851095191138302,12.140052163649399,6.679019235676139,18.778572330978104,20.431916277867398,13.4070501548843
40,20547,10.1,-4.75,32,68,2,-67,-111,-126,-123,154,-37.5,-52.5,-22.5,-15.0,-75.0,28.256379182228397,30.1840657359661,16.5994383397725,13.9413614379498,17.2346650500561,8.85422342951486,17.281730657806598,13.836485380590801,6.52398972184088,16.0300844522359
