,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,19761,12.2,-5.5,37,82,2,-99,-67,74,-86,-110,120.0,90.0,90.0,135.0,-30.0,45.335224687494105,36.956631780279004,23.5512448808345,15.7767369428043,2.04923645456751,23.7365155290236,9.66864355363145,11.658045322534699,15.2535534495206,4.69171921649437
1,19762,12.35,-5.5,37,83,2,-71,-105,-87,80,-115,90.0,112.5,97.5,90.0,135.0,40.0056604372066,40.0580817116407,33.0300309698905,26.3227425071907,14.653160891449302,9.877508350299289,22.154542829021,17.3972467033848,12.4672790099305,11.5005451742979
2,19763,12.5,-5.5,37,84,1,-86,-109,87,-96,106,105.0,120.0,82.5,82.5,112.5,48.1619543507132,47.0991201950383,37.1552544572585,26.7318084970312,21.4969592098473,16.7952902396895,24.0382638526096,12.664209065706501,9.8876327102044,21.7994848801854
3,19764,12.65,-5.5,37,85,1,-88,-114,86,-100,-47,90.0,120.0,90.0,67.5,97.5,53.2179228358008,37.4978950938547,21.9014991958034,16.597333309985498,5.6120728504362205,19.6823454906562,25.496977311749397,18.012986047920602,17.7088302710881,10.6556037959449
4,19765,12.8,-5.5,37,86,2,-97,-119,96,-106,-140,97.5,120.0,97.5,-97.5,82.5,50.597573363524106,40.966152798608896,32.4746884808861,6.83006193005764,5.5478450115958795,22.2846199048295,25.2974001282181,21.991072441275897,10.3181148566376,15.587076952678098
5,19766,12.95,-5.5,37,87,2,-102,100,-142,-115,-172,90.0,97.5,90.0,97.5,0.0,48.3211534489396,26.152236306781898,21.1905205180606,1.93386973766206,-1.31487743000878,24.1942203288624,19.8100089755771,19.242773347563396,9.07623638196781,4.01030653402206
6,19767,13.1,-5.5,37,88,2,-110,-144,111,102,-93,97.5,90.0,97.5,120.0,-7.5,34.9693966804828,19.950476209607302,7.87510276467407,-1.03857730560946,-0.653501993521047,23.4862361077391,17.242163360534303,10.8974878390584,2.73204807172933,3.0620210228320497
7,19768,13.25,-5.5,37,89,2,-116,-146,103,30,-147,97.5,7.5,-165.0,135.0,90.0,31.1422831796836,3.05583549012454,2.03348458122684,1.47192332022229,1.8252859289041798,25.822683389547898,5.20269170177052,4.250274606170991,3.72309053081977,4.87617821325006
8,19769,13.4,-5.5,37,90,2,-120,-149,-13,-47,-139,90.0,90.0,15.0,-142.5,97.5,27.7684174271463,18.1779548523598,1.57445292602296,0.41533341532112894,0.6801650380365339,25.3592808511928,17.444976485170802,4.53470149974852,2.5860634486153,3.7911544911219197
9,19770,13.55,-5.5,37,91,3,-82,34,74,152,-26,52.5,135.0,-82.5,-112.5,120.0,0.957017810226091,3.0021255592048997,0.8445959582242041,0.8485021082331629,1.96391777938476,2.81649240084754,4.51484333812561,3.13994418504914,4.40741120520196,3.85704913422171
10,19771,13.7,-5.5,37,92,3,-154,-145,111,-18,7,90.0,82.5,30.0,-15.0,7.5,9.473752317245669,3.3442012370686,3.85270550941885,0.424263919589691,0.439117837227968,10.3650262327624,4.28631943212015,4.474057216744231,3.5277736220271096,3.70703336932666
11,19598,11.75,-5.65,38,79,2,-51,12,60,-38,-25,-52.5,97.5,90.0,82.5,0.0,36.847433116601295,39.197700374895504,21.6814215692678,10.3996957697691,0.922757577994901,11.199546103591599,24.9801045897062,5.6323053251821795,8.250545566914049,5.5908098765529
12,19599,11.9,-5.65,38,80,2,-56,-29,-103,-137,-38,90.0,22.5,135.0,-82.5,97.5,40.6760038636859,1.60021085559498,1.70582852375406,1.99490236578242,1.19840956619731,10.202359287248301,4.82659145688579,3.14809855497602,5.59034727969341,4.38542055656222
