,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,20448,19.25,-4.9,33,129,1,-124,-36,-143,-53,-133,52.5,52.5,75.0,37.5,-142.5,50.400769056887,31.6169598019629,18.0974588513311,2.7504033183888104,1.43119232053868,22.5024738853652,16.556137041461998,21.604984568133002,6.58739313138033,11.4549402014751
1,20287,19.1,-5.05,34,128,1,-122,-147,-147,-3,-13,60.0,45.0,75.0,30.0,75.0,49.3779371656894,23.9471465687184,20.6023128613469,14.120721481576,7.31526353793282,20.9310434022201,8.65475732558507,9.277175842083349,13.250564832218599,14.0653740213005
2,20288,19.25,-5.05,34,129,1,-127,-124,-33,-37,-136,60.0,45.0,45.0,30.0,-142.5,47.5451572717449,32.5067539268092,30.5019453149375,17.5063874125497,10.093014624675801,12.943094632333,11.498203119602401,10.920149996747698,6.98126887022928,9.81214561438524
3,20289,19.4,-5.05,34,130,1,-128,-154,-46,-52,180,52.5,67.5,45.0,30.0,30.0,51.2306846305447,31.2676142010572,20.6071880235999,5.117620442460749,-2.55377695536208,23.549487596106,16.2730343606602,7.78244934901912,5.40123931645962,4.29130219728668
4,20126,18.95,-5.2,35,127,1,-123,-121,46,-20,-178,67.5,45.0,52.5,30.0,37.5,45.48575049975079,29.1895677830896,19.2307029264065,14.783704445569501,3.6893186347423397,12.0791206691076,12.6050331645726,8.55454809982909,13.950396128296301,5.00841187409475
5,20127,19.1,-5.2,35,128,1,-125,-154,37,124,-26,60.0,75.0,45.0,45.0,22.5,46.25237243493879,35.791466685726206,28.3289560474363,19.435847152974,10.6128790941709,17.9068867890297,13.545735678496802,11.068232977021802,13.5298916646257,7.943667990932469
6,20128,19.25,-5.2,35,129,1,-127,-156,38,-33,39,52.5,75.0,45.0,30.0,90.0,49.92187199007879,33.310335953366106,28.2815709735488,26.113036467127298,8.27526869217888,18.1413005578096,8.717033107909009,7.67090772509196,14.865482754618,6.69984235421394
7,20129,19.4,-5.2,35,130,1,-130,157,-35,131,131,52.5,45.0,30.0,45.0,37.5,48.5346963524133,27.8118230640434,25.361269428611998,17.9950832658485,14.946389414075501,22.9722647415035,3.87399898832519,7.041466149837019,7.4404826287235,12.6064567336059
8,19965,18.8,-5.35,36,126,1,-120,-160,35,-133,-16,67.5,75.0,52.5,-142.5,30.0,48.101098663901,29.647612589375502,25.6068576394183,16.0660723304725,16.5960744320873,21.6211612012997,13.538285068350401,15.7617741328436,18.4953970382,14.022218288614301
9,19966,18.95,-5.35,36,127,1,-124,-157,40,137,-24,60.0,75.0,52.5,52.5,30.0,47.32275810171679,38.9978392681006,31.6743094001264,20.9336042179987,24.0413103028618,19.284012358287303,14.7049458314295,13.467117115601,17.2188852171585,21.6530495205377
10,19967,19.1,-5.35,36,128,1,-128,151,-158,65,-25,52.5,67.5,52.5,52.5,22.5,47.97439421375339,37.5037472403829,27.3368966400299,23.3989851021966,20.270401226052602,20.936970264221898,9.760561812831279,10.1973277760324,6.45785160028314,17.368906508123402
11,19968,19.25,-5.35,36,129,1,-129,-160,41,67,127,52.5,67.5,52.5,75.0,30.0,49.377366059581604,37.926831295263796,32.2385415781937,19.949432888541104,12.987129126265199,18.5319266045996,10.3384983982671,10.8746792914538,8.38316307115486,6.1266131282742
12,19969,19.4,-5.35,36,130,1,-133,-164,43,-29,143,45.0,67.5,37.5,30.0,37.5,49.2053686529825,35.8300719406307,30.226050122796803,23.506042616114502,13.985748013775401,24.028074067424,7.27974112814929,6.40997690402172,15.807117112730598,7.821285042593
13,19970,19.55,-5.35,36,131,1,-135,150,-162,-36,-14,45.0,67.5,45.0,30.0,90.0,49.8993224769134,39.7281894913124,31.8191630384668,25.066870875426197,22.296323978319602,19.950630685208,6.95387059412131,8.00631428196441,8.88270425582365,12.8735594477065
14,19803,18.5,-5.5,37,124,1,-114,37,-130,-20,-142,67.5,52.5,-142.5,22.5,75.0,50.81327810921229,21.850855251168603,21.811608773050498,21.296317401831697,11.241220892187801,25.746605815697,16.027157501840502,24.9059293161767,23.342794288443603,16.2140638037934
15,19804,18.65,-5.5,37,125,1,-117,-120,34,159,-132,67.5,82.5,52.5,90.0,-142.5,49.2779313036666,31.580401913099,24.0868371790288,15.6139273214202,14.286867880270199,13.5863204621081,11.290283932157301,18.6647273673232,13.5402939847625,24.673946276441196
16,19805,18.8,-5.5,37,126,1,-122,-161,38,170,-16,60.0,82.5,52.5,90.0,30.0,49.7077107244359,37.07023764038271,29.2969484650492,17.514752847491902,13.9800905582065,21.6737594524019,13.041188016079301,17.195214233417,10.906556607687,23.284702678258
17,19806,18.95,-5.5,37,127,1,-126,172,60,-160,37,52.5,67.5,52.5,90.0,67.5,51.5666699331246,30.968906151976103,25.711766500936605,18.392473472535396,10.211007695910801,24.9559804929559,7.4849660540592895,6.96744791037902,11.3867600580618,8.91906474898721
18,19807,19.1,-5.5,37,128,1,-129,-164,41,136,-21,52.5,75.0,52.5,60.0,30.0,48.064280296908706,42.4874232131635,35.081869870234996,16.738013368322402,20.050606473795,20.5998509997863,12.159555022001,15.784879866805902,18.0199632260602,21.711249408817
19,19808,19.25,-5.5,37,129,1,-132,145,42,146,-24,45.0,52.5,45.0,90.0,30.0,51.455187374537,33.7819791240318,29.067623625784698,21.211715914105998,24.043167775569895,24.9357963487395,6.853829730910539,9.891360211831211,13.0861003079899,20.515333932447604
20,19809,19.4,-5.5,37,130,1,-135,153,-164,67,75,45.0,52.5,82.5,67.5,75.0,50.5871039747632,33.8940082307018,29.319398174988603,22.556194999528497,14.6666274736336,24.7082924556509,8.83543793705663,8.8941787691653,6.50249602814587,4.9484879793371706
21,19810,19.55,-5.5,37,131,1,-137,46,159,99,74,45.0,45.0,67.5,75.0,90.0,51.534287548864,33.5814648315496,23.1068687614388,17.330253296045,10.6407040867513,22.4064227054421,8.53773920815974,5.73388725746209,5.2806400606647,5.6620691540470895
22,19811,19.7,-5.5,37,132,1,-140,150,131,-173,-31,37.5,60.0,45.0,75.0,37.5,52.156829017059295,38.7330926886729,34.9548706688101,24.5675063733315,16.7391541714418,23.021246798241602,17.2411973372804,23.363830916177896,6.71555637293717,4.73417458525153
23,19642,18.35,-5.65,38,123,1,-112,-112,35,-141,-15,67.5,90.0,60.0,-142.5,22.5,50.8604210724846,25.4858532380492,21.0564165931943,14.8222372464858,14.3991318165299,14.770131306461801,9.07224061568785,18.858543754920102,22.0623408355627,19.3367608106978
24,19643,18.5,-5.65,38,124,1,-117,-166,37,-17,90,67.5,82.5,52.5,22.5,97.5,50.2278140550165,32.9719012916975,24.3020243058285,18.7017914933605,5.21799193401301,16.5988941764944,7.96560973681069,18.4074586493191,23.3485147063227,8.905975656071211
25,19644,18.65,-5.65,38,125,1,-120,-122,40,121,-18,67.5,82.5,52.5,52.5,22.5,45.95012564025971,38.5265731294859,27.581008689356604,20.2111868574804,20.3781542669277,14.1603828729792,9.975370129737481,15.4813374936291,20.5646184960856,23.9136389343975
26,19645,18.8,-5.65,38,126,1,-125,-167,40,147,-19,67.5,82.5,52.5,60.0,22.5,46.5488125315316,41.2502166173957,33.0566564490776,18.798708561022,23.069610036978197,20.3225734864425,10.4544999310657,16.7571156324771,20.968050772805604,23.416807220655304
27,19646,18.95,-5.65,38,127,1,-129,156,40,-165,-21,52.5,67.5,52.5,82.5,22.5,51.417831157581794,37.0092510317229,33.6122250970499,22.0863216305093,27.220098591550396,24.779845969044498,10.057930869122501,14.2789015019937,7.76198075186306,22.711871389899503
28,19647,19.1,-5.65,38,128,1,-132,-169,40,66,160,45.0,75.0,52.5,67.5,90.0,51.586004521084995,37.4143036921438,32.5764269557056,24.059318719520196,19.026183929119,24.1986366487546,9.518338259363901,14.3990720232675,7.701840047433209,10.207793640646301
29,19648,19.25,-5.65,38,129,1,-135,46,136,72,135,45.0,45.0,75.0,75.0,90.0,48.8726411786951,36.070266214368,25.3211874911495,19.304081453624303,15.641925702817199,25.0346484511386,12.280990055703,9.02938153930007,8.44735209419378,9.131865387640099
30,19649,19.4,-5.65,38,130,1,-138,-169,46,143,-18,45.0,75.0,45.0,67.5,22.5,48.963965908731396,36.5616676703148,29.9772497192597,21.2033759800045,13.827184130151698,24.2857689128871,8.42859846206311,9.790422700966051,16.0744479251345,16.471149618807
31,19650,19.55,-5.65,38,131,1,-140,149,48,-173,-23,37.5,67.5,30.0,75.0,30.0,52.275282833511106,39.8423940505361,29.6147800890061,19.566830537406002,22.8124705945004,24.101744390427697,12.434269759955098,8.5777207010855,5.910562575111611,21.9245590338026
32,19651,19.7,-5.65,38,132,1,-142,151,152,51,107,37.5,75.0,90.0,30.0,97.5,49.9183534464006,41.478346547958395,32.9269084001911,25.898049792344604,13.2809370972735,22.3337339231641,9.27577946104974,7.6345451778814,9.298253169170831,6.8769970112726195
33,19652,19.85,-5.65,38,133,1,-144,156,-171,131,163,37.5,75.0,90.0,45.0,180.0,50.833583474495605,38.898934604225296,33.3315104849337,32.6312849701166,18.7006563746381,22.9672823386276,7.993079158849361,7.23783871202238,23.491435811645196,8.6493395377718
34,19481,18.2,-5.8,39,122,1,-109,36,-151,-15,-3,75.0,52.5,97.5,15.0,90.0,53.0627768653776,20.648690215347,22.257009110953398,23.508393571048003,17.058203658297302,25.347363793565396,17.2243996959218,19.5957065011877,23.354444951233898,23.460929351483497
35,19482,18.35,-5.8,39,123,1,-114,-165,38,107,-16,67.5,90.0,52.5,180.0,15.0,50.4532448888437,36.35545970794271,26.4340873545128,17.3468867378892,22.7376359120719,20.8974600231349,11.7137033148155,16.5113503588922,15.976790643386,24.083649483649
36,19483,18.5,-5.8,39,124,1,-119,148,40,-132,-175,67.5,75.0,52.5,-142.5,97.5,47.275871761896894,34.2345589252425,29.4719963514265,23.7150423893522,13.4734080956148,25.7686974664082,19.2588130757501,15.6011610292709,24.2710585876966,7.04642969522186
37,19484,18.65,-5.8,39,125,1,-124,162,39,157,-6,60.0,82.5,52.5,90.0,90.0,49.8916090754597,36.479217189599204,28.1547444373209,20.8805980834929,16.868661951126303,24.3568792894165,8.69490489483258,16.0369186381414,7.845451854941599,24.851552673906802
