,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25511,10.7,-0.1,1,72,2,46,-31,91,101,150,82.5,-37.5,60.0,142.5,-90.0,-0.144822580586435,0.676148476958588,-0.3999901581400421,0.664825856913183,0.736426136732632,2.74822641616386,3.05522642705491,3.32843137155539,4.46730558356408,3.91087462695615
1,25512,10.85,-0.1,1,73,2,114,135,11,145,124,-22.5,-150.0,52.5,15.0,172.5,1.05412656791049,1.41852260608039,0.950831815481195,2.3960993959156003,2.05239131989384,3.34911697176691,3.38895379909305,3.79857323809381,5.40486563570647,4.58357456597454
2,25513,11.0,-0.1,1,74,2,143,-140,-114,103,-76,120.0,180.0,-165.0,105.0,15.0,2.8312726199126805,1.3702919541760301,2.45578289202172,-0.31167523117994705,-0.46541715596617894,5.6875133487553,2.92819866095271,5.393263340196099,3.42761689627433,2.9211569054523903
3,25514,11.15,-0.1,1,75,2,-89,88,64,-94,73,22.5,-105.0,45.0,-90.0,-105.0,5.51977271260631,4.0551247027434,0.604091703858728,1.78514090083684,1.3822949113266,6.448883652164639,4.109253608257211,3.38079490580526,3.8734400400831097,3.3422723871032405
4,25515,11.3,-0.1,1,76,2,102,83,119,-41,-20,15.0,-75.0,-97.5,-97.5,97.5,1.62118116430571,1.5407602638208602,2.4632390765374903,1.16127664865803,-0.362043799271419,3.9368757442209,3.7040888694153398,4.48113653588052,4.09381164592976,2.89678021575595
5,25516,11.45,-0.1,1,77,2,-30,-92,178,137,156,75.0,30.0,-120.0,-60.0,-142.5,7.61326049275118,0.30648939833236,-0.524376634893599,0.590936523843027,-0.7922102823888509,9.646109002004199,3.58076038565266,2.91424100187498,3.6596759832410495,2.9739880644490997
6,25517,11.6,-0.1,1,78,2,112,62,-22,17,24,-22.5,-15.0,127.5,165.0,-45.0,2.8202423180346203,1.7983257188416202,1.67934239364854,0.518908942999417,4.4612925815232005,5.43886378619089,4.0935107573654,4.30484727344552,3.61698058264265,5.37367818138992
7,25518,11.75,-0.1,1,79,2,120,-117,-1,31,115,112.5,37.5,-90.0,165.0,-90.0,2.7801809182327,0.49292625929291495,1.97866387680978,1.1173996914053501,2.40940939679138,4.81665177748353,3.2054427275979798,4.5975669274942,4.20231394146983,3.59910984747629
8,25519,11.9,-0.1,1,80,2,-79,-87,134,17,-104,-60.0,-127.5,-7.5,-75.0,172.5,1.4641754189902902,1.96568481938306,3.13391600153102,4.17711068371568,2.02469291751936,3.21239794168725,3.80689216235353,5.00151238323315,7.640308291288201,5.03421427678068
9,25520,12.05,-0.1,1,81,2,96,48,-106,127,132,172.5,90.0,142.5,142.5,75.0,3.7307087569839705,-0.6802918921932251,1.7297064750905,1.5693459172100601,2.51357795468721,5.5124637740333196,2.5947463211131696,3.60852849591892,3.9430559887794705,3.75993026272856
10,25521,12.2,-0.1,1,82,2,-139,135,-130,-6,-84,120.0,15.0,0.0,-75.0,142.5,2.19320913504458,2.7666589507520003,3.78752242548694,0.954055178427836,-0.32192758961224394,3.04641697541066,4.580347716484201,3.68248389083583,3.54696297184294,4.02134181430894
11,25522,12.35,-0.1,1,83,2,-29,112,131,-35,146,-82.5,75.0,142.5,172.5,45.0,2.63624886954113,1.13185612636522,3.3374129952976,1.2572947423102498,1.54822537240096,4.24236871160623,3.38835375748232,5.02819337120919,3.20357696454819,4.22621917458012
12,25523,12.5,-0.1,1,84,2,134,20,94,-120,99,-75.0,-127.5,-105.0,67.5,172.5,2.02070370713193,0.721944339244487,1.44706518972083,1.5028264105752098,0.235561229676648,3.38530417253474,3.16930376145948,4.063765747141,3.89057373545871,3.7017377908494997
