,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,19584,9.65,-5.65,38,65,2,-135,-37,-125,-124,-148,142.5,127.5,127.5,-135.0,150.0,47.0202924830938,29.4917847427237,25.6423363109189,17.429768813241,0.506818954686025,21.1455265311553,7.49322474354834,11.172162402804101,6.60355482489686,4.09193984926791
1,19585,9.8,-5.65,38,66,2,-137,-128,-98,150,-5,-135.0,142.5,67.5,-135.0,67.5,46.574958691328604,23.572279686923498,0.48224026610830606,0.87547350357363,-0.769053359665975,24.4493104970354,15.250668860956399,4.27236084223585,4.0783589554872295,3.8754843284529303
2,19423,9.5,-5.8,39,64,2,-135,43,102,-125,121,142.5,135.0,127.5,157.5,-15.0,48.7595690702852,33.7197852850621,25.2250263246487,18.0427552558785,-0.329089136977188,24.6760395778401,13.723661771889802,16.0825189063306,15.369195529059699,3.69955776911339
3,19424,9.65,-5.8,39,65,2,-137,-128,-112,126,-161,-135.0,135.0,7.5,-75.0,165.0,50.568828069171104,14.5903574257057,-3.1728399057179804,-0.914209860583355,-3.5649520113124704,24.5054993464282,13.782248485329498,2.56098865438783,5.26491780467746,3.3837897653326405
4,19425,9.8,-5.8,39,66,3,-41,-28,-19,129,92,45.0,22.5,22.5,30.0,30.0,45.0453707875154,27.1114017211967,8.68680860298815,3.86339671546864,1.9161694691066498,15.8301295739563,19.8651020243351,9.448723433172528,6.95853653090124,6.621271885506441
5,19259,8.9,-5.95,40,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19261,9.2,-5.95,40,62,2,-132,-122,44,-114,-93,135.0,142.5,127.5,127.5,-172.5,52.184734847068604,29.8293317358949,19.1644142720344,15.3503240653618,-1.84832152534079,24.236155326575602,17.5960930978985,10.266677536223401,13.991927607142198,3.60162084508071
7,19262,9.35,-5.95,40,63,2,-136,-127,44,-119,-91,135.0,150.0,142.5,127.5,105.0,52.3521182932903,30.3403609207139,31.440762785999897,13.3235728577675,10.311958466462698,24.679787761442398,16.1519615881904,14.2605978113619,10.879457016745501,9.41334819361801
8,19263,9.5,-5.95,40,64,2,-139,-130,167,-3,10,135.0,-135.0,120.0,-37.5,-112.5,52.1743741250058,27.593854422028,6.101768020235059,-4.6141370709791,-3.3745907461774904,24.0198060462786,13.901105403748698,10.6642068872564,3.6191912389311005,3.8668586133194602
9,19264,9.65,-5.95,40,65,3,-36,171,-23,-83,-14,37.5,135.0,22.5,90.0,-45.0,35.029231589972,29.8123727379771,25.076143359548997,20.356036402373398,7.013234369980579,17.8861297124502,10.909414684697301,19.856177024985,16.697110364786102,8.635253133851839
