,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,13842,12.35,-11.05,74,83,2,-108,24,81,67,17,157.5,-90.0,-120.0,-30.0,165.0,21.2604819735589,3.2873493610768505,1.3172488125788402,-0.281552836417177,0.30168872369807803,12.292061984313099,6.96126353487227,3.5401391510377,3.4550908823728697,2.85475613523642
1,13843,12.5,-11.05,74,84,2,-110,-16,84,16,-19,150.0,-60.0,-30.0,-15.0,-82.5,18.108135371248,-0.257916073846161,4.97064649543552,0.44598821717198706,0.8903968861600899,24.0636678874331,2.6259995609519198,4.677819135436019,3.30625577485399,3.62260097551794
2,13681,12.2,-11.2,75,82,2,-108,-19,-22,161,-136,157.5,-135.0,-75.0,-52.5,-157.5,25.7765873421918,3.10930569528063,1.4232691101941601,1.63769486524939,3.50983696148103,25.172063001286002,5.57769910881302,3.4471292808693796,4.51208956922838,6.732935617474411
3,13682,12.35,-11.2,75,83,2,-109,-121,117,31,-51,157.5,-172.5,-75.0,-90.0,165.0,24.111889106241197,3.09983377883441,2.03708358287685,1.66005112437853,0.2671976034772,25.1927746164536,3.90986089475596,3.75917779213425,4.243995469599819,3.4513795804475498
4,13683,12.5,-11.2,75,84,2,-111,146,-5,124,2,157.5,-30.0,112.5,7.5,-127.5,16.9088025487061,2.61061586126891,0.455165099643182,2.4893497737401202,0.8902957063682491,21.000083274377502,4.140444176417399,3.1809800138567104,3.8360104186919903,3.4036882346249198
5,13520,12.05,-11.35,76,81,2,-107,102,133,3,17,157.5,180.0,15.0,-7.5,172.5,26.779707279619604,2.1709571127024696,2.1051072301628997,4.09513945095188,2.8521904368979003,17.9311066578004,4.031249857857141,5.211183417333929,5.00572824446692,5.19633270990107
6,13521,12.2,-11.35,76,82,2,-108,31,27,126,13,157.5,180.0,-135.0,157.5,-150.0,23.3819995286727,3.2553121232795696,-0.18958455401519803,1.42233379523771,1.8422982096831202,23.0783989880145,4.94353719025514,3.4396839058784403,5.07696994360213,4.866750157618
7,13522,12.35,-11.35,76,83,2,-110,-159,-163,165,-54,157.5,30.0,157.5,-97.5,-37.5,26.2724906006229,2.08448661921153,2.3258792902162204,2.1135633682225703,-0.43673503465322494,24.751338166375497,3.86705061945666,3.8080483011406,3.5560711440647594,2.8093157619029903
8,13523,12.5,-11.35,76,84,2,-112,-111,143,115,7,157.5,165.0,-157.5,75.0,60.0,17.7554400645957,10.776782661475501,1.09942140561009,2.41935265426963,1.45034740112777,12.748743236328199,8.36832686375813,3.02041424472894,5.5673768597558295,4.09837838691141
9,13524,12.65,-11.35,76,85,2,-168,-113,39,-89,45,157.5,157.5,-135.0,172.5,-165.0,16.5570845820903,15.032103918092599,1.8222375959505799,4.10273532343979,1.197936611496,9.135606763896261,17.276348333066302,4.13992729519021,5.908713964747009,2.67945599573876
10,13525,12.8,-11.35,76,86,3,-169,-59,117,149,-129,157.5,-90.0,180.0,52.5,-105.0,18.772421586204,1.26086081953628,1.6565549596231801,1.86178630230626,-0.11131399547377901,11.075994851874599,3.34568429292271,3.59936909185156,4.18645818113039,3.5592508578011
11,13526,12.95,-11.35,76,87,3,-169,142,88,78,32,165.0,75.0,-60.0,-7.5,-112.5,20.8458654442824,1.37715466202428,3.68499863493514,2.01612983608152,-0.32207236438785,12.0256053199268,3.45337283365347,6.53946949649938,3.83272667919209,2.64018751090649
12,13358,11.75,-11.5,77,79,2,-104,137,-9,5,8,150.0,37.5,67.5,-30.0,75.0,19.0662329803276,3.8691794454730397,1.9432860521608302,0.5607134282752211,1.46989074560065,22.1017297334826,6.767459067957901,4.33072444892503,3.6457723062005,4.2867606537347696
13,13359,11.9,-11.5,77,80,2,-105,-126,85,-139,108,150.0,-45.0,-135.0,-127.5,0.0,22.8038624918576,3.78205046196427,4.048565566298009,0.183100616317631,3.16487805782589,24.325497679215196,5.75485445813672,6.1044076476432405,3.6827121690141897,5.263400147995731
14,13360,12.05,-11.5,77,81,2,-107,-120,103,14,85,157.5,-75.0,-75.0,-30.0,90.0,23.8519891675043,1.7110214863493503,2.93011596515106,0.971363730641315,1.4747103590368602,24.874007395488402,4.02723970348878,5.28290790694965,4.23908149790331,3.99152277558742
15,13361,12.2,-11.5,77,82,2,-109,143,-1,-176,-64,157.5,-105.0,-165.0,120.0,-127.5,22.46545802205,1.72680906087277,2.1113177476666998,0.708623087781405,2.4817881870731098,24.9777503398486,3.3179312425535796,4.59122695211006,3.0965162736631204,3.3857078980942594
16,13362,12.35,-11.5,77,83,2,-111,155,49,10,-138,172.5,172.5,112.5,-90.0,-45.0,20.8992487021475,1.1465961893986798,1.1877096076773301,1.5487488400348797,1.7795554703764098,24.613192393513398,3.45947791774153,3.74741635501598,4.12936022855033,5.0661571795283695
17,13363,12.5,-11.5,77,84,2,-113,102,131,166,75,150.0,-90.0,-105.0,157.5,-67.5,15.688131650129199,2.14909771152287,-1.00405540336845,1.93239777584097,0.911732586383266,18.890065373985,4.48252835110903,2.7457065383393298,3.61391164480846,2.79998207842897
18,13364,12.65,-11.5,77,85,2,-114,98,-38,-141,-30,165.0,-165.0,30.0,-15.0,0.0,22.698971158316102,3.08940594156559,2.0606629630320903,3.1424379792156296,1.04962194078979,24.570903821719497,5.8253194165084405,3.77407285381779,4.9726770462398395,3.66263927718535
19,13365,12.8,-11.5,77,86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,13197,11.6,-11.65,78,78,2,-102,-9,-127,40,108,157.5,-105.0,-120.0,-157.5,-75.0,26.6417972197722,1.7521475829288402,2.63457342926205,-0.138717689054715,0.7544323474532459,13.536754886122699,3.3968546258530097,4.8413502873309495,3.1900588660475298,3.84291492301013
21,13198,11.75,-11.65,78,79,2,-170,88,-116,15,5,157.5,97.5,-15.0,-67.5,-127.5,20.988250984345502,2.32413119649823,1.98521497976753,2.11331989656452,2.07326061628117,10.0075810730416,3.8661444543063506,5.11848556779657,3.7887306176593594,3.3326960727492003
22,13199,11.9,-11.65,78,80,2,-106,-167,50,169,143,157.5,150.0,180.0,-7.5,-157.5,22.208619516381603,11.612799299708099,1.7844362371956202,2.94842341118959,1.39316100712369,16.0186639145315,8.01939902616653,4.1531749169539705,5.051607914813871,4.43094728512142
23,13200,12.05,-11.65,78,81,2,-108,-5,-129,18,115,165.0,-82.5,-67.5,0.0,157.5,25.278440718140303,0.604664473710329,0.29114751155401597,4.00935538090613,3.5197324699057595,25.1209076038483,3.97173331283033,2.95965401132745,5.30727232833001,7.06472031256938
24,13201,12.2,-11.65,78,82,2,-110,-172,107,143,162,165.0,165.0,180.0,-120.0,-127.5,23.4712757490904,10.8161603599788,3.30284812584091,0.132101586788053,2.01406513036261,25.028107034545698,9.552052273871539,5.536071436776131,2.83874955501813,4.51756677921161
25,13202,12.35,-11.65,78,83,2,-170,-111,40,137,82,165.0,157.5,90.0,67.5,52.5,19.254924043572398,18.669259004184898,3.5856494993019505,4.652047759823691,5.02296439923941,11.1062801858742,22.5577182088936,4.7331551362183095,4.45989542412069,7.431125812096111
