,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25521,12.2,-0.1,1,82,1,-156,-172,-28,-14,-143,22.5,-120.0,15.0,22.5,120.0,50.7190277114503,27.1389435801958,18.8767460288177,9.61257938119996,-7.3238541001557005,18.2378747970642,9.82463901374947,20.8461191198482,23.673503513952998,4.70434116409032
1,25359,11.9,-0.25,2,80,2,-156,-144,-13,-28,-179,22.5,-120.0,15.0,7.5,-105.0,48.014241554125,32.7379678746654,31.9456274212009,14.4422033357567,1.82702619965318,18.196837995685,16.954117057017697,24.2274704313801,15.7152257518222,3.6190355677943504
2,25360,12.05,-0.25,2,81,1,-157,-22,163,-11,-145,22.5,15.0,-120.0,75.0,-105.0,52.8548513987211,21.495858862350303,20.9263055641145,13.6119361825459,11.220424374844198,17.8255174654667,14.3449883920004,10.8200214209605,17.6920183166657,17.6907039791913
3,25361,12.2,-0.25,2,82,1,-158,-23,-145,19,-147,22.5,15.0,-120.0,22.5,-120.0,53.095912778295,31.221999417396002,22.7962599216504,13.4196255915223,6.65439202337109,17.514022756932302,20.6415089563978,9.194839270623381,12.4268299726611,8.79907599470682
4,25362,12.35,-0.25,2,83,1,-158,148,-18,-149,70,22.5,-120.0,15.0,75.0,22.5,51.080087919078906,36.9488043484591,34.3873805073979,23.2637748126666,20.8936485725615,17.4327471675332,18.5248880280502,23.728801947047,8.815687593758419,8.08074472312753
5,25363,12.5,-0.25,2,84,1,-158,156,-26,-23,-149,22.5,-120.0,22.5,15.0,15.0,51.0193223905256,25.168674697545,23.4240184233979,14.901581549451402,9.624866007905778,16.8368023242294,9.81523279500407,9.39314430428039,8.776451984363769,5.3294192941307905
6,25364,12.65,-0.25,2,85,1,-159,118,-147,-40,149,22.5,22.5,-120.0,15.0,30.0,48.7391004105503,25.805030408888303,23.0529475197438,16.4059760768896,2.5041264483630203,14.4446501662801,12.8012912229671,16.0654578877991,14.0664897772035,9.80234142089207
7,25197,11.6,-0.4,3,78,2,-155,-145,-16,-5,136,22.5,-120.0,15.0,7.5,-112.5,49.0162462642996,38.2648894713953,33.3199331595698,11.2667139341727,3.5223107287112003,18.554161077377103,15.3492404392932,22.0573616839499,20.058659842894002,5.3135495580690195
8,25198,11.75,-0.4,3,79,1,-157,-15,171,-146,132,22.5,15.0,-120.0,-105.0,-67.5,52.958791211546604,34.204437556455005,24.8662704028618,12.9293279878792,-6.85407009808762,17.6876556162402,23.596267856772197,7.427429928482491,13.2022114998163,4.68642452204264
9,25199,11.9,-0.4,3,80,1,-158,-12,-147,-146,-19,22.5,15.0,-120.0,-112.5,15.0,51.0515208761166,23.838791794437398,19.593980494188102,12.7898702252384,12.3316985613435,17.4005044297735,10.7116259966185,7.301298554599321,11.008357024579501,14.443317366143
10,25200,12.05,-0.4,3,81,1,-158,-147,-8,150,-18,22.5,-120.0,15.0,-112.5,15.0,52.48894062674629,31.037690633839198,22.357279010597896,16.2821094408649,6.48223533787228,17.1068042330153,13.0145956641156,18.783614675425802,11.820986885136499,15.391107421907801
11,25201,12.2,-0.4,3,82,1,-159,-14,144,-147,50,22.5,15.0,-120.0,-112.5,22.5,49.2897054890063,34.769983987119495,21.8318082686492,17.0325853337274,10.889508687613,16.8787307139811,23.6555614141539,10.9667840917149,16.4323779203081,10.1780653655357
12,25202,12.35,-0.4,3,83,1,-160,-14,149,-150,64,22.5,15.0,-120.0,82.5,22.5,51.1986769454722,34.479316592814804,29.360705858646398,21.904217614958,16.658927661814598,16.558048985138303,23.5502279371366,15.547576269017,7.8926336066011205,7.80466771508512
13,25203,12.5,-0.4,3,84,1,-160,-16,149,69,-150,22.5,15.0,-120.0,22.5,-120.0,50.9568431033568,35.4246398102698,23.404785405545002,14.6425703119292,12.5253100890827,16.500282218693098,23.2870017188701,13.204999371147599,4.97726896109162,8.22357552703963
14,25204,12.65,-0.4,3,85,1,-160,70,-148,-18,149,22.5,22.5,-120.0,15.0,-120.0,48.9389499601854,32.8083277023024,25.200979522129803,18.4271742840608,18.768403991463302,14.9807096088013,8.2963606641789,12.2074765624397,16.2682520321282,13.008928713550198
15,25205,12.8,-0.4,3,86,1,-161,126,-149,154,-37,22.5,22.5,-120.0,-120.0,7.5,48.364824238458795,34.298416668632896,25.658833119514604,18.9606323373933,12.670362232581802,14.5189036095259,12.028318985334101,14.192421049884699,16.391218739759,11.310833135074198
16,25034,11.15,-0.55,4,75,2,-155,-143,-11,180,24,22.5,-120.0,15.0,-105.0,15.0,50.7399697831382,36.7266679999391,36.464376169625,14.9406993223602,12.313399899041901,18.291407556968302,14.423182838856098,20.732058415697,8.17345488412051,20.8587228439504
17,25035,11.3,-0.55,4,76,1,-157,-145,35,-179,-13,22.5,-120.0,15.0,75.0,15.0,52.5513370889785,39.0466698654076,23.8003597492998,4.13382734935209,2.78117511819067,17.9095553558065,19.1466885327151,12.744628763761801,8.703229075707691,9.26623868296905
18,25036,11.45,-0.55,4,77,1,-157,149,-13,-146,-137,22.5,-120.0,15.0,-120.0,82.5,50.2466314093481,41.076551248457,37.8088082519839,21.447938193265102,1.7807869099769398,17.711287846888002,16.959284205798,23.743510669077,15.075976010395902,4.9483172497904295
19,25037,11.6,-0.55,4,78,1,-158,-10,-149,156,-141,22.5,15.0,75.0,-120.0,-112.5,52.3828460505003,29.583587354572302,20.8395208653798,22.2998150065495,9.88663047063358,17.2216619494563,25.008646473103102,10.948769499335198,13.7986922329888,12.252644066893199
20,25038,11.75,-0.55,4,79,1,-160,-150,-12,-143,157,22.5,75.0,15.0,-120.0,-120.0,49.55580466446779,33.9883113454808,32.113809825711996,22.4613649661067,9.674258872034269,16.4657687012266,11.142240570785502,21.322314837890197,10.104554281039599,11.634083511318801
21,25039,11.9,-0.55,4,80,1,-161,-151,-15,151,-143,22.5,75.0,15.0,-120.0,-112.5,48.1623140154663,35.160139327393,29.678062392672402,26.1576563054268,14.2396218408074,15.545861575350198,12.067894237562498,21.916796525633696,16.2645634255282,13.195230243587801
