,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,21839,11.9,-3.55,24,80,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21840,12.05,-3.55,24,81,2,-78,-5,-148,-144,-167,15.0,-7.5,82.5,67.5,-37.5,22.001670238186197,0.5744776853388771,0.0966385160861591,2.01849455558869,1.02165985691664,14.7539456932971,3.0820881765381403,2.7258750166559906,3.48351176924742,4.50427694736287
2,21677,11.6,-3.7,25,78,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21678,11.75,-3.7,25,79,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,21679,11.9,-3.7,25,80,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21680,12.05,-3.7,25,81,2,-77,115,150,123,-130,30.0,0.0,22.5,-135.0,-135.0,17.5277475412495,1.4156519697029901,2.15651181969963,1.88575692137067,1.45744852849856,14.3540605016259,3.6623489983273196,3.93656144487854,5.29985719358414,3.83206902373536
6,21515,11.3,-3.85,26,76,3,133,-97,93,149,-24,67.5,-90.0,-7.5,-120.0,-165.0,1.3937859167772901,0.226231812814888,2.70884305744363,0.35280808639532796,1.08220848632476,4.38673673696697,3.1175093662786098,4.5574434305123095,3.85482705835396,3.3981338399182004
7,21516,11.45,-3.85,26,77,3,-7,108,-111,19,129,7.5,105.0,37.5,-157.5,15.0,15.509552578665,4.35529924154201,2.3197817402823397,2.6405976287139197,2.10365714815902,17.481881318901,6.50084484983495,4.02509914701272,5.207579397532251,3.3245063476877403
8,21517,11.6,-3.85,26,78,3,72,42,-146,-11,-135,22.5,-127.5,0.0,-82.5,-30.0,2.79363769496763,1.54897283460781,1.5082812658324098,2.69242750136573,0.793818912826112,4.42338109169212,4.31252411690987,2.8984429260576405,5.2051198457240595,3.11879229731593
9,21518,11.75,-3.85,26,79,3,20,24,6,-126,-128,180.0,75.0,37.5,-7.5,15.0,0.518410560832251,1.9066285678670702,2.39682573116568,1.21923140956903,1.3053470432988101,3.21720878677221,3.9168075605131,3.72399713548953,3.58701571001539,3.8651239056261497
10,21519,11.9,-3.85,26,80,3,125,-141,32,-64,-103,-37.5,-67.5,165.0,-165.0,45.0,1.3861844870585303,1.8684955286599298,3.06755867858351,0.137702228796684,1.7777844772277298,3.21646250251095,4.5654211211217195,6.587295753963571,3.5130145066295695,4.4495007247352
11,21520,12.05,-3.85,26,81,3,37,-113,92,-12,123,82.5,82.5,-82.5,75.0,-150.0,0.7386184644732909,2.85030448691634,0.895362641132806,2.46763219453538,0.525342445009358,3.5093713217071896,4.68055991897915,3.70604084722044,5.00070184192898,3.29460129619031
12,21521,12.2,-3.85,26,82,2,-80,5,-113,-106,-25,15.0,172.5,157.5,-90.0,-37.5,22.2827599119285,0.820680646668507,-0.216592287074093,2.6720512942593997,4.32522075507478,16.329099697739803,2.85323635353517,2.82717227387237,5.28136952705003,6.10002379987464
13,21352,10.85,-4.0,27,73,3,-59,7,-84,-10,135,15.0,7.5,157.5,-157.5,-75.0,17.3683671718891,1.62906842025262,3.4164451499642,2.4411346635252995,-0.331823948045269,9.639563497028231,3.88205524575446,5.71168708789454,4.0546669319741895,3.5006617012658
