,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,19760,12.05,-5.5,37,81,3,147,-101,24,69,-79,142.5,112.5,105.0,75.0,-60.0,1.68111040192224,3.4379916907704504,0.331354602106103,0.6765333544501569,0.484685561472475,3.79192124397711,5.0785198647727,3.43183468368646,3.4509095002990895,3.90594070934435
1,19761,12.2,-5.5,37,82,3,46,123,172,135,37,-120.0,-112.5,172.5,-75.0,-97.5,3.6987492634724504,0.8171903288023259,1.7898560090845301,0.730856926221577,0.507378242558275,4.92871160154269,3.3920722236635297,4.782267574214679,3.9474903302248996,3.54054653290474
2,19762,12.35,-5.5,37,83,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19763,12.5,-5.5,37,84,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19599,11.9,-5.65,38,80,3,-78,-88,2,45,-144,97.5,-22.5,142.5,-75.0,52.5,35.942698232276896,26.9610708218784,2.70421710730778,-0.35986205084742606,3.9120234816316497,14.945490002995902,10.8752919872408,4.80410294448683,3.5052017021478794,5.71419103497149
5,19600,12.05,-5.65,38,81,3,-38,30,96,143,35,105.0,-30.0,15.0,60.0,15.0,1.5130709876891002,1.5893405258674398,0.518509651620775,-0.11877585103553699,0.498889571080269,3.09571208103421,3.5162559319424997,3.29401731217256,3.26156799828565,3.49808266218409
6,19601,12.2,-5.65,38,82,3,-145,-82,126,-132,-60,-127.5,-97.5,-7.5,150.0,-30.0,0.396707162028974,2.1741919230316897,3.4033625009940898,1.84890054798507,1.82409312205772,3.24332026070925,3.49058978751737,4.37691279345435,3.7137834554284197,4.16874349741489
7,19602,12.35,-5.65,38,83,3,-64,154,13,127,-50,-120.0,-82.5,7.5,-37.5,-37.5,0.712937838410198,0.0418054376269197,1.6453609470663701,-1.4737738881346398,1.78026303194036,3.2077898533509304,2.8433177023755403,4.74809808982899,2.72855149096042,4.3086564162589
8,19603,12.5,-5.65,38,84,3,139,-147,41,109,-171,15.0,112.5,-7.5,52.5,45.0,1.8325563809660301,2.0628626791184397,4.13943095151706,1.8548459702514601,1.6410335624941,3.65811180858382,3.98632391956825,6.4697482218877695,4.68828592453432,3.30824465146706
9,19607,13.1,-5.65,38,88,2,-87,-157,1,116,-133,97.5,-172.5,112.5,-67.5,-45.0,22.6371552279966,1.27820665814448,1.19868770350968,1.02837597155104,0.6027712468959411,16.161538141988,4.36054599270576,4.01212532514146,3.18271862174011,2.95803146803777
10,19608,13.25,-5.65,38,89,3,-90,178,92,-140,-149,97.5,105.0,82.5,127.5,172.5,18.970231205926698,14.099544217883501,2.34046429580997,1.25067949483946,-0.507556576312368,15.516805404975901,7.754095668069481,5.47564420255835,4.25467916318501,2.73080695617567
11,19440,12.05,-5.8,39,81,3,-80,108,-11,32,-135,-22.5,90.0,-15.0,135.0,-82.5,1.41891675184064,0.797220005138172,2.2216177028751605,1.4969080840256799,2.21157335941729,4.00521336725021,3.5267153562080895,4.53481241665824,3.9466440027026497,5.23855840338508
12,19441,12.2,-5.8,39,82,3,49,19,5,132,-120,-172.5,75.0,-142.5,37.5,-157.5,2.8383066587941803,1.1656880514032701,3.69754291715867,1.6214632016941002,2.3733611629225497,3.9889486603732003,3.8010117290784504,6.16706441678888,4.4697070957416996,5.27582223101481
13,19442,12.35,-5.8,39,83,3,119,-114,25,-123,159,105.0,165.0,15.0,-105.0,-90.0,2.6436057837167404,3.24413186123252,1.0429529942645699,1.49332507735613,1.31363397723902,3.9988896510132097,5.0072925729321,3.6466713928222,3.47827019397285,4.22197374864769
14,19443,12.5,-5.8,39,84,3,-97,-142,-132,62,-155,172.5,-127.5,-112.5,-75.0,-7.5,1.8734160684287,1.23389036565658,1.7825140898692098,-0.180759745769137,3.13419601077834,3.2540930831417993,2.9188272740987498,4.44930230974034,3.0316462966356896,4.712962294679031
15,19444,12.65,-5.8,39,85,3,88,147,118,-19,-127,52.5,105.0,-120.0,105.0,-82.5,0.670454892166504,2.6173794594316204,3.45388554175173,0.153179542293117,-0.49343817581205895,3.51699817417487,3.81639656064442,4.89008254869445,3.4830782276939796,3.58800240662751
