,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,16881,12.2,-8.2,55,82,2,-109,22,105,-132,-95,127.5,7.5,-105.0,-150.0,30.0,35.7988724065199,0.20428932651770998,1.68778012640621,0.9015056411361121,-0.31290455178685805,25.4696772620367,3.14028933704919,4.2293804028796895,3.4435258414027703,2.73429047198298
1,16882,12.35,-8.2,55,83,3,-112,-170,28,-95,-124,127.5,172.5,-67.5,-37.5,-120.0,33.5728710678475,2.44301440363375,4.40942170441673,3.1439143544627703,3.2867393717306204,25.774409501475102,3.7037022783114,6.295238510222241,5.168163162156031,5.02233962057152
2,16717,11.6,-8.35,56,78,3,-103,37,-124,126,122,-97.5,22.5,157.5,-67.5,60.0,17.6037667882574,1.0998555522691,0.167532652421357,0.17683995290894897,1.6289907416365301,22.002929531095,3.0535689785128906,2.93547947831037,3.33642458164389,4.684317102885889
3,16718,11.75,-8.35,56,79,2,-104,-116,-2,94,-147,127.5,-7.5,105.0,-30.0,15.0,30.869506795230304,2.2356388852313103,1.33341876920701,0.650901132350157,2.8302832840453194,24.820576456788302,4.53076274874684,4.543048563556789,3.34900501151845,5.62451481431636
4,16719,11.9,-8.35,56,80,2,-106,105,66,-28,7,127.5,180.0,-157.5,127.5,-60.0,32.4374242140522,1.21949765512568,1.12106755282372,2.8100940794084304,2.54274136128652,24.982490605194997,3.01906064902375,3.3064912472094203,4.55767103698545,4.66569501925144
5,16720,12.05,-8.35,56,81,2,-107,106,25,160,-86,-105.0,127.5,-82.5,-22.5,45.0,37.604907786782,17.171566218221802,2.0377344718718304,3.30317673176808,2.4137847180692202,24.7487361908638,21.832426588443305,4.23060285758778,5.29137773671671,4.17396742383098
6,16721,12.2,-8.35,56,82,2,-110,-13,4,20,-93,127.5,-45.0,15.0,120.0,157.5,20.7483447137048,1.77105692185927,0.8736818182514979,4.51594598906979,0.8872470367947471,23.562436783973197,4.19623615889287,3.47591994358483,4.50083959406254,3.77900926694088
7,16722,12.35,-8.35,56,83,3,111,-113,139,-138,10,120.0,112.5,75.0,172.5,-157.5,8.046251695942429,4.6577785287185005,0.588090314595263,1.4491368012863302,1.26881974987344,9.17527430532244,5.975614468260059,3.64208622496723,4.71411435843826,4.04684870622413
8,16555,11.3,-8.5,57,76,3,-93,-88,113,9,-42,-120.0,-105.0,120.0,97.5,127.5,2.7624185984491896,0.8841689846362901,2.2775380060844,1.47796275912162,4.56188560145409,5.5656800727891,2.83522675759587,4.34712660338014,3.54457634646684,5.309453422291861
9,16556,11.45,-8.5,57,77,2,-100,119,-19,20,9,-127.5,82.5,112.5,-157.5,45.0,19.616264493573198,4.65794963089917,0.58413986534265,0.0208295985643758,2.9347045687418403,22.3112602873625,6.246732680271701,2.6768913934996204,3.1381628989835604,4.4853258857132
10,16557,11.6,-8.5,57,78,2,-103,-88,133,-172,84,-135.0,120.0,-172.5,157.5,-127.5,22.408085566331202,2.8899551548498197,0.9314938803508991,0.359751646890345,0.24490492874440398,23.9102935369176,3.5540818295982097,2.73766217961318,3.78203832940982,3.5713887812447296
11,16558,11.75,-8.5,57,79,2,-105,-94,36,32,-2,127.5,-7.5,-127.5,90.0,15.0,33.3875418818175,1.62230043522726,-0.3614442004732721,2.13320416969378,2.0496539794590403,24.8353638380828,4.41678708079687,2.4903031076553797,4.77463918821417,3.85195352619039
12,16559,11.9,-8.5,57,80,2,-106,152,-95,-130,-12,127.5,172.5,-165.0,142.5,142.5,33.3760423612879,2.01221367945925,2.1545392877602,0.4085459841329,1.29230894957658,25.175288372618603,4.27838106088695,5.6513078993571195,2.7333140001551604,4.25723375565503
13,16560,12.05,-8.5,57,81,2,-108,-117,122,-68,27,-105.0,-112.5,172.5,105.0,75.0,34.9964174396175,15.484689352637599,2.4168154096655,0.704022693285822,2.0335948153550603,25.5250978064643,13.1098106684553,4.2505352930251,2.72951351036537,3.65592706482599
14,16561,12.2,-8.5,57,82,2,-111,-19,155,-127,78,127.5,-172.5,-7.5,105.0,112.5,28.765332627674102,2.98342466263733,2.53135518282176,-0.24712980099349105,0.327492961603753,25.5953417522412,5.514272636172691,4.26552972994514,2.4523628184212,3.4398374024423797
15,16562,12.35,-8.5,57,83,3,-30,133,97,-96,-120,142.5,-112.5,-67.5,-172.5,-45.0,1.6805209372179801,2.15287664990962,0.197483665243908,5.14340615124877,2.5951397411140498,4.15451113854131,4.5201488108547805,3.64865433919715,5.87548212328303,4.688083802619589
16,16393,11.0,-8.65,58,74,3,-87,164,129,-38,-115,120.0,-112.5,-82.5,-142.5,-112.5,19.621730398786603,2.02851513647403,2.14350558555748,0.41657092984070204,1.5338822040693603,19.535482093632396,3.5576710965953304,4.76563903888214,2.70224155599008,3.20381163094889
17,16394,11.15,-8.65,58,75,2,-88,-10,-128,-3,47,112.5,157.5,-112.5,-112.5,37.5,15.090699301266598,2.21890097075794,0.927167609151468,2.05094754989864,0.164802093619016,16.075143929365403,4.649081309265309,4.473827561725,5.3821465081697,3.5190475960300898
18,16395,11.3,-8.65,58,76,3,139,25,-23,115,42,127.5,-165.0,52.5,105.0,-97.5,2.60665160846031,2.58169001971646,-0.0802603697412678,2.0638267622123303,0.4733914205417021,4.9847965160216905,4.92388660449722,2.64918595772907,5.21198321631342,3.18818368916351
19,16396,11.45,-8.65,58,77,2,-101,-88,108,26,142,-135.0,75.0,60.0,-90.0,-120.0,18.6014278403048,1.7942171206970599,4.41104009360299,2.0619588109958,0.509684996880083,21.8340763591641,3.1992739905136003,6.81740901242527,3.82563798347643,3.14146073707002
20,16397,11.6,-8.65,58,78,2,-103,-159,7,-75,89,127.5,0.0,127.5,157.5,-30.0,30.279196458247398,2.57689518331267,1.10739137968625,1.0515059482091802,0.7510806737593041,24.584588328638603,4.30733865856309,3.7491319551203,3.5310795381584703,3.2388214907971298
21,16398,11.75,-8.65,58,79,2,-105,-84,111,103,123,127.5,135.0,60.0,127.5,142.5,37.482404857529396,2.9268308298840697,4.49397349895452,6.61213456646436,3.04673532195181,25.0483616638688,4.60399943987521,4.74402617441804,6.62029493023901,5.75104543221609
22,16399,11.9,-8.65,58,80,2,-106,-116,-136,-150,19,-105.0,127.5,-67.5,82.5,75.0,37.295915766247,17.2046250033196,2.07244061131752,1.8009541894451202,3.7569384919306703,25.140122880855603,14.1058550097648,3.23039987823,3.92492651658074,6.0491811322119995
23,16400,12.05,-8.65,58,81,2,-108,-117,141,-9,-76,-105.0,-37.5,37.5,15.0,172.5,30.603420642976698,6.163952257611361,1.02192802278847,1.77771462953598,-0.6528687922091191,25.453563504029603,6.57907270353006,3.6677586847829504,2.5230862593116,2.8095140627234603
24,16401,12.2,-8.65,58,82,3,86,127,112,60,2,97.5,105.0,-97.5,120.0,60.0,4.23074983963141,2.55842759235162,0.16834689704467098,0.422696309718106,0.21650048476306,5.505935812248019,6.105020778972159,3.4146930679572702,3.09299043113549,3.0324673913534506
25,16402,12.35,-8.65,58,83,3,108,86,7,1,-177,180.0,-172.5,90.0,-30.0,112.5,1.0885765191771999,0.33161365410387605,3.8853501786422795,0.5186421289833449,1.63010988328148,4.36293995700591,2.9666015065467595,5.33734204358217,3.4536210799891602,4.3039874386391
26,16403,12.5,-8.65,58,84,3,146,-92,-108,-127,153,-127.5,-45.0,90.0,165.0,120.0,2.93782447453754,4.50734834631737,3.8081597360919703,0.397696982133823,0.989863104293647,5.13757584798837,5.684164489070049,6.84301972121543,3.5614895011525,4.48732635336746
27,16231,10.7,-8.8,59,72,3,34,-20,0,-149,-128,127.5,52.5,157.5,15.0,-127.5,1.67868760118853,2.63764276257126,2.59077526314229,-0.6876913860242551,1.06163294332987,3.3587488928648903,5.0699933050052195,5.03036625880287,2.85994839395306,4.60108102701341
28,16232,10.85,-8.8,59,73,3,-89,138,110,25,-9,127.5,142.5,127.5,60.0,-60.0,11.9350081748049,0.133255671614677,2.60273919681339,1.44239821944711,-0.0318774619952364,14.241940748996901,3.0036148940145804,4.3353469897229395,3.61753667350005,3.70028709340375
29,16233,11.0,-8.8,59,74,3,-88,-102,22,-14,1,112.5,-45.0,-75.0,105.0,67.5,11.373737683080302,1.5858669819540399,4.95331934458045,3.9848381173106895,0.589779294119239,14.7044829004796,3.46973176344908,6.504716479120599,5.14264779368675,3.42633751797328
30,16234,11.15,-8.8,59,75,2,-95,-147,-106,-82,-162,-127.5,150.0,-90.0,-142.5,-37.5,13.086871917537199,1.20469518485072,1.66173945036826,0.995528917151489,0.861853408627837,14.4743436082304,4.3438880435604705,4.04284090298456,4.04863524499196,3.77496842031801
31,16235,11.3,-8.8,59,76,3,7,23,23,151,-30,120.0,45.0,-15.0,7.5,-127.5,3.2451864121845198,1.29833780058357,3.0530094147949303,1.97391530531092,4.31078176494992,4.93930299499202,3.56628922599396,3.43023668575647,4.05195767367793,5.5449884593019805
32,16236,11.45,-8.8,59,77,2,-101,157,-159,-156,-86,-135.0,180.0,52.5,-112.5,-165.0,25.3141859302631,2.09047662410984,2.54915974542757,-0.0663222180284606,1.04229796913523,23.5230404898251,4.40253425524111,4.82446393703295,2.6365201593602796,3.49969419096385
33,16237,11.6,-8.8,59,78,2,-103,86,-161,-41,-119,-112.5,135.0,127.5,-157.5,-60.0,30.039773647147197,1.59636803948683,0.928895101514229,1.28120410010325,-0.42031094634847904,24.6368072431143,3.9687888691154303,3.29501655391233,2.94571639887498,2.95344153514304
