,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15593,11.0,-9.4,63,74,3,-77,4,-4,-160,13,105.0,82.5,7.5,-82.5,-60.0,19.368132130773603,1.4134875727888199,1.4817374210321101,2.6626821917780603,-0.19825547353264,14.7107234311169,3.74185962669579,4.53652254078041,4.50774564580685,3.08704873258093
1,15594,11.15,-9.4,63,75,3,-76,-5,14,136,104,105.0,180.0,30.0,30.0,-172.5,14.569647061534901,2.99603436271536,2.01443284187843,3.7360179901248802,1.0475250740750501,12.535007463417802,4.92332598192473,4.35294123029672,5.99477334158399,4.0089929112618305
2,15595,11.3,-9.4,63,76,3,49,160,117,28,-118,-135.0,22.5,52.5,120.0,37.5,3.3486314583984704,2.5372158009334402,0.879516197534315,3.19366017311216,2.2746259508437596,4.849331461867269,3.77074271130632,3.66964349891425,4.301347638652181,4.8372973888814
3,15431,10.7,-9.55,64,72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15432,10.85,-9.55,64,73,2,-68,-138,-15,95,152,105.0,-97.5,75.0,-142.5,150.0,27.9124230631562,2.4427360431499197,2.30983509565658,0.715501545072527,1.3816281222214601,11.119502411588302,5.099706566824991,4.22723731949386,3.35473310618281,4.01526963305776
5,15433,11.0,-9.55,64,74,3,-75,12,81,-153,-99,97.5,75.0,-22.5,-112.5,-45.0,12.723427605332901,1.0935342549954,3.46179721166379,1.3266072355768899,0.5837158835207671,10.4768226185292,2.8534663595533103,5.62645201628816,4.03188189279716,4.28467926795589
6,15434,11.15,-9.55,64,75,3,-34,137,33,-163,125,15.0,172.5,-150.0,97.5,-7.5,1.8217589197247401,1.84942520169494,2.59224644564767,1.63628105891678,2.04144846184948,4.70162080995864,3.85629846866121,4.3731989409871295,3.66368233281142,4.502468957742071
7,15435,11.3,-9.55,64,76,3,-49,-24,-176,-92,-123,180.0,-45.0,-15.0,30.0,-82.5,-0.509403909158948,0.18154145097412303,1.23652707473025,0.8152007049217221,0.401996699840254,2.7583998742262796,3.31894383222795,3.62524796658543,2.8491981444939602,3.41877934415831
8,15272,10.85,-9.7,65,73,2,-67,79,18,-29,9,105.0,30.0,30.0,165.0,180.0,25.811320060868102,1.40317904618314,2.77920559612329,1.7077692845057901,-0.133859978068983,10.865831885663098,4.30030625713899,5.56941553317912,4.185004245611959,3.8431299099093397
9,15273,11.0,-9.7,65,74,3,-76,90,-100,91,40,105.0,-30.0,-37.5,142.5,-45.0,11.2191946789251,2.82344737243238,4.19878974337098,2.2937706466307204,2.29757359077252,8.55791971405414,3.88118400774329,5.9595030704331196,4.72129488887183,3.8293590691655695
10,15274,11.15,-9.7,65,75,3,-78,-95,-20,-5,134,97.5,97.5,-127.5,142.5,-105.0,13.7671800699775,2.8088726270988196,1.22183622541718,1.71824741382932,1.5687526723574998,12.6999408305966,4.75926752834824,3.71133972262121,4.03315294175605,3.57462650450171
11,15275,11.3,-9.7,65,76,3,-138,-17,21,156,-117,67.5,-22.5,-52.5,15.0,-67.5,12.747156925573002,1.36645716135155,2.88949589413767,0.6016977089129799,2.62441900388529,14.3337038089475,4.2662670046176805,4.9169716504629095,3.6623404238935,7.048689558512129
12,15276,11.45,-9.7,65,77,3,25,111,138,-25,-143,0.0,150.0,-52.5,135.0,0.0,0.897733622572105,1.3139540722299299,2.14114804243354,0.8620238320635849,0.9901617706756841,3.6633780728264504,3.58917286536674,2.9682570386168097,3.7278717198288,3.2788008700367004
