,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,20104,15.65,-5.2,35,105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20105,15.8,-5.2,35,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19943,15.5,-5.35,36,104,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19944,15.65,-5.35,36,105,3,-118,147,-60,-137,30,60.0,-22.5,-30.0,-30.0,150.0,1.20306312513463,4.38543015881362,-0.280301053692824,2.56970607518969,1.6131640983789501,4.111636719119979,6.14348694925655,2.8635480979296295,5.829508880291789,4.02935877760574
4,19945,15.8,-5.35,36,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19946,15.95,-5.35,36,107,3,-132,-24,-175,-117,28,-15.0,157.5,-120.0,-172.5,-120.0,0.311503765962982,-0.7849672242559791,0.173866451776178,4.9329017782851,0.34726382681208195,3.2908348963254,3.0249907934495894,3.3900031151161096,5.30660660671634,3.5892501274993998
6,19781,15.2,-5.5,37,102,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19782,15.35,-5.5,37,103,3,33,-1,4,111,93,-75.0,142.5,135.0,-22.5,127.5,-0.14510767185106502,3.9533752469510497,0.472111219464637,2.42401707855936,1.26519334316401,3.29436296179688,4.88573889788872,3.52481291148269,4.20769630927031,4.41947615627109
8,19783,15.5,-5.5,37,104,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,19784,15.65,-5.5,37,105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19785,15.8,-5.5,37,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,19786,15.95,-5.5,37,107,3,-42,-151,-98,-162,-111,135.0,-97.5,-82.5,127.5,-97.5,3.1064812376026203,1.8277740132736497,2.8743770143324197,4.36575107718602,-1.1211893537258701,5.34268273694896,4.977214349414299,5.507971812403361,6.37581728810427,2.6884118926481
12,19787,16.1,-5.5,37,108,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,19620,15.05,-5.65,38,101,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19621,15.2,-5.65,38,102,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,19622,15.35,-5.65,38,103,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,19623,15.5,-5.65,38,104,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19624,15.65,-5.65,38,105,3,124,30,-2,137,-113,-127.5,165.0,75.0,37.5,-165.0,0.976527277532682,2.19171842526964,1.50449709546729,1.96411669329547,1.63843381532388,3.3316365208317404,4.34436280472403,4.88457665483853,5.187664531180599,4.217337329834209
18,19625,15.8,-5.65,38,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19626,15.95,-5.65,38,107,3,161,-13,-110,44,11,-7.5,90.0,-30.0,0.0,-52.5,1.7631332990666801,1.1444429943089198,2.73827637013522,0.29388403844700395,2.14301189231327,3.76358529686689,3.11075313964991,5.20716033349608,3.6406150000906403,5.274673121446191
20,19627,16.1,-5.65,38,108,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,19628,16.25,-5.65,38,109,3,-130,98,105,-150,28,142.5,67.5,15.0,-82.5,-82.5,2.21940262431315,1.63260722033903,1.03279182739652,3.1827916519496298,0.8848591459429829,4.37335020411261,4.5168226494579,3.75363810290514,5.99586862708696,3.0888397499658704
22,19459,14.9,-5.8,39,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,19460,15.05,-5.8,39,101,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,19461,15.2,-5.8,39,102,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,19462,15.35,-5.8,39,103,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,19463,15.5,-5.8,39,104,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,19464,15.65,-5.8,39,105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
