,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,17539,14.9,-7.6,51,100,3,-43,-25,-135,-60,174,45.0,22.5,37.5,15.0,67.5,36.661325717694204,30.207032568608604,17.0579492121038,11.694429653190902,0.724279853153121,11.3316648039119,20.2860877467488,16.2454239350008,5.857730404639961,3.0720882848514597
1,17378,14.75,-7.75,52,99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17217,14.6,-7.9,53,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17056,14.45,-8.05,54,97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17057,14.6,-8.05,54,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16895,14.3,-8.2,55,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16896,14.45,-8.2,55,97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16897,14.6,-8.2,55,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16898,14.75,-8.2,55,99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16735,14.3,-8.35,56,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16736,14.45,-8.35,56,97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16737,14.6,-8.35,56,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16738,14.75,-8.35,56,99,3,131,-45,120,98,-11,-15.0,120.0,-142.5,-97.5,7.5,3.19855289430802,1.18926020806373,0.831065961835577,0.303752711791731,1.22578044733319,5.04658318050644,4.76831936140363,3.6380569781723304,3.6484332539536695,4.24354863979768
13,16739,14.9,-8.35,56,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,16740,15.05,-8.35,56,101,3,-118,-152,-26,93,-90,-105.0,-157.5,120.0,-45.0,45.0,2.67075286275951,-0.7724119543721031,2.17117268174962,3.16973221828493,0.46160680770293494,4.97667182649354,2.4850831487160696,3.47893507759116,5.91689141157329,3.8117740938110503
15,16741,15.2,-8.35,56,102,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16574,14.15,-8.5,57,95,3,22,-119,4,95,139,0.0,157.5,-75.0,-165.0,180.0,5.592992077821861,-0.848496517424394,1.99129425003593,1.39289475409856,2.0771013073246003,7.2937878610133895,2.86373849864635,3.3731681052151696,4.100074736106079,3.09931049750208
17,16575,14.3,-8.5,57,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16576,14.45,-8.5,57,97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,16577,14.6,-8.5,57,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16578,14.75,-8.5,57,99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16579,14.9,-8.5,57,100,3,-3,-115,-25,73,-21,22.5,7.5,150.0,165.0,-150.0,3.1892161570977997,2.41139018939373,3.0526084106069797,1.31133997213226,0.5864466137589941,4.85707560538603,5.4455278764977,5.43402443797684,4.62461593076121,3.3669055694659304
22,16580,15.05,-8.5,57,101,3,-107,78,-118,-12,-156,-75.0,112.5,165.0,97.5,142.5,19.776346961456802,1.73545693399183,1.4593830520817102,1.7680516338035102,2.88181280272522,24.4014830613872,4.73980781633112,3.51578307180136,4.42809512351838,4.3497769747411095
23,16581,15.2,-8.5,57,102,3,-17,88,150,138,-97,-67.5,-7.5,-127.5,-127.5,-165.0,2.9913958939835696,0.5804327975175171,0.39391880962392606,0.544848805467552,3.1440608208016,4.103693731725859,3.87487269537306,3.52537750025227,3.8051431512086404,6.58734410316635
24,16582,15.35,-8.5,57,103,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16612,19.85,-8.5,57,133,2,-94,180,-135,-137,-1,0.0,90.0,-22.5,-45.0,37.5,49.5486747846271,27.578484087019895,18.3910890434658,6.94830121328835,-2.4678676957007597,16.605296285152303,6.9949399815132205,11.0567346141664,8.713209122538169,3.69422196252689
26,16415,14.3,-8.65,58,96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,16416,14.45,-8.65,58,97,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16417,14.6,-8.65,58,98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16418,14.75,-8.65,58,99,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16419,14.9,-8.65,58,100,3,154,3,-100,-163,120,112.5,-45.0,180.0,37.5,7.5,1.85314057082843,2.1598363068868602,1.03873330056803,-0.620391882678177,3.02676570420613,2.86670005384476,5.42892147478004,3.02938121073434,2.9514005958082596,6.165737187293321
31,16420,15.05,-8.65,58,101,3,-107,134,-58,162,-43,-75.0,-75.0,-22.5,-135.0,45.0,25.0751814911903,3.2647280349588104,0.279963961344833,0.472148551336488,2.3840798542434,25.107867690795196,4.53638625023186,3.40683441898371,2.9786647891547102,4.6959514243186
