,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,17664,9.65,-7.45,50,65,2,-8,-65,-82,-19,-26,97.5,-30.0,97.5,112.5,-90.0,47.982743225956895,37.386960020257895,30.617669039761502,18.315885752413102,15.0369775154211,12.4360909558011,8.846751664396802,12.182904450009401,10.6288499242742,10.0493681709341
1,17665,9.8,-7.45,50,66,1,-82,-56,-67,-27,-95,97.5,90.0,105.0,-90.0,105.0,51.5883593995111,19.2083903279096,15.0553426867641,17.191853966784898,8.97451729162327,16.6422131755773,5.701007060052871,6.32555896741593,17.2071644949002,5.963291178082611
2,17666,9.95,-7.45,50,67,1,-83,-92,100,-132,154,97.5,-90.0,97.5,67.5,-22.5,51.3211607117091,30.0532192688988,19.7903452446267,9.56428604820888,14.865727005569301,15.969695444312901,11.582689045111499,9.15458836049425,10.0015298882512,16.8306101098322
3,17504,9.65,-7.6,51,65,2,-25,-28,-81,51,-43,97.5,-30.0,97.5,97.5,105.0,46.331416737885505,36.729864175061,29.747495705713,19.8616971644683,13.048578345843302,9.05776336716438,8.36155568053365,11.855958369496,6.876762823038749,5.825806664187009
4,17505,9.8,-7.6,51,66,1,-82,-59,73,-44,-132,97.5,67.5,97.5,112.5,67.5,52.2678287144929,29.090128036805396,25.8358778486703,13.9377596816645,19.044423789389,16.6331817328718,8.83783094168017,10.133724214689,8.16463933659705,18.344955678576802
5,17506,9.95,-7.6,51,67,1,-84,-93,-98,100,-47,97.5,75.0,-30.0,105.0,112.5,50.3677694368606,28.004272580999103,14.978103510420402,12.732441067460499,-8.59756265393594,18.299103117212997,10.0047668602021,7.202551856198241,21.945870446792604,4.31712190911102
6,17342,9.35,-7.75,52,63,2,-7,-59,-36,-22,-84,97.5,-30.0,90.0,105.0,120.0,49.523814024798206,40.97564668995879,27.8991483152494,21.0337539390762,13.9189938353847,18.2084405933787,9.79632780011386,7.659029919205801,12.7643617755562,5.19641865906278
7,17343,9.5,-7.75,52,64,2,-7,-57,-37,-174,-21,97.5,-22.5,97.5,97.5,120.0,52.771887376722205,26.060811791937198,24.094452219650897,16.0885201014367,12.4441233907005,22.5977842824433,9.03295093648111,6.0639272403071,5.603149612489929,10.966882084121801
8,17344,9.65,-7.75,52,65,2,-18,-73,-175,-81,-119,97.5,97.5,97.5,97.5,67.5,50.3470676987329,32.1436268647256,30.027964896426703,23.1941439189895,20.7999469062162,17.6670266976748,9.403000441290231,5.93669380194299,8.075854009617231,11.2802224238146
9,17345,9.8,-7.75,52,66,2,-78,-85,-10,79,-41,97.5,112.5,105.0,97.5,120.0,49.0243435534563,36.356034443400205,29.370213327301002,17.645553740465104,7.74275224511865,9.88275177973405,9.86335028396144,10.2591042641154,15.0235617947887,9.972003449321369
10,17346,9.95,-7.75,52,67,1,-84,-64,-94,-19,-44,97.5,75.0,-90.0,-22.5,105.0,52.2859304918589,30.688542448122696,20.3504266430119,14.2813876588613,1.7918956724468003,16.1965765519875,8.20248633560766,9.01626914395682,7.1034186540768305,8.97846212723882
11,17347,10.1,-7.75,52,68,2,-92,-51,-73,-34,-5,97.5,52.5,75.0,-142.5,180.0,49.1639373357613,29.682508161732102,13.203779862953,0.56428913114928,-0.964386234659116,21.755592656539896,11.2699617206355,7.42217672864929,4.3691088399057,4.17821960826023
12,17182,9.35,-7.9,53,63,2,-10,-19,-57,47,47,97.5,82.5,-30.0,82.5,97.5,49.8950645560852,31.518373433582695,27.8665566127958,21.088761418325,16.955288645292303,18.2255460556207,12.2441633201339,8.50620731033027,5.89586221391415,6.96547649278387
13,17183,9.5,-7.9,53,64,2,-5,-62,-37,2,52,97.5,-30.0,75.0,82.5,97.5,48.4932094284904,41.9135386743849,33.0138052868418,24.5511442697478,14.911955209482699,18.5547531421717,9.698394833421439,10.5669768865972,8.50558296197821,8.402039585389721
14,17184,9.65,-7.9,53,65,2,-27,-63,97,-13,-81,90.0,-30.0,97.5,112.5,97.5,43.008688216161794,38.6506890811701,32.1451814736364,28.323642129579397,24.6939513567585,10.9063726279491,7.61875920118219,11.141231651713,9.6925566294878,6.398552125847111
15,17185,9.8,-7.9,53,66,2,-4,-72,-85,-18,93,97.5,105.0,-30.0,105.0,97.5,46.9135128135474,35.8725423545482,32.8231137307549,24.1129617260459,24.0878326625886,11.0929044314875,8.66101377743722,8.78556997664403,9.02849046824283,7.48767564205829
16,17186,9.95,-7.9,53,67,1,-84,0,-94,-2,-25,97.5,82.5,105.0,105.0,112.5,49.7481162032036,23.8720888481638,18.5490165122251,15.3591029204407,9.04046443746643,17.5144585942153,7.930778753732341,8.999504628167431,8.31951718600572,10.2073528420866
17,17187,10.1,-7.9,53,68,1,-84,-95,-55,-1,-44,97.5,112.5,97.5,105.0,-90.0,51.873825436387996,32.996585145390604,20.9289366112749,12.2605918483439,3.8222301266492904,16.0340291640291,20.6086361226274,7.456330111680191,11.2241115328617,4.69693316253022
18,17023,9.5,-8.05,54,64,2,-7,-61,3,61,-18,90.0,-30.0,105.0,97.5,-37.5,47.5738535954455,44.1262784172799,28.8408089715343,20.2601320906393,17.9542021993518,21.7268209394384,9.59360789219722,11.7009001654288,7.612846703233889,6.93082861144405
19,17024,9.65,-8.05,54,65,2,-9,-58,97,-1,-79,90.0,105.0,97.5,105.0,67.5,43.770679504227,32.842984361712304,36.966377835854004,27.1423785908864,17.951563313566602,10.134233960140302,7.709767037104441,13.414684318965799,6.732249700766141,6.6050556293525995
20,17025,9.8,-8.05,54,66,2,-52,3,-80,80,-36,90.0,112.5,97.5,97.5,-30.0,45.503778784813996,38.509978990083795,36.944685705751205,28.537005106301,21.6121088062949,5.37989948927081,7.8344043278725195,10.556498079133698,15.4707051013351,6.732430232188049
21,17026,9.95,-8.05,54,67,1,-83,-61,3,-94,-28,97.5,75.0,105.0,75.0,-22.5,51.0595411365462,35.1856622608421,33.711100374128605,24.154548520004603,12.289319929428501,16.7109260594557,7.808108584108269,17.8378899557716,13.922031956973902,9.529994029226279
22,17027,10.1,-8.05,54,68,1,-83,0,-63,-96,-43,97.5,112.5,-30.0,-30.0,97.5,48.9806232305622,32.4633965141835,25.1312958041761,21.878172616320896,16.5815289417639,16.282641943954403,13.1445954663963,7.39004734357917,12.9105531286169,11.6784874720543
23,16863,9.5,-8.2,55,64,2,-8,-51,-38,4,12,90.0,-30.0,-30.0,105.0,97.5,50.670581630660294,33.235718253123395,23.233232263772003,16.4839232598879,14.1113713360893,21.0113016609325,10.0532050441425,8.35765017344513,9.81947505500879,14.3627625731775
24,16864,9.65,-8.2,55,65,2,-7,-61,99,-42,87,90.0,-30.0,97.5,90.0,105.0,51.740900161294604,38.4553240928188,37.7587387642948,25.4628873373172,28.121540409352697,23.391132261619102,9.74475468010522,16.4386350051189,8.621933757336299,15.091125022346402
25,16865,9.8,-8.2,55,66,2,-6,-71,-83,-27,92,97.5,90.0,105.0,105.0,97.5,43.8682852175904,35.967015606014705,34.2756922771163,22.5918402368536,23.653057861347605,11.933327722255198,8.06992728749434,10.584847165425,9.19512327668576,17.2899408016149
26,16866,9.95,-8.2,55,67,1,-82,-60,-8,-94,23,97.5,-30.0,90.0,82.5,112.5,49.130622224323595,37.0412295453322,30.5423476700533,20.115191867668802,14.7574682805779,16.1336973786209,8.43831439839613,9.57399496302256,11.572631963935098,8.64795741928257
27,16867,10.1,-8.2,55,68,1,-86,-54,-97,-16,-43,97.5,67.5,-97.5,-30.0,112.5,52.4226909621249,24.8232581152037,22.5584086612891,15.352234040148598,2.07313072737566,18.5479216311438,8.23170966588879,19.4645377546684,8.00414354121987,7.59544118598361
28,16868,10.25,-8.2,55,69,1,-84,-99,-64,-167,-110,97.5,67.5,-90.0,97.5,97.5,50.3544585772062,35.1635844710933,17.127638570808802,9.67333373804365,-2.3595817279212405,15.491646412969699,19.5944455964509,9.07876027603171,8.93221396264418,7.601072679068871
29,16703,9.5,-8.35,56,64,3,-2,8,72,-159,119,90.0,-82.5,180.0,-172.5,180.0,49.5825033658801,8.47778418675051,-3.0483509869127405,-3.52553429632383,-4.98896789913283,26.2449441303576,17.524616077641898,5.32543075338061,3.63934694386452,4.05749428859169
30,16704,9.65,-8.35,56,65,2,-2,81,82,-125,-175,90.0,97.5,97.5,150.0,90.0,51.073136908394794,34.0065021621484,31.098617410922103,34.7848531340235,23.589187417059897,23.971971690253202,6.20150719667669,6.0337076327130905,24.8316451259797,6.908970487911769
31,16705,9.8,-8.35,56,66,2,-3,-64,-80,-174,-38,90.0,-30.0,90.0,90.0,67.5,49.90680091739549,43.3124249042591,31.369177557725802,25.5418040598893,21.338469750724002,20.6973568105918,10.0159208150301,6.686102952098969,5.6868303949104595,8.031459033557649
32,16706,9.95,-8.35,56,67,1,-2,-81,180,-60,-43,90.0,97.5,90.0,-30.0,105.0,48.67413020936971,41.0202710284349,33.3090868155043,29.9356199251126,17.2274331181595,13.331032279442,10.3825661330226,8.7460736642937,8.01253857235719,8.041126260209019
33,16707,10.1,-8.35,56,68,1,-85,0,-63,-178,-98,97.5,82.5,-30.0,90.0,-97.5,49.6046550803366,36.9808763762246,34.215711598642805,29.740068139730703,25.491244833384698,15.824866590402902,18.3321532416345,9.735767662710481,9.81635242356475,16.809223164092902
34,16708,10.25,-8.35,56,69,1,-86,-2,-100,-9,-69,90.0,90.0,112.5,90.0,-30.0,51.9027935435124,29.517781947322,30.1157060379446,22.2979708707626,12.813857711060901,15.787000035952401,8.907683691192721,16.5498702856822,5.0815098330114505,6.44097298375255
35,16516,5.45,-8.5,57,37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,16517,5.6,-8.5,57,38,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,16518,5.75,-8.5,57,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,16519,5.9,-8.5,57,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,16543,9.5,-8.5,57,64,2,-2,-46,-27,-37,-13,90.0,-37.5,90.0,30.0,-150.0,50.42972837220199,37.442458102876394,31.052384473733802,18.2784459210648,6.874855659760731,23.037449747369102,12.7825375685342,18.2822811706124,7.907660081719481,11.6969091090571
40,16544,9.65,-8.5,57,65,2,-2,80,-56,-39,93,90.0,97.5,-30.0,82.5,90.0,49.277525904700795,43.076056124794796,30.6271491775249,29.011056424073402,27.5137275518288,22.794217197009,15.081604596809099,8.37447925811668,10.0271264597914,19.1971947473522
41,16545,9.8,-8.5,57,66,2,-3,-63,-40,-79,92,90.0,-30.0,67.5,105.0,97.5,46.3517675913838,37.6293940042601,29.4623422036819,25.535234499113102,29.8147158210185,14.881950151756001,8.589733628124401,8.4979806683734,8.52473623459615,21.811652915043503
