,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,18655,14.3,-6.55,44,96,2,-36,-22,-9,0,-55,52.5,67.5,90.0,-67.5,30.0,48.2800781034328,37.0392524484497,28.4843741066367,15.684456681120501,6.29987805425264,18.024096704492,20.4567848981044,12.373595060873498,9.63345642045944,6.36393698139516
1,18656,14.45,-6.55,44,97,2,-38,-3,-29,-17,8,52.5,90.0,37.5,82.5,90.0,46.8009892153732,39.6780505741313,29.8562994907672,19.01984224975,2.6039977038976803,16.702545397507,23.918902774,9.55600558197047,16.6057131484019,8.575448756154339
2,18493,14.0,-6.7,45,94,2,-37,3,42,13,17,37.5,90.0,-45.0,-45.0,75.0,47.0821251744716,47.4364965884315,29.8838807254876,21.547281556925697,21.7552136933739,17.8076816295461,24.906514620212,12.5449156633516,9.61501423212605,11.293158933323099
3,18494,14.15,-6.7,45,95,2,-24,1,-40,-11,-80,60.0,82.5,-45.0,-45.0,82.5,46.4583501694629,42.5060895508427,34.4142098549583,23.896382163979002,15.521570112096601,16.5583236630636,24.9796853778622,13.2002618396245,9.21012544570809,11.513428987887199
4,18495,14.3,-6.7,45,96,2,-34,8,-50,-2,-17,52.5,90.0,-45.0,82.5,75.0,45.4950630319096,40.588703544169896,32.356193338081304,24.144208685857603,18.751276020014302,17.0764509660234,17.7937867821389,9.267636620766911,24.026896172942802,14.1778233185259
5,18496,14.45,-6.7,45,97,2,-33,-2,-46,-18,13,52.5,82.5,37.5,75.0,90.0,48.5045421543817,40.348771826121,30.518686344486,25.7135149133817,20.5661832186946,19.4848983138517,23.6083648535109,11.0612446708725,20.994386526796898,21.673663878861
6,18497,14.6,-6.7,45,98,2,-38,-19,0,0,-11,52.5,67.5,82.5,82.5,82.5,47.60894837718579,37.106991450435,33.3446215198592,27.3151596224754,6.737627363754599,13.5327439708774,15.184957422991701,13.3463198499827,7.42756828546168,11.0982245008987
7,18498,14.75,-6.7,45,99,1,-90,-27,90,-44,-100,90.0,67.5,90.0,37.5,-90.0,49.236716362695894,45.5125760998685,37.2340978192328,30.6760321487079,17.7400831932337,19.846481972908602,21.4431167440483,19.0040505424185,14.6574918157476,13.189072603556001
8,18499,14.9,-6.7,45,100,1,-91,-24,-24,-34,42,90.0,60.0,67.5,60.0,-45.0,49.50457202145989,36.2076766702174,31.250822910406104,25.4506209882584,17.951125023966,21.5910035721965,13.5370256787569,7.87027221222157,6.87062009167518,10.6733735392924
9,18500,15.05,-6.7,45,101,1,-93,-27,-23,-77,93,90.0,67.5,52.5,-7.5,90.0,50.4812097835649,36.726550942106705,33.1812872610335,34.7036970697891,25.1145072985337,20.2429703880663,11.4175482999985,12.057356184670901,15.269412426883699,20.612256103087603
