,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15943,15.5,-9.1,61,104,2,-67,-116,-44,-84,-33,15.0,15.0,-7.5,-7.5,-15.0,40.9584822926081,29.7425313562305,29.6860220412568,19.9634117333984,2.93342293998535,9.097078432492061,14.714348988987501,11.1979198809834,12.7341477997126,5.923911595947209
1,15944,15.65,-9.1,61,105,2,-85,-105,-109,-116,-141,0.0,-15.0,82.5,-60.0,15.0,40.3904341971981,32.4905562919739,26.4179750988874,27.0524031343743,19.439559737202,15.611456056835198,15.798416625481801,6.78468133782421,16.8001100223876,7.82119833039553
2,15945,15.8,-9.1,61,106,2,-91,-75,-117,93,-106,0.0,22.5,-67.5,7.5,-15.0,48.7701513263772,33.107768370711696,27.8631118634764,24.7389516853993,19.714950179574,16.5495994275192,12.797303378789598,25.2608960219708,17.6807866509755,17.6732453144568
3,15946,15.95,-9.1,61,107,2,-98,-116,97,-126,-134,22.5,-7.5,15.0,-15.0,-112.5,42.889095438216295,32.3745636999305,29.867765847349602,19.9988958257164,13.6667553565705,21.2349068203978,19.1702769702645,16.3817217705651,17.5148856704396,14.358919539762699
4,15947,16.1,-9.1,61,108,2,-120,-130,-156,-141,-141,15.0,-97.5,15.0,82.5,-97.5,42.9729571790094,18.7115212820418,15.467813982757699,3.6511232049040196,1.10311386316408,26.329898375387803,18.264325006430102,15.2903745207058,4.5953122699471,4.70501000995461
5,15772,13.85,-9.25,62,93,2,-27,-28,-48,-90,-38,52.5,37.5,30.0,-90.0,75.0,48.0755766908578,29.692801960061196,24.4332981037709,19.7072226140137,13.7545590121459,13.4144776264684,7.0985376393675805,6.044062626739991,14.3080652388259,8.2149050260647
6,15773,14.0,-9.25,62,94,2,-45,-69,148,-148,-89,52.5,30.0,105.0,120.0,120.0,49.52817124300079,12.8889559434915,-11.7085371727082,-10.7813605998055,-11.760465965899,13.8363458064994,8.52119529257812,4.64711932222447,5.00258075089883,4.18417827178035
7,15783,15.5,-9.25,62,104,2,-87,-35,-104,-155,153,0.0,7.5,97.5,30.0,112.5,37.1122912576345,22.6150880490015,3.1972662893092503,5.05126458293563,1.3881192419723898,19.5954625681635,16.068484530134402,6.387269860934071,4.679648260531059,3.8032531377022005
8,15784,15.65,-9.25,62,105,2,-74,-92,-43,-116,-105,15.0,-7.5,15.0,-67.5,-15.0,45.335510085161104,33.05579989285889,31.036665994099803,25.857048142462503,22.58436080321,11.769079373974499,8.39883525901581,9.23280712068405,17.9842683802265,9.764816320897689
9,15785,15.8,-9.25,62,106,2,-94,93,-116,-119,-163,0.0,0.0,22.5,-60.0,22.5,51.68698512153029,37.6392566106544,28.746076690433696,22.7499334454952,21.085770050934897,20.6448134045033,19.1006713842735,9.199954011422511,11.998769515982401,11.456181352350098
10,15786,15.95,-9.25,62,107,2,-104,95,-119,-163,-130,15.0,7.5,-15.0,-7.5,-90.0,49.096434335744895,41.38114894668811,30.397645539847304,16.7841593325136,10.8278584319041,24.6041802430575,22.438801134674502,25.809810934757902,13.878351784790402,10.6992740925368
11,15787,16.1,-9.25,62,108,3,-173,-78,-76,-135,-44,7.5,-7.5,30.0,15.0,-7.5,49.9068542026449,21.0224362286725,20.1078573443834,15.146579403216801,10.316795993037902,10.792541530325199,6.2652940899860505,7.831798327625459,22.039146924746298,12.3657055673186
12,15612,13.85,-9.4,63,93,2,-32,-101,3,-89,-46,37.5,67.5,22.5,-82.5,-15.0,50.147083275257394,36.9584682059459,27.802210647051396,26.4280369140407,15.041307391251,17.959060166641603,22.5759347252427,19.153889106046602,17.736269713957697,10.6154467216569
13,15613,14.0,-9.4,63,94,1,-121,1,-131,126,-50,60.0,52.5,75.0,45.0,82.5,51.3912107134921,22.311783946764898,22.0131546603545,12.960392727954499,5.245097709161089,25.482857491073,12.5515468552586,20.2075909243927,17.8771674048208,9.855239571778721
14,15623,15.5,-9.4,63,104,2,-27,-14,-102,-82,134,7.5,22.5,-7.5,37.5,22.5,45.707903521459706,42.1544650886414,35.934633084394704,17.696211038930198,17.4558504625323,20.078878010948102,22.681656652681603,19.8806482527383,12.515507533602,14.770135761104699
15,15624,15.65,-9.4,63,105,2,-74,-25,-8,-112,-121,15.0,0.0,15.0,-22.5,0.0,46.043932525325296,33.5378829244789,30.444375965724102,28.594513510747298,21.356719224126,9.62478294970928,7.65656990515543,7.44484831604869,17.6519185620899,11.118044428453
16,15625,15.8,-9.4,63,106,2,-95,93,-116,-116,-124,0.0,0.0,22.5,22.5,-52.5,47.2685056562354,37.7951918235174,30.4376639316781,24.489983786469697,17.0208366975687,21.924451831598397,17.5595496564546,11.866248231586098,8.6240667113977,10.1086624947564
17,15626,15.95,-9.4,63,107,2,95,-63,-135,132,-36,7.5,22.5,15.0,30.0,-7.5,46.229763033693295,28.3945902117351,29.687422193428397,17.8566427247053,12.746801666078,22.4910791862002,9.86787800320111,24.9268354406657,19.720111696460897,12.3359244450247
18,15452,13.85,-9.55,64,93,2,-117,37,-8,32,-94,67.5,52.5,67.5,22.5,-82.5,50.7809257715862,35.7793309321888,20.7809735700944,13.6573905503881,14.0999591651951,26.033595456487603,9.90453825367264,9.2820021954561,8.66201344894964,18.5437797385396
19,15453,14.0,-9.55,64,94,1,-127,-150,45,-29,-19,52.5,75.0,45.0,22.5,90.0,51.4655423779741,34.501624597305195,21.318496739282104,11.054222361493402,2.86709856312643,21.9635389397315,19.1351184478316,7.611740469421541,10.795437347940199,13.6522599963013
20,15454,14.15,-9.55,64,95,1,-135,-157,-42,128,-3,45.0,67.5,45.0,52.5,7.5,52.1251881294326,26.4254216761802,17.537289287777902,20.7473127227697,18.5720347930069,23.195210593914,13.5134356933842,9.91933361955872,22.642923606349502,25.6625394439044
21,15463,15.5,-9.55,64,104,2,7,-102,-116,-6,-52,7.5,-7.5,-60.0,7.5,30.0,49.3660680073069,34.694252059602604,28.855251771658303,22.720244318597196,14.962467973447001,14.646324203038398,19.1869287751592,24.7961173216088,8.48121636168058,5.8142532017672
22,15464,15.65,-9.55,64,105,1,-163,-15,-73,-114,-86,15.0,7.5,30.0,-15.0,75.0,52.6910357426071,38.48171958371061,22.679618518678197,15.696431251605,14.909439072864098,14.9572349615779,18.3026252762074,10.444257667643301,16.0412103703236,12.4741841110805
23,15465,15.8,-9.55,64,106,1,-162,5,90,-120,-119,15.0,7.5,0.0,-15.0,0.0,52.727377065993394,41.668430197431995,31.7931123372742,22.967201307470397,16.9566162222825,15.476280276921502,17.4914620793786,17.938915202998103,8.871392068786811,10.806105042726701
24,15292,13.85,-9.7,65,93,1,-125,-173,19,-161,7,52.5,82.5,45.0,97.5,75.0,50.004346878243,34.0873436662756,17.2431795447019,5.26307835282893,2.87530904978934,24.5347088992017,10.2041014948471,17.5294560550385,7.80714988550657,18.290539143062
25,15293,14.0,-9.7,65,94,1,-135,-179,22,-97,-1,45.0,82.5,37.5,-82.5,7.5,50.80019367853679,28.810792074535197,17.390108055824,9.22117453887762,6.227638143184089,25.178559820725603,9.79131553104708,16.9729928087644,22.5766226319138,21.2644848095088
26,15294,14.15,-9.7,65,95,1,-142,-176,41,166,108,37.5,82.5,37.5,22.5,67.5,51.0835612045472,37.8256309082806,16.6644750582726,3.4935623885858704,8.19239718996022,23.312217987432398,10.054224960569499,12.1150663071485,5.8702931124678495,23.2801301288617
27,15296,14.45,-9.7,65,97,1,-152,-178,2,-76,-46,30.0,82.5,7.5,-15.0,-15.0,52.63379145206321,34.9987177769347,18.7165811788242,14.8730994389068,8.888517128137439,18.8836386842118,9.3282136031104,25.408405119395198,13.7531669891068,11.891469491912698
28,15297,14.6,-9.7,65,98,1,-155,-178,153,3,-53,22.5,82.5,7.5,7.5,-15.0,52.410896484768,27.8294146988265,27.327266991056398,17.3287686868068,8.38072160468738,16.0782734360486,8.58355002931723,16.4915777077157,25.7658042338456,10.4883765605981
29,15298,14.75,-9.7,65,99,1,-157,155,179,-64,3,22.5,7.5,82.5,-15.0,7.5,48.297097637346795,32.7224291597897,27.2849158629382,18.1735127320867,19.2609726984373,10.372616201769699,10.765854147600601,9.36494218966276,9.72345077233687,25.420204813677802
30,15299,14.9,-9.7,65,100,1,-159,180,153,3,2,22.5,82.5,45.0,7.5,7.5,50.8045914739635,30.297538936943198,27.3377568446776,17.1527116274345,13.6791552698456,9.72396297204134,8.77609293155352,10.854830637246199,12.731171214282,10.0021088332598
31,15300,15.05,-9.7,65,101,1,-162,179,159,-77,-35,15.0,75.0,37.5,-15.0,-45.0,51.65071202765,32.4451174056922,27.0381001844423,26.974810012482,21.531225186296602,14.112841908472099,6.762247467884951,13.185713012974,14.1334937967093,19.016639001205398
32,15301,15.2,-9.7,65,102,1,-166,-159,156,-40,-77,15.0,0.0,82.5,-52.5,-7.5,50.4469815166131,30.4285353387828,19.460769483515197,18.257444835725398,18.5923885918775,8.6575314416248,9.945862576921071,8.982353057207689,15.6220282389476,12.0670577868855
33,15302,15.35,-9.7,65,103,1,-162,172,3,156,-93,15.0,37.5,7.5,75.0,-7.5,48.888440278872395,29.3857502395205,30.9518565304782,18.297072443606698,20.9573667651309,8.70603006881205,8.76420224451645,25.776173948824102,7.4327751349704005,18.1802205195481
34,15303,15.5,-9.7,65,104,1,-165,172,4,-104,161,15.0,37.5,7.5,-7.5,30.0,52.1041423649897,30.8656074749098,33.0674815557715,25.085384641069197,13.5226055655071,13.4002915666065,7.58533960448498,22.0254356566088,23.4848206409238,11.725516495697999
35,15304,15.65,-9.7,65,105,1,-165,5,173,-114,158,15.0,7.5,37.5,-7.5,15.0,51.7884692201332,36.406517407614395,26.571831664976898,22.9831037704182,15.4137484822445,12.944611133236801,22.9581105098383,6.892088241873231,9.8407105759051,6.25912945701667
36,15305,15.8,-9.7,65,106,1,-168,-74,-97,-120,-122,15.0,30.0,0.0,-7.5,-15.0,50.476056656394206,28.9977315058695,25.9407932269854,13.816426474468999,15.5775904877249,12.2241913560027,9.175435396576429,6.581727312854411,3.2912783679573305,10.1344738878648
37,15306,15.95,-9.7,65,107,1,-168,-1,-81,-133,-127,15.0,7.5,-7.5,-7.5,45.0,51.8438318663369,27.1738387502992,19.593727041919397,19.3510421074913,15.4543685285444,12.000574387797199,11.6538873794946,4.3736333508859,8.39209335880895,10.9307894394189
38,15120,12.05,-9.85,66,81,1,-14,16,-179,-74,3,165.0,150.0,172.5,-105.0,0.0,48.9655939266694,24.753329002185396,21.347754390938498,22.247063300054304,17.354820289509302,15.258353608433499,12.223617171886401,9.43700478134982,12.3237104320907,23.695645719443604
39,15121,12.2,-9.85,66,82,1,-15,19,-179,-76,163,165.0,150.0,172.5,-105.0,180.0,47.2459920060454,24.2030515936062,22.9256929355122,22.594786219454605,4.484839492297111,15.3442108080798,11.288977878111599,9.85337178711033,13.5146920713238,10.6472707002785
40,15122,12.35,-9.85,66,83,1,-17,22,-177,-77,-163,165.0,142.5,172.5,-105.0,180.0,48.640257554467794,27.068507129045898,22.3401447312114,20.0544437180293,3.9996909831157796,18.7499369566186,17.0211491327689,9.81941352951728,14.2734576683446,9.355108738996119
41,15123,12.5,-9.85,66,84,1,-18,24,-178,-80,9,157.5,135.0,172.5,-105.0,127.5,49.2432908217814,29.168808200507303,14.507570480371498,12.1814962288466,0.0834802386732463,14.837070386948302,14.4575584241098,9.94504171581231,14.908802362831302,14.9656600978438
42,15124,12.65,-9.85,66,85,1,-22,28,-178,-5,-81,157.5,135.0,172.5,0.0,-97.5,49.4107584287497,33.4832273809591,18.0613041205578,17.2102401966697,14.754252325883801,18.706917770929,17.5955749481121,9.79977027193809,23.2065588839167,15.844522473880101
