,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,21068,16.25,-4.3,29,109,3,122,150,142,15,134,-127.5,-22.5,-157.5,-150.0,82.5,1.63532098087211,1.16447228186462,1.37032318387674,1.97318524770014,-0.0488848170589335,3.0598597006266703,3.3400805245926297,2.90501897537005,4.46618191134525,2.7967414635959797
1,21069,16.4,-4.3,29,110,3,153,-42,-108,-15,131,127.5,45.0,67.5,-112.5,-97.5,31.130455729253203,13.718808461150598,3.6162673183647502,3.95236887711695,2.06583294058231,19.7241734486453,14.453154444483099,4.51917702260103,6.37461897174518,3.76901402234425
2,21070,16.55,-4.3,29,111,3,148,94,137,-175,-1,120.0,112.5,37.5,105.0,82.5,41.299083543147,1.04287311004566,1.94032322901757,0.398296004362919,0.6471231774894479,21.6883660948147,4.1632696922721495,4.91778226180575,3.72505274182416,4.56678043794214
3,21071,16.7,-4.3,29,112,3,172,-115,125,160,-120,127.5,60.0,-67.5,-52.5,-172.5,25.189838806458997,1.32343143387197,5.041869411536481,1.78810623180527,1.4080620677053202,11.092683217491,4.01490692634619,8.928299628812288,3.1661723996903395,4.376679971894419
4,20908,16.25,-4.45,30,109,3,-125,-135,-51,-88,152,120.0,52.5,127.5,-105.0,112.5,50.395100960526705,32.640365400144404,6.89031754379982,-1.2554784742839,-0.225702911571716,26.0542592751714,16.5772413535358,6.545093547507111,3.9532550002406297,5.3805702938102105
5,20909,16.4,-4.45,30,110,3,118,-111,-81,-131,0,120.0,127.5,150.0,-157.5,67.5,11.5585037588826,2.0403919219946296,1.95974898522672,0.593777281731946,0.285045331665117,15.0278787049027,3.9596273497323597,3.58417965498215,3.69755149943264,3.54008634924106
6,20910,16.55,-4.45,30,111,3,141,-42,128,10,-1,120.0,60.0,135.0,67.5,-30.0,28.4990687009907,21.0642969893806,2.5326684526147,3.7837550531509705,1.1299360740179099,22.565838579342298,13.697462578281,4.73988526284825,7.09819055664662,3.5497112002051496
7,20911,16.7,-4.45,30,112,3,141,-153,153,-23,58,127.5,180.0,-22.5,-15.0,15.0,30.9604020591874,3.7934608758691297,2.841501284814,2.52177145004771,3.7880098835487996,21.212340221478698,6.4800881775312105,3.76231981212362,4.50585415837967,4.559221083351
8,20749,16.4,-4.6,31,110,3,106,106,-10,8,170,-135.0,15.0,22.5,157.5,-105.0,1.4916414369803301,1.33635317017922,1.2583156538057099,2.8126746898331,2.43155853119333,3.51980170064349,3.32880870621035,3.7572902293891,5.250104595547071,5.12990029103483
9,20750,16.55,-4.6,31,111,3,125,1,-90,-114,21,120.0,97.5,-165.0,-112.5,120.0,26.369601928880602,0.182308781897007,2.44262477724811,3.17556211685934,3.88181743108566,25.2499909021394,3.09338053706301,3.50146643892182,5.04853251198068,5.5574569910522
10,20751,16.7,-4.6,31,112,2,-129,-139,138,26,169,127.5,120.0,127.5,0.0,142.5,37.2056159529609,23.2036088872154,19.657564808921897,4.73249257173484,0.643558732402141,25.5497434984284,16.156590825213403,22.0018527930826,7.649294972682839,3.66658644876756
11,20752,16.85,-4.6,31,113,2,-133,142,-142,-2,-107,120.0,127.5,105.0,-150.0,22.5,35.181607389972,26.0542002909967,9.92576327776027,1.54241902405442,4.46362315983947,22.558741762002303,17.561315317722002,9.09833124875264,3.67190258861254,4.85510199557121
12,20589,16.4,-4.75,32,110,3,-147,6,134,-24,122,127.5,15.0,-120.0,-15.0,-150.0,42.309462772914294,1.12160013522953,1.5861296487906298,2.7254259164858503,-0.7161004330324091,22.193755394421395,4.03257753325214,3.8048282024104703,5.27422124737076,3.0487415515484
13,20590,16.55,-4.75,32,111,2,-130,-139,-113,-24,-5,52.5,127.5,-157.5,-22.5,157.5,39.9221328408088,23.9843858308137,4.40090093540766,-0.676611545394735,1.9528517145728899,25.453262295865002,14.6722628076726,7.33505695215322,2.3568208507790698,5.55697434433441
14,20591,16.7,-4.75,32,112,2,-134,-125,129,-77,143,120.0,120.0,127.5,165.0,-90.0,33.170216635945394,21.2699685272271,14.319025532760199,2.07532086175274,2.6533015637703596,24.437777202827803,10.046058284143902,12.7933408216607,3.9684035335273795,4.476684991874389
15,20592,16.85,-4.75,32,113,2,-133,-157,-125,-43,144,127.5,120.0,112.5,120.0,82.5,35.032354163769895,26.741492902077,12.548848333838599,3.27341534781874,1.70382867031651,21.685417577976605,13.823012340473301,9.95112674632903,5.077975416186179,4.1114046762817
16,20430,16.55,-4.9,33,111,2,-131,-140,-66,-154,-13,120.0,127.5,127.5,120.0,-120.0,39.8663920455843,24.1037571583907,13.4832556094179,8.99353425725957,0.915811829890288,20.8241972250033,16.2521818246474,8.57482054257993,10.1866947292504,3.21975510907642
17,20431,16.7,-4.9,33,112,2,-132,-139,121,-126,138,120.0,90.0,127.5,127.5,-22.5,37.68390243776221,29.5008572503675,25.858054917760896,17.5622104330498,4.5307905495888,13.459471291915698,16.352146384711197,22.1667554191831,13.0768886430927,5.787214764838329
18,20432,16.85,-4.9,33,113,2,-136,-165,130,-126,-100,120.0,52.5,127.5,120.0,-112.5,34.25397001253,24.414145141339002,24.252723766411,12.9215631949476,0.6251783032237199,15.9930410748192,8.01743701389757,23.1352518793921,11.1504600317606,3.07816797066535
19,20433,17.0,-4.9,33,114,2,-134,-140,-146,139,132,120.0,120.0,97.5,127.5,120.0,37.25048695351521,20.0500196218927,16.1549437208023,3.96242875705042,1.6863018168152202,17.0915657373939,9.358062606536981,10.4775607021797,7.46590664898947,4.79200567661203
20,20251,13.7,-5.05,34,92,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20252,13.85,-5.05,34,93,3,147,139,116,91,-119,-22.5,-37.5,22.5,127.5,135.0,0.354028712802574,1.93809083084642,1.79886757092612,1.38716796949655,0.26820444084756895,2.9052616197526198,4.5154852278515305,4.42525950616467,3.41731066123788,4.01733792596782
22,20253,14.0,-5.05,34,94,3,-19,93,0,-92,-135,-7.5,7.5,30.0,90.0,142.5,1.1384363776844,3.72409748418568,1.14215031923953,1.03963005009479,-0.219595283349577,3.32999607505788,5.408728423431421,3.6184628496723596,3.2565537931707103,3.31444610815072
23,20267,16.1,-5.05,34,108,2,-130,-158,-121,-50,41,120.0,60.0,120.0,127.5,15.0,43.5366059272114,19.953260245245897,14.746674096595099,16.886058740358,2.7860480448813396,21.2389937653757,9.39673244878042,13.097316242330999,9.8184686400866,4.2116630302767994
24,20268,16.25,-5.05,34,109,2,-129,-138,-55,-166,-150,127.5,120.0,120.0,120.0,105.0,39.22627344866179,26.660848621126103,25.991995417260103,12.6346129581829,3.89424466709511,25.0072234665598,14.6972530759566,9.62557478268378,8.99326532043777,6.7443915855644905
25,20269,16.4,-5.05,34,110,2,-131,-58,-139,-122,125,120.0,120.0,60.0,120.0,120.0,41.3029281795995,25.0076049986192,13.967410796604,13.0230880129772,2.33366640854643,19.5268305223799,9.61366030638434,12.015608619246303,13.0456888718715,4.422338602971879
26,20270,16.55,-5.05,34,111,2,-133,-131,-142,-61,33,127.5,120.0,97.5,127.5,-82.5,35.5560265787623,27.635289603708802,19.5090743261759,18.6430984008142,3.68635083862688,13.727907047309001,10.0052891854529,16.500836518244,9.36321190107641,3.8929806240415603
27,20271,16.7,-5.05,34,112,2,-135,-169,-146,-12,16,120.0,52.5,82.5,-172.5,52.5,38.7380537116082,22.200473856289396,8.46185129733351,3.5204471159015602,2.66739676062241,18.729634739428,9.008729438830882,8.540990583031759,4.61731452736916,5.468578067967759
28,20272,16.85,-5.05,34,113,2,-139,-130,125,-176,-123,120.0,52.5,127.5,120.0,82.5,40.71888061021429,25.576745767146804,24.7323605900852,12.9541394354118,3.5213671101127497,19.232229256517,12.864738539994303,25.3412574915583,6.11026315499196,4.27315104915247
29,20273,17.0,-5.05,34,114,2,-135,-169,131,-146,19,120.0,120.0,127.5,60.0,-135.0,38.187250698996,19.2240315615341,22.339679559527102,11.9205943294398,0.5383261936968321,18.2023514777023,7.578220291773571,22.4660660783407,13.5135302658355,3.0461170908510202
30,20089,13.4,-5.2,35,90,3,-157,162,141,-138,81,-157.5,-165.0,105.0,-165.0,165.0,1.98383214553246,2.13311765143681,-1.31065133750917,1.08392281902246,2.13104302958038,4.57360433064304,4.605351793329469,2.53833738303562,2.94850877463902,3.54140706651344
31,20090,13.55,-5.2,35,91,3,-43,124,168,4,-18,-37.5,-75.0,150.0,-37.5,7.5,2.43984547957956,1.21767543606524,-0.6666173599961099,3.04164348854295,1.11981277878522,4.35881338091389,3.2988987871364803,2.80455787369755,6.3264116690432095,4.3559603893570396
32,20091,13.7,-5.2,35,92,3,-41,30,-111,-147,-135,-97.5,180.0,37.5,-37.5,-75.0,1.30149566668916,3.08487106483199,2.2461128079994,-0.0923392727477221,3.2718975954809397,3.18767406718962,6.37701532386184,3.2226679022835,2.73643726488612,6.50925365051551
33,20092,13.85,-5.2,35,93,3,120,36,108,110,-30,-157.5,-67.5,-45.0,180.0,-90.0,2.70444796073787,1.6371475645562399,2.9512398737552403,0.41626181660274103,1.25310261278611,4.61628011389242,4.81558928770755,6.021588705900379,3.6138889717677904,3.6797651967833502
34,20093,14.0,-5.2,35,94,3,-110,102,-57,48,-92,-112.5,-67.5,-52.5,172.5,112.5,1.58768139979389,0.700062599556531,-0.69231870648315,0.469735205183611,2.83098465383273,3.2220323223797407,2.8890557662752796,2.9370699551442905,3.38644219590393,5.399237650565589
