,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,19589,10.4,-5.65,38,70,3,-164,130,-150,-142,103,-105.0,82.5,-142.5,52.5,-37.5,2.54991701462205,1.21517830666244,2.9181297430932904,0.18934719401181602,0.172985349740657,4.3618091886587695,4.21246772986495,5.0698068490881605,3.0923736013647503,3.0416234884651296
1,19590,10.55,-5.65,38,71,3,-28,-53,-34,-128,101,-15.0,180.0,-112.5,-90.0,127.5,1.13494632067579,1.1945381829526698,1.18641699827293,1.8053929528591102,1.31720003113281,3.88735406788508,3.20777728648727,3.8389247190357594,5.22216228276287,3.48862670312713
2,19591,10.7,-5.65,38,72,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19592,10.85,-5.65,38,73,3,-51,-71,-134,-107,138,22.5,75.0,30.0,-157.5,120.0,20.9053974295076,1.32945571018274,0.81303781582892,6.474708750849169,4.16069250840735,11.224988097000699,3.5826843041829597,3.58809221454562,7.59012814450233,7.73215819823078
4,19593,11.0,-5.65,38,74,3,107,-8,20,75,-73,75.0,-165.0,-105.0,-30.0,-172.5,1.63309987919882,3.37384168468162,0.0992105162329722,-0.49181943081776996,0.0840873014064414,3.43121340179805,4.9982841660763295,3.64501061837874,3.01707906904754,3.10629103062182
5,19594,11.15,-5.65,38,75,3,-148,88,-172,86,-133,-82.5,82.5,52.5,112.5,-135.0,2.48953783882519,2.83599440913667,0.00374825252822575,-0.491133509719305,0.8381955825933571,4.72133215112102,4.567785502848889,2.53480825911571,2.71831672179619,4.00607054027698
6,19595,11.3,-5.65,38,76,3,22,-165,-89,2,124,30.0,-22.5,-120.0,172.5,-157.5,0.89726003822966,1.1469004498384798,2.43394242221513,0.710528913157191,3.0038910580763103,3.20501085814066,2.61154192249939,3.66306670463619,3.6327760588116096,3.88601081983253
7,19408,7.25,-5.8,39,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19413,8.0,-5.8,39,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,19429,10.4,-5.8,39,70,3,121,-18,34,3,119,157.5,-7.5,-52.5,7.5,0.0,1.0535955346508101,1.12472791823564,-0.373396814130956,1.7623017380039998,3.54645541377187,3.09733454003042,2.8645921934035496,2.9651107339783196,3.76884840132641,4.2353803701057595
10,19430,10.55,-5.8,39,71,3,140,-20,-33,44,-1,82.5,-52.5,142.5,67.5,142.5,3.7817878430641403,1.95557241482152,0.364717102957741,2.0646370408796297,4.321131921654629,5.531260017622549,4.60182266899647,3.22742582724334,3.90424415442815,5.5383924339257
11,19431,10.7,-5.8,39,72,3,-117,-100,118,-48,99,60.0,67.5,-15.0,90.0,60.0,1.70285090185058,2.77711900443052,1.54531648958056,1.6057824537603,2.74613081859553,3.74533201696628,3.5827133119937002,3.0994484329948198,3.5271891857057405,5.383187551751099
12,19432,10.85,-5.8,39,73,3,2,140,-36,-19,130,-45.0,90.0,0.0,-22.5,-60.0,4.3657795682345295,0.833586671846945,1.49731694615917,1.8413986297905502,-1.11555000246079,7.04014510036415,2.88917378891284,4.524008818760691,5.35750230647778,2.59647794187359
13,19433,11.0,-5.8,39,74,3,-51,-147,-9,-137,-115,22.5,82.5,-45.0,135.0,-30.0,21.3266662374945,1.7168680056335,2.9093014752345403,2.4796775216682403,0.6587836578637509,11.336089422099302,4.82374089364062,4.63501061130415,3.5744294971462898,3.51515985175838
14,19434,11.15,-5.8,39,75,3,-51,-90,-17,-15,8,30.0,127.5,-105.0,-52.5,-120.0,16.959431284935402,4.59738750517937,2.09111301614803,2.39652035739346,2.3150933948162997,10.9417889362253,5.157826240634,4.527905855576139,3.6620896515303,5.1030808064667195
15,19435,11.3,-5.8,39,76,3,132,-30,-44,25,-83,30.0,112.5,82.5,0.0,-30.0,0.9031456494346909,2.2632489213494904,-0.26941831508463604,-0.759092282134475,0.314235754779702,2.8728167748109,4.158331586637931,3.17357950299909,2.9271333267235398,3.45862826794469
16,19436,11.45,-5.8,39,77,3,-123,-106,51,0,136,22.5,-120.0,105.0,142.5,-105.0,25.6490546887222,0.10756210873972802,3.22673629379892,4.89152932853989,1.35650233478356,25.654485634098602,3.3513337788846203,3.78062599701859,9.04552438805057,3.2989214514824106
17,19437,11.6,-5.8,39,78,3,-126,107,157,-24,17,-7.5,180.0,-142.5,-7.5,142.5,22.5998200434251,2.19469778290687,2.1786242860066,0.16995580338641503,0.5693866989785761,25.341295355205396,4.06976410079238,4.27001513119801,3.65696926514629,3.7968373997514395
18,19248,7.25,-5.95,40,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19252,7.85,-5.95,40,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,19253,8.0,-5.95,40,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,19254,8.15,-5.95,40,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,19269,10.4,-5.95,40,70,3,155,25,-9,-94,-154,-142.5,-52.5,-135.0,-120.0,-75.0,1.5564832444429197,1.1977494450160902,0.688366285146969,0.980448756328315,2.83196485762664,4.17848024998083,4.35036944305908,4.30232231748434,3.38184270113642,4.623702207089219
23,19270,10.55,-5.95,40,71,3,20,30,38,-3,-163,-30.0,-67.5,-37.5,-60.0,180.0,2.5316229701204502,2.00836716025049,2.1328058003503503,3.3721972743190896,3.50295247134193,4.16083243530904,4.4205321982762005,4.9421157973267,5.7453655339776395,5.75728500408846
