,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15913,11.0,-9.1,61,74,2,-92,-76,-161,35,-131,135.0,-105.0,112.5,-90.0,82.5,42.0038513558967,20.3382748036441,16.2605763730959,-0.549397735585615,1.6598162491909,21.057705448583,13.7835895727594,15.1826128023667,3.06059215968966,4.9257469671057805
1,15914,11.15,-9.1,61,75,2,-92,-103,-40,92,-37,-90.0,-105.0,112.5,-90.0,-105.0,42.96591260178571,25.2453572579482,14.201795614756401,16.6265020588287,7.22232922818102,20.7931382705525,18.2309675342563,7.59593652540352,14.165804633728198,7.45128195705595
2,15750,10.55,-9.25,62,71,1,-43,-45,-131,-32,-70,127.5,127.5,112.5,52.5,105.0,49.67091899534471,29.957718628018497,28.895059462103,13.599929719821501,11.2473641453859,7.8159285662879805,6.50062883120109,7.96842044464049,6.29604307346314,6.59748238328079
3,15751,10.7,-9.25,62,72,1,-48,44,-35,-74,-77,127.5,127.5,97.5,150.0,120.0,50.947416456747504,23.8079135237653,20.6085517646667,18.9376711760756,3.7278349168008704,11.721730630017,9.56968651445627,13.461639477989099,8.71661815082448,6.0124754116848695
4,15752,10.85,-9.25,62,73,1,-51,141,-37,-81,130,127.5,135.0,112.5,150.0,135.0,49.64037052379091,27.758253955904497,16.5971168119606,15.6173454297539,7.723226587233059,11.0125068553745,13.0564357143639,6.81807744732003,12.1217146849755,12.0827724116969
5,15753,11.0,-9.25,62,74,2,-57,-92,145,-78,2,127.5,135.0,120.0,-97.5,-67.5,46.277230669768,32.4897511785443,25.824048951757398,17.7341361088472,8.57056697455738,9.01697516509113,17.122063832679903,20.4743217734679,11.1300337695992,16.5739013164729
6,15754,11.15,-9.25,62,75,2,-91,-76,92,-105,2,-90.0,-105.0,-90.0,-105.0,-105.0,40.916288505969796,34.217463384530696,29.1810610072717,24.161384853684698,17.7770928795598,17.0714144889854,13.028609602472802,13.4982474712679,16.068087282690197,13.810146122096699
7,15583,9.5,-9.4,63,64,3,-40,-33,-137,-113,164,127.5,120.0,-105.0,142.5,112.5,30.001553570044198,16.119395742098302,2.12336825052984,0.5806179860236971,0.11289150877450999,8.06980331996104,11.378344933259099,4.96994745823345,3.7731381555768597,3.6849077798017
8,15584,9.65,-9.4,63,65,3,46,-105,-138,-89,-117,120.0,-60.0,-105.0,-82.5,-135.0,0.13119156398909101,4.423938909164179,1.00647899983608,1.05044001561612,2.18591899661794,3.3249764387640397,5.509581437941541,3.35334297331848,4.09046639989173,3.9876557970585096
9,15586,9.95,-9.4,63,67,2,-21,-10,-1,-102,17,105.0,127.5,135.0,0.0,-105.0,51.5973940407916,20.5077420639876,8.910216238907712,-2.1211517361306798,-3.08215046166691,23.728806104678103,22.111831032926602,11.8262637607898,3.4122458073915602,3.23121823559725
10,15587,10.1,-9.4,63,68,2,-24,-14,-7,-79,-119,105.0,127.5,-165.0,-165.0,-120.0,51.6697148525492,30.9645521728511,11.5583050467475,0.0151493820642941,-1.5644673696488702,23.005445481275803,17.4561253842552,13.1074525359251,5.18286710261626,4.20956108880132
11,15588,10.25,-9.4,63,69,2,30,16,-143,-119,-99,127.5,135.0,-7.5,135.0,7.5,45.31100030543121,18.974446092846197,0.8971546406988299,0.8620585529946541,-0.0818907990130811,20.7820678052164,20.0089549274193,4.09362081877435,4.22899519200717,4.08377332906645
12,15590,10.55,-9.4,63,71,1,-47,-31,42,135,135,135.0,112.5,127.5,157.5,142.5,48.93899762688889,38.0228176910202,31.1086912337307,17.943019877716104,9.2654707175883,12.5802057347105,17.6651485882984,11.667205621431501,10.931160456538,6.531646773876999
13,15591,10.7,-9.4,63,72,1,-49,140,-28,-36,129,127.5,127.5,112.5,52.5,150.0,51.1302318400296,38.1959812159178,23.2013772123798,20.147108324489697,10.1811879033335,11.459905658419302,21.1060040764553,8.36704238573862,13.014204329767999,7.7974554350073095
14,15592,10.85,-9.4,63,73,1,-53,-38,140,102,-25,127.5,105.0,127.5,127.5,142.5,51.308601526044505,32.4042744476127,34.999080709983,12.8519234968771,7.7376971482033206,10.9209997625334,15.7209481586658,19.690303424485897,8.0544283869113,6.10538934203417
15,15593,11.0,-9.4,63,74,1,-54,141,-93,132,-34,127.5,135.0,135.0,135.0,142.5,49.014244301984206,29.613837166901803,23.7438395603615,21.8796719207423,15.114771318437299,10.416999603174501,9.46796333713002,9.245023942399039,9.78402883190018,9.472633413650652
16,15594,11.15,-9.4,63,75,2,-107,152,-77,139,-95,135.0,127.5,-105.0,127.5,127.5,40.2451962395983,31.7072632404598,23.3645542377989,13.1460856252551,9.615401204030382,22.8589025680572,15.432155812046402,14.468895786286302,12.4447500979929,11.163257335409401
17,15421,9.2,-9.55,64,62,3,-3,-48,-18,-91,-111,135.0,127.5,127.5,-172.5,127.5,24.837862183701,14.715025380206999,3.03328483220662,1.9064461168503002,3.6256788286913197,19.8887090986917,7.465537874728099,5.4632168011345605,5.61019100676016,4.28106966922631
18,15422,9.35,-9.55,64,63,3,-46,-2,-72,88,-28,127.5,127.5,135.0,-60.0,-7.5,32.0390037190484,18.536882389672197,6.757509964004901,2.12499813848603,1.25904030130579,12.587782704801302,23.132978800252598,4.32539532614667,3.2900615997788902,4.32071674690703
19,15423,9.5,-9.55,64,64,3,-1,-8,5,9,145,127.5,135.0,-67.5,45.0,-97.5,22.934205551382398,11.910337208354301,2.06305186898891,1.27842482138016,2.26765587108116,17.6996478569886,11.5832736735088,3.53144753492281,3.79609411008416,4.06861862789958
20,15424,9.65,-9.55,64,65,3,-35,-139,14,-3,6,127.5,135.0,127.5,-165.0,150.0,36.946731310809604,26.497934822774702,22.9588166859304,21.597466363021102,13.2296015045555,16.902634308450402,15.5029354334426,11.4818249415452,21.453190873883102,9.645268392171019
21,15425,9.8,-9.55,64,66,2,-9,2,-137,95,-40,-97.5,127.5,142.5,-15.0,-172.5,30.078302361525196,8.614992853939379,8.07893280119282,1.16626567047501,0.49087003935136403,25.279571036468898,12.5187347610877,10.6018943350841,4.511108915483669,3.23372585294478
22,15426,9.95,-9.55,64,67,2,-15,-52,110,-2,-5,105.0,127.5,127.5,105.0,112.5,44.6717305656666,32.487003873450796,27.231154072593004,15.721895229086401,10.856280384518199,23.6612540340069,8.75612950742329,11.977401246404801,7.239563594444539,11.4356449614853
23,15427,10.1,-9.55,64,68,2,-19,-9,1,168,11,105.0,127.5,135.0,-97.5,60.0,49.88218813262879,29.292348472982603,20.0557718725875,-4.7501017662768295,-4.22035756908838,24.083379668011,19.442459419151398,21.7828593978485,2.90220381546139,3.5908293061540095
24,15428,10.25,-9.55,64,69,2,-21,48,-11,33,25,112.5,135.0,127.5,82.5,90.0,53.39450153130299,40.0350666278847,20.9069006051855,15.651554854149198,4.04329932041855,23.556210141584703,11.6539348879253,16.286369480080303,15.0470245418131,7.64956062680139
25,15429,10.4,-9.55,64,70,2,-21,47,-33,-10,120,112.5,127.5,105.0,127.5,7.5,50.2608445124158,41.154541601585606,27.715742986094497,11.2152491184949,-3.8230705246088,21.241837621850898,12.034762803793301,17.9012981900629,7.5500804417902305,2.92424838311515
26,15430,10.55,-9.55,64,71,2,54,-30,-45,-16,120,127.5,97.5,67.5,120.0,120.0,46.8929777445417,40.861173331476294,34.8306242627663,26.299542247357998,13.7994786774476,8.85159792045686,12.574352980796402,11.8689892193887,10.222645019912699,19.4706402808612
27,15431,10.7,-9.55,64,72,1,-48,-36,136,-26,-18,135.0,90.0,135.0,105.0,112.5,48.61959081862079,29.275642660162802,28.9619618405775,24.554360561585302,11.757209570697698,12.473242200873,12.8669467624522,19.536262887089396,15.140607165652002,6.94745740007568
28,15432,10.85,-9.55,64,73,1,-45,-32,139,-75,-22,127.5,120.0,127.5,105.0,105.0,50.4951503210365,30.895097142390004,31.4991476888241,27.299029909021396,15.9902688479082,10.9828572865502,9.66351800003463,13.6384253264948,10.5983270627016,6.54743863169914
29,15433,11.0,-9.55,64,74,1,-48,138,137,-8,-29,127.5,127.5,127.5,127.5,75.0,51.153071733214595,25.550851896662103,18.259108982469602,16.5505617886968,5.05030482605605,11.8763996537499,10.6144265056562,8.66130025724727,8.03229832445509,8.70177089042917
30,15434,11.15,-9.55,64,75,2,-54,138,-111,-18,153,127.5,127.5,142.5,135.0,135.0,48.62227228630611,41.677197890829504,35.4887623054535,22.4799333202529,19.1842910443543,9.95102911174994,20.702655364327,14.795059476377801,13.714828797964401,9.45982829811772
31,15260,9.05,-9.7,65,61,3,-48,0,-35,-111,27,127.5,135.0,37.5,22.5,157.5,26.636635760757603,18.987783492298,1.95852095654232,1.78683215085488,1.38059231743796,10.7077252382699,17.796564802065,4.03526222888544,3.30766111914595,4.0078194821196
32,15261,9.2,-9.7,65,62,3,0,12,20,147,130,135.0,135.0,127.5,-37.5,112.5,20.191643315154604,13.9868515394817,7.701164952385111,2.37553341232444,0.705007171042894,15.148589034869198,7.82823532466288,9.24895240045183,5.10098900440363,2.99232925653692
33,15262,9.35,-9.7,65,63,3,4,2,-9,-111,132,127.5,135.0,-142.5,-127.5,-172.5,19.9663021318415,11.5160730775568,4.34554007387794,-0.107086153097953,0.8812759803427641,11.3757236827056,7.415987461725429,5.87809157175866,3.1212828636617003,3.0373942353457
34,15263,9.5,-9.7,65,64,3,-46,-139,1,-17,135,127.5,135.0,-165.0,127.5,-105.0,37.304288409791496,31.8387696551304,14.672610462869198,6.85345803865044,3.0589024051265,13.0875799400018,24.1338136521066,20.923092757861102,5.98834973675874,4.726685751203849
