,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25511,10.7,-0.1,1,72,3,-60,37,-24,160,-36,22.5,-7.5,-45.0,-22.5,-165.0,2.2915047079399105,4.3053757503323595,-0.0121731383175074,1.5399888717946597,0.21749515790753499,3.30380921855297,6.3886662452361,3.3463720030676205,3.87745188656385,3.2387933407824
1,25512,10.85,-0.1,1,73,3,-178,109,111,-91,-148,165.0,30.0,135.0,-75.0,165.0,2.2519827645091404,4.979446355185299,0.8775319190897329,-0.307576257942003,2.5642228669077003,3.85811104373768,4.835889203665019,3.99587028296853,3.2002277067315097,4.612920340376901
2,25513,11.0,-0.1,1,74,3,-97,104,111,-153,-135,-105.0,120.0,52.5,37.5,-105.0,4.10311019641279,2.26105932843797,0.6843786285903091,0.945234027421577,4.34048725099922,5.7417920504543,4.46886476705496,3.41998037065665,3.83319793229873,6.5468179879470005
3,25514,11.15,-0.1,1,75,3,-98,86,154,123,-7,-105.0,7.5,-172.5,-15.0,-127.5,14.877547124011299,1.31197822122147,3.80175633376621,1.10856767905676,1.23034493831648,20.5288546374593,3.8465534381355,4.18583988507386,3.88205274970482,3.7785711587277504
4,25515,11.3,-0.1,1,76,3,-100,104,72,-139,40,-105.0,82.5,135.0,-105.0,-172.5,21.4260379715654,1.23235999972627,2.40001259401612,0.181709217054276,0.0182940807363252,23.1073096960786,4.48606926593358,4.60602058764005,3.09846529567773,3.52236988677915
5,25516,11.45,-0.1,1,77,3,-103,-67,-120,-164,4,-105.0,-90.0,-67.5,-105.0,7.5,13.9783726678771,3.1864751145573105,3.13439598378613,2.5292846680879397,2.8712145333333905,16.9002554473924,4.14817089262241,5.06403309351141,3.57352793053056,6.61060848116737
6,25517,11.6,-0.1,1,78,3,-101,-89,117,93,-11,-105.0,45.0,30.0,-120.0,7.5,6.07911421089705,4.49291629526243,3.0057891443360094,3.9266537854547297,1.9137802709065,7.56097952816036,4.96377889346954,4.2367512565165,5.93247312630463,3.24334449869588
7,25518,11.75,-0.1,1,79,3,-37,84,138,-162,-103,52.5,-150.0,-90.0,75.0,-60.0,3.8260936637806804,2.4295315267924,2.50698737204186,1.8089053491923401,2.9919908201955496,5.6737221546543095,4.14701894169748,4.61032801311341,4.51985479756614,4.94806191067422
8,25519,11.9,-0.1,1,80,3,-95,-82,-4,132,-33,-7.5,-112.5,135.0,-135.0,82.5,1.52111213933608,2.7084943068379106,2.23107304443158,2.45927046558342,1.1054041068373999,4.34957490451235,5.1412324206972,4.54315069831995,4.5262387332256395,4.6851958884187
9,25520,12.05,-0.1,1,81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,25521,12.2,-0.1,1,82,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,25522,12.35,-0.1,1,83,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,25523,12.5,-0.1,1,84,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,25524,12.65,-0.1,1,85,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,25525,12.8,-0.1,1,86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,25526,12.95,-0.1,1,87,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,25527,13.1,-0.1,1,88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,25528,13.25,-0.1,1,89,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,25529,13.4,-0.1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25530,13.55,-0.1,1,91,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
