,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15465,15.8,-9.55,64,106,2,-58,-14,31,-114,120,52.5,15.0,-75.0,-75.0,172.5,36.568208901598,4.45587318218389,0.8481986680649809,-1.7282943908825201,0.6788829634209039,10.026068893715099,6.43024959495852,3.3647477187245602,2.66995510735329,3.9096172264442997
1,15303,15.5,-9.7,65,104,2,-26,44,-47,-135,-149,52.5,52.5,165.0,45.0,-135.0,44.4751784750328,22.8789845703222,15.7847428943226,12.553620169598801,1.4801891288981899,16.4958085805451,10.0200478072145,10.5262648260509,18.413252716135602,5.06578145378716
2,15304,15.65,-9.7,65,105,2,-33,90,-73,89,-7,52.5,60.0,15.0,-165.0,22.5,46.8047777870691,18.595352635962502,8.00332120944535,1.46177119349773,1.0782460035565,18.7374537443448,10.9815274432344,9.21755308870598,5.846781220304741,5.33183350613257
3,15305,15.8,-9.7,65,106,2,-52,-39,135,-91,-108,52.5,-22.5,60.0,52.5,-165.0,47.0666162140926,19.1665055732421,19.392106419867602,-0.24660373964485396,-5.96560373388263,10.7819395848789,11.4959528870909,21.7368379841429,10.5755752773045,3.47654909658571
4,15306,15.95,-9.7,65,107,2,-65,-102,153,-13,124,60.0,45.0,37.5,-157.5,-52.5,37.763947966478604,18.971174938561898,14.8570297756162,1.75978523447009,1.00674318894494,10.1546383900086,22.454518108221997,15.5022928610775,4.1140950622504695,6.31952500676543
5,15142,15.35,-9.85,66,103,2,-37,43,-25,127,-4,52.5,52.5,75.0,75.0,-112.5,42.845727400234,28.1829329872938,17.2791464588555,12.229012976212802,0.186561027753612,15.0069387298371,7.02353023433491,15.3122500564407,7.3528819534107805,4.04850887636034
6,15143,15.5,-9.85,66,104,2,-38,64,-16,88,33,52.5,52.5,82.5,-127.5,82.5,42.7556786624224,23.8018830645203,7.562422610461231,-0.996263895033621,0.48841221035814897,13.574752981197099,8.13932408856417,9.736620380412369,3.25614738969109,3.2096680560419304
7,15144,15.65,-9.85,66,105,2,-18,122,-16,-77,-149,60.0,60.0,165.0,15.0,60.0,35.995626864594996,24.0852301427104,15.2439914024183,19.0656567384883,12.312427172606402,11.8456384417098,12.701929492247501,7.957611723885139,10.220044031108099,14.2601371949679
8,15145,15.8,-9.85,66,106,2,-26,-51,117,-95,-146,52.5,-157.5,52.5,75.0,22.5,42.9998865887358,22.2595155330236,19.4829993302653,9.89639454908774,-1.15617794757651,12.700636265346699,9.42208659615851,24.0208476933971,19.0034527635995,4.205196670219819
9,15146,15.95,-9.85,66,107,2,-57,-40,-104,-104,-71,60.0,-22.5,45.0,60.0,-150.0,46.4586731677259,27.5476506541713,13.7851986545974,14.268808009688401,6.601910135074889,9.663565407021151,14.6415265402655,11.357414283355698,12.8193276991949,5.460781032110161
10,14982,15.35,-10.0,67,103,2,-112,-28,55,-1,142,-22.5,52.5,60.0,52.5,-37.5,52.481902474379,32.8936399034287,20.506680172730103,8.95581289051842,-2.17099466171595,25.8134193469984,13.4424046009973,8.66514756317142,9.93564530855901,4.28284267898094
11,14983,15.5,-10.0,67,104,2,-34,128,0,-49,97,52.5,52.5,45.0,-22.5,67.5,41.2850073641197,29.6328318144816,20.750303887988,9.89752373030922,0.626070294869407,16.5505119984986,13.4978269954149,13.7729491177792,6.12290479114012,3.7920262796855497
12,14984,15.65,-10.0,67,105,2,-41,-8,90,-10,-148,52.5,67.5,45.0,67.5,67.5,42.7889146580952,21.5528870916012,15.253990668754302,5.25039889733648,-0.13156589465558,14.0677952459955,11.608199783929301,9.77973732657334,6.1233652822648,3.4959035134464402
13,14985,15.8,-10.0,67,106,2,-42,-12,109,-97,52,60.0,-142.5,60.0,67.5,127.5,33.4538115545537,21.602061377779698,20.110841912271198,16.3996435493967,1.18230839833905,9.3303318007584,10.031457993723599,22.960359125459,20.081541166331398,3.05251762409267
14,14986,15.95,-10.0,67,107,2,-53,-106,124,-11,152,52.5,60.0,60.0,45.0,-52.5,40.877576169386394,26.5895065030984,18.225456763387,7.00600916664803,-1.1941156006846498,9.74988662896316,22.0539096508793,22.1627991951201,6.9338349063961795,3.54491013294159
15,14823,15.5,-10.15,68,104,2,-26,-66,77,12,-139,52.5,60.0,37.5,75.0,67.5,38.8007255343571,22.3969831015341,17.0133376332273,4.605015542646361,-0.657742928701111,21.5171114103093,8.813010759363099,12.8027688537849,7.62040532895223,3.1728626202867596
16,14824,15.65,-10.15,68,105,2,-31,-62,16,-76,129,52.5,60.0,52.5,22.5,60.0,43.136985813152705,31.424509236777897,23.896858966431605,25.971505209503697,10.284323334583599,17.4289958741774,7.09852707081595,12.1814100896735,10.2434995029331,10.3965012668183
17,14825,15.8,-10.15,68,106,2,-36,22,122,-98,-6,52.5,60.0,60.0,67.5,-15.0,48.2465443208474,25.612338763600803,16.025612942281402,12.346757393662601,-3.36048929343656,17.424616265580898,20.2969984040273,11.359851774247199,17.1781651508916,3.22696965455146
