,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,15467,16.1,-9.55,64,108,2,-121,-161,123,-85,21,-52.5,-75.0,-165.0,-127.5,45.0,26.1571547085407,12.7481233773912,2.29452566811813,2.3309536937334197,-0.48142651940008796,20.2314548252295,8.72259014202664,4.866190153132231,4.26902387689668,3.1556153220578502
1,15303,15.5,-9.7,65,104,2,-157,-11,-107,-146,-74,7.5,7.5,-45.0,127.5,82.5,42.4722924376654,29.0838723011758,25.7076511021609,4.0436554937202205,1.00933102449017,17.8211093562943,24.4498595034547,22.867265582937197,4.96658645606745,3.44741391296067
2,15304,15.65,-9.7,65,105,2,-160,-113,-14,-105,-148,7.5,-52.5,7.5,-45.0,90.0,37.8105830942094,31.187583960554104,27.4924940246031,13.2043939711326,11.8117106364932,15.245747037619902,21.7693490176003,22.4914303132403,9.35237609993485,8.360004939929299
3,15305,15.8,-9.7,65,106,2,-163,-118,-21,-108,-152,7.5,-60.0,7.5,-45.0,112.5,44.9141120120337,35.7534013486531,23.3240859567003,13.1455228682931,1.7051037485163603,15.0334558930563,25.402940934983302,22.8150450541303,16.1746223731533,5.44684714872771
4,15306,15.95,-9.7,65,107,2,-164,-120,-82,146,-30,7.5,-60.0,7.5,-45.0,90.0,46.45342995511379,37.2448455293793,34.0023538781883,14.9854558830351,16.6188439667382,14.0699901508249,24.705220607343502,12.946645928257501,14.0227283007491,11.905045007783
5,15307,16.1,-9.7,65,108,3,-166,162,-52,-125,11,7.5,-67.5,0.0,-45.0,0.0,45.642042292227494,19.896700009161002,17.933582089484002,9.871533913531891,2.43136968066824,13.1256748390661,9.60902996881444,9.98097097964197,12.232157404042098,6.48421048930326
6,15130,13.55,-9.85,66,91,1,-142,-157,35,-132,-30,37.5,22.5,30.0,-135.0,7.5,49.522812922907896,28.370582472427802,17.3224300666704,21.134255608639602,7.04357846725878,20.9116786690972,14.850696582089501,7.411212311862401,13.476696725990601,6.007454297593111
7,15141,15.2,-9.85,66,102,3,-160,90,-62,-150,-5,7.5,7.5,-45.0,90.0,7.5,44.3768928761417,36.0480186352257,22.198565506876804,21.0548539390234,16.2754823149113,15.8758687702674,17.1381826532944,9.70211749300484,11.3320899463613,16.567297504599303
8,15142,15.35,-9.85,66,103,2,-164,-2,-153,-104,-100,7.5,7.5,90.0,142.5,7.5,46.599003648998,40.0084014376376,15.814896490399699,10.386154427899301,8.16554753671352,14.177826580934699,25.7898633272783,10.875161543251199,11.9672276395594,6.70189584635728
9,15143,15.5,-9.85,66,104,3,-172,-5,-112,-156,-102,7.5,7.5,-52.5,90.0,135.0,38.7651713847799,39.022577517688205,25.052625151665602,22.917748409046197,11.2311928218156,10.4178947502081,22.721595104995398,17.441393690207,11.291750440106899,16.986577606981097
10,15144,15.65,-9.85,66,105,2,-170,-116,-4,152,-106,7.5,-52.5,7.5,97.5,-45.0,47.2801583232205,36.237877274519896,33.8022072783702,21.4182131535864,16.693668527998298,11.178276180126801,24.891666275514897,20.0363809913327,14.430133561495,17.712427764567998
11,15145,15.8,-9.85,66,106,3,-170,-5,-117,-127,-157,7.5,7.5,-52.5,-75.0,90.0,50.6850502277487,42.269582967278296,20.6616648162342,12.0733131730757,7.55787203415656,11.421406739421101,23.7764519988876,24.0878294065491,16.9115651804314,9.3513046827878
12,15146,15.95,-9.85,66,107,1,-172,-4,-81,-127,-155,7.5,7.5,90.0,-67.5,0.0,51.6917063508719,39.9615862451793,11.5130322960803,9.19974986385216,7.238529372306969,10.9634386164182,25.661639711080998,14.6208424615131,18.0220433863818,13.4070930812796
13,15147,16.1,-9.85,66,108,1,-172,-10,140,-156,-132,7.5,7.5,-67.5,15.0,-75.0,51.7639478828824,23.4269243902625,10.497702221196901,1.80248558081519,-4.68835968947917,11.1597948771519,16.5646270840815,11.812846122209999,7.32631086663631,4.48586740256102
14,14968,13.25,-10.0,67,89,1,-127,-179,135,-161,0,52.5,82.5,97.5,112.5,15.0,51.317308520749705,32.1189306936939,15.2974699204955,14.473973580241301,9.6225625911195,25.1345420835402,7.95320784630417,14.8729905493268,12.4323793740044,6.6128592592349005
15,14969,13.4,-10.0,67,90,1,-146,168,152,35,-133,37.5,75.0,60.0,37.5,-135.0,52.56465682702189,37.589853044444794,21.5813596376541,22.9384455089664,13.3980129399438,21.846803348422497,10.238429434721,13.0090244455534,15.710848148570198,14.9938720759673
16,14970,13.55,-10.0,67,91,1,-156,170,142,2,154,22.5,67.5,82.5,7.5,0.0,52.778716497664,36.61210540394679,24.8685366959273,14.230844146257601,6.33393278891873,18.321502693336,10.778203264963802,10.803564408815902,11.8693288634396,6.38502354057068
17,14978,14.75,-10.0,67,99,3,180,-32,-135,5,-152,7.5,-52.5,90.0,7.5,-135.0,51.386318496564506,28.288256681507804,27.7773985944291,22.0815015465295,13.128936798747402,9.70882793673998,20.532292796194,25.0024046816576,19.7331043214923,18.75789461749
18,14979,14.9,-10.0,67,100,3,179,-161,-37,4,-26,7.5,90.0,-52.5,7.5,0.0,48.2789308948104,30.650917920612102,23.1470653074267,19.645488399623602,-1.84285754821468,8.94317020314424,13.6680385186387,18.482510261399,16.2164021689798,4.0371818961009005
19,14980,15.05,-10.0,67,101,3,-175,-162,5,-45,-99,7.5,90.0,7.5,-52.5,-120.0,49.4788265106358,17.779062031643697,14.868012077167,9.734752778611039,-8.2474054352133,10.2164165583062,9.63074149444433,18.063819055589303,13.173203318397999,3.86149385439988
20,14981,15.2,-10.0,67,102,3,-176,90,-53,-163,5,7.5,7.5,0.0,90.0,7.5,51.504426733709,24.6826089470235,17.4970187647391,13.017086632715301,7.39983885847425,10.133605845612099,11.041571882231901,6.76131104224946,7.04724718264256,18.056782705020602
21,14982,15.35,-10.0,67,103,3,-177,-164,-104,5,123,7.5,90.0,-52.5,7.5,0.0,50.7346250167291,17.584919651145402,10.755880772444101,12.310477974305199,7.08207073782353,9.97707887162668,7.747443251137089,14.5185463531063,10.9289195646083,15.936322132766
22,14983,15.5,-10.0,67,104,3,-174,-163,-113,-104,1,90.0,7.5,-52.5,-45.0,15.0,40.2258602918287,29.5569244732233,28.2375927077139,18.0131005067666,16.4131019104867,9.626014596057221,6.2095952612998895,19.950112298355602,14.483847076636,15.693463936293002
23,14984,15.65,-10.0,67,105,3,-178,12,-114,-123,-124,7.5,7.5,-45.0,90.0,90.0,51.035181786417105,22.9064338047253,16.3419019831509,9.51108312767298,7.78477449592833,10.0099593084005,24.4282878942448,17.4869840007563,11.3937443356479,9.36654057991303
24,14985,15.8,-10.0,67,106,2,-178,-120,20,-163,-10,7.5,-60.0,7.5,90.0,-82.5,50.6825896120812,32.0572862078645,23.2830097125968,11.1380487428234,-3.3860616745164402,9.9874393978695,26.044205779944,21.928663960398804,7.7980023083596395,5.78486426942708
25,14986,15.95,-10.0,67,107,3,-179,24,150,-134,161,7.5,7.5,90.0,-60.0,15.0,46.2486255028275,28.904331967252897,16.8492178180704,18.3565302296957,8.66176945151477,9.915026865514461,19.9834476418495,14.284295894552901,22.578245693807997,9.82936670177935
26,14987,16.1,-10.0,67,108,3,-179,41,-164,124,-34,7.5,7.5,97.5,-60.0,60.0,49.252028376892206,27.920163221658502,6.27256708411625,4.28773224263193,-4.6590239602396695,9.91413979867953,15.4343739110945,6.478189694435691,11.8859001326209,3.31762698046794
27,14988,16.25,-10.0,67,109,3,180,86,139,-164,97,7.5,90.0,-60.0,0.0,-7.5,46.5946438650091,31.195235926048603,13.8104708913209,7.81421838420243,-0.44214436355241604,8.66741428053687,14.5710307071982,20.452092765068397,7.90555360347278,4.8477611928724995
28,14806,12.95,-10.15,68,87,1,-18,62,-3,134,41,165.0,120.0,0.0,142.5,97.5,53.0698713302804,32.4607469510552,26.842316592056605,13.5510035624471,15.9732736221256,24.1868449211469,9.940554708836391,25.3760559960448,12.1139139845432,12.808333464375801
29,14807,13.1,-10.15,68,88,1,-90,135,-3,88,93,90.0,120.0,0.0,75.0,97.5,53.282800805914796,22.023257992181897,15.5257140871856,-2.60899294814561,2.2212175297241297,21.2036510250233,24.8373759685775,25.9304117892877,6.09342178943629,12.282269438689301
30,14808,13.25,-10.15,68,89,1,-161,39,104,0,156,15.0,45.0,82.5,15.0,112.5,51.0830101057967,20.2912188423212,20.0677341129158,19.4787709662552,18.0674482916202,15.9961382319217,10.1133090602959,10.422072859999,11.931498761707099,12.8742677932136
31,14809,13.4,-10.15,68,90,1,-170,-3,159,135,147,7.5,0.0,105.0,67.5,120.0,51.033188762613,33.1570647638822,31.2359178448175,26.9268927594485,14.4807266600015,11.8708809552044,24.9383867065806,15.392688746851599,20.072478039614,11.570791983247199
32,14810,13.55,-10.15,68,91,1,-173,-3,163,149,64,7.5,7.5,105.0,82.5,22.5,51.86623990787889,33.795231124917194,26.276244766235198,24.938092355999398,20.978289158319498,10.890127768644302,17.571165603198498,8.15683725330437,12.564619941391099,6.829348721168901
33,14811,13.7,-10.15,68,92,1,-174,142,162,-4,44,7.5,45.0,90.0,7.5,22.5,49.0766992034844,40.0286340195682,28.8109090968018,27.040019228678798,13.9080537428072,10.1857760999805,22.688139924457804,13.0793062861808,20.675734889649103,9.01206612894052
34,14818,14.75,-10.15,68,99,1,-179,163,-97,3,1,0.0,45.0,-30.0,7.5,7.5,50.557126814600295,30.412782994394103,18.6378790156515,19.104975866375398,12.3952864843677,9.9945858867346,11.7968449658936,13.781413170522,14.804482090583,6.29732036838889
35,14819,14.9,-10.15,68,100,3,151,3,-30,163,-138,7.5,7.5,-52.5,90.0,82.5,48.79596066531,34.4948994351003,29.998988284863803,22.0584234782305,0.184212093923747,20.363279824164398,23.925997243752498,16.9992858405734,11.1475523742857,3.7180614815263504
36,14820,15.05,-10.15,68,101,3,160,-34,4,149,71,7.5,-52.5,7.5,90.0,7.5,49.4365956623149,32.1989642615368,33.4180690165917,23.9043406728761,17.9723007136695,15.9885850692174,15.421756039711099,14.4856843404959,13.4719524764311,9.961646835056301
37,14821,15.2,-10.15,68,102,3,165,3,-44,92,87,7.5,7.5,-52.5,7.5,0.0,49.9195167905091,34.549833875153105,20.776275636713,20.400788961012,16.6463898017889,14.040304599613199,18.962767937386502,13.7782296737504,10.0471806238155,6.661600069129619
38,14822,15.35,-10.15,68,103,3,168,3,-105,157,97,7.5,7.5,-52.5,90.0,7.5,48.768108140468705,37.865717677793604,29.049484898467604,19.5527509166557,14.8066929626161,12.7109796531284,24.8309528687742,20.4127645525275,10.8619686875524,10.938425343965699
39,14823,15.5,-10.15,68,104,2,170,-119,-108,158,23,7.5,-60.0,-45.0,90.0,7.5,46.0711054664438,34.2711128927112,24.1070209432968,21.851677030227602,23.0715818136609,11.8083836890254,25.8067603688562,23.0898299874651,9.17748503037767,18.312223487484
40,14824,15.65,-10.15,68,105,2,170,-122,158,27,-107,7.5,-60.0,90.0,7.5,-37.5,46.4493011907279,33.8579687903051,22.6764173618366,24.5463990305092,10.335250357982499,11.6371343422516,25.254818071504,10.091095444196698,21.919758252035,18.1695223949802
41,14825,15.8,-10.15,68,106,3,172,32,-133,-133,108,7.5,7.5,97.5,90.0,-135.0,49.923043775732005,24.601725617036,13.1886860175877,11.6945842696712,-3.33455731005279,11.034486651462,19.9531479886894,10.601403489816601,11.8805768809932,4.736063987973219
42,14826,15.95,-10.15,68,107,3,172,44,161,116,71,7.5,7.5,90.0,-60.0,22.5,51.0700396896009,28.977196418494202,15.7297570703292,12.170031629021802,-3.13137648349635,10.921831952814902,14.174579928238803,9.17768263243107,23.0969900770295,6.54000545890803
43,14827,16.1,-10.15,68,108,3,174,64,160,113,98,7.5,7.5,90.0,-82.5,120.0,46.609170633617296,30.4853632873427,14.779114902718899,2.04198843272428,-1.84943152793863,10.4817730204445,10.116030938163,9.36339239330826,9.751867038453382,4.460243945517809
44,14828,16.25,-10.15,68,109,3,175,86,-127,162,-139,7.5,7.5,-52.5,7.5,-67.5,42.5132418344921,33.7648003513868,28.3771791223273,18.1024484389024,12.3921126845925,10.1858687808749,11.9703860406494,24.334797661682302,7.6680033654388495,14.277078104146199
45,14834,17.15,-10.15,68,115,2,138,-144,-158,-129,-120,-52.5,-120.0,-105.0,142.5,-97.5,33.2753763372788,27.9422362152873,16.8491793625528,11.613923096248401,8.33923092597638,14.9425383684534,15.3495191839624,13.2462580680617,13.499751983944499,10.043732612783199
46,14644,12.65,-10.3,69,85,1,12,44,1,0,-127,-165.0,165.0,-7.5,-7.5,-135.0,52.9091318531989,32.456996143846396,18.5142226124755,17.663776548505197,12.493317549467301,24.6144162660254,9.47919173035542,12.2577922321423,11.1836160131707,25.3807226505265
47,14645,12.8,-10.3,69,86,1,18,53,77,-132,4,-165.0,157.5,67.5,-135.0,0.0,53.520684079625504,31.2687820436793,19.017125684555303,22.894972970847697,20.8816390063482,24.369521581602395,10.0618957261308,7.41310438490022,23.3773846732056,25.307401516861
48,14646,12.95,-10.3,69,87,1,33,104,72,84,2,-150.0,157.5,105.0,127.5,-7.5,51.9964089560276,24.237262806746102,20.392065306382,12.6830467435086,15.7457896737903,19.5879368758287,18.096276726270897,10.410249351029801,11.1388136120651,21.9291069947638
49,14647,13.1,-10.3,69,88,1,90,128,109,40,137,-90.0,142.5,120.0,37.5,105.0,53.272997073407296,21.4737355771188,16.8535213872275,12.280047623957,2.27251648116231,21.1346709335755,24.9695181011952,21.3863644611031,14.9411440298997,7.63038120308296
50,14648,13.25,-10.3,69,89,1,146,135,111,7,9,-37.5,127.5,82.5,0.0,22.5,51.47237510764279,33.629000025555804,26.405039539629502,17.180094048241802,13.4188285759554,22.498739583576697,21.912255360281502,23.7787374604095,12.757360852326801,8.90118182986791
51,14649,13.4,-10.3,69,90,1,161,41,135,144,5,-15.0,45.0,82.5,105.0,-7.5,53.165143516806204,28.5609437489032,21.552192718032103,17.5853150681494,21.386361559883802,16.0799263137878,14.804876404396401,11.777425918224198,12.9706494323789,19.6826923764755
52,14650,13.55,-10.3,69,91,1,166,128,1,143,41,-15.0,52.5,0.0,90.0,15.0,50.05872775157479,38.6306772861695,24.0870295767432,23.8067638818151,14.1886503771962,13.243095872751601,24.375054932033702,14.382823280831301,19.7164535575278,6.24958027574901
53,14651,13.7,-10.3,69,92,1,169,135,77,153,126,-7.5,52.5,7.5,97.5,30.0,51.4151169177371,35.809136376690795,30.386021603694502,28.8676319456375,18.659179993962802,11.811976185090101,17.9984098397204,12.2759721441526,17.7875141930445,9.569487613499948
54,14658,14.75,-10.3,69,99,3,90,159,-93,-82,109,0.0,45.0,-30.0,-7.5,15.0,48.57369156732229,38.7865444994073,35.418004862789005,28.223267360532898,30.280764244310397,12.8244052977987,16.3682532803512,17.5028290733219,8.680377049644179,16.0095895553238
55,14659,14.9,-10.3,69,100,3,128,-25,20,139,147,7.5,-52.5,7.5,0.0,-75.0,36.747816595996795,22.3095342861201,19.0529764516721,5.375462149744981,2.3889382486370296,25.3727321719433,19.0106588144332,10.0650127782643,8.19188894994919,4.68087660471414
56,14660,15.05,-10.3,69,101,3,142,77,-30,19,153,7.5,7.5,-45.0,0.0,90.0,41.8184164209993,30.476183250956502,18.9277696642794,17.0824575247456,15.5688376755126,23.2924114124368,11.4735637906138,12.3787580812986,10.8709672916138,12.295643601965802
57,14661,15.2,-10.3,69,102,3,152,-31,91,23,142,7.5,-52.5,7.5,7.5,90.0,45.944815899290504,38.0827391480702,31.6824918533986,22.2299368707382,14.669945751651799,20.2280304451863,19.8424167596681,16.394705349595302,18.078783323341103,12.776223288194098
58,14662,15.35,-10.3,69,103,2,157,-114,99,26,27,7.5,-52.5,7.5,7.5,7.5,44.6065073852246,33.0770589238028,32.3117648834984,17.838551519034702,20.9919798488166,17.7852774466693,18.8134392306096,21.7010555938653,8.06378913971111,11.9775927519408
59,14663,15.5,-10.3,69,104,2,160,-116,31,-107,150,7.5,-52.5,7.5,-52.5,97.5,46.6990051810633,30.8294669358538,25.0805935499858,18.868482806364998,12.2084966814388,16.149354761929,21.3245382036628,19.8948032447733,16.010213069366802,12.5176512093886
60,14664,15.65,-10.3,69,105,2,163,-126,35,153,-137,7.5,-67.5,7.5,97.5,172.5,46.0592338997111,28.8119775164792,28.1532576226692,13.6200718269079,0.484895679621104,15.232237638175098,24.9263756873867,18.4848406207397,9.20331795769772,5.117069570350429
61,14665,15.8,-10.3,69,106,3,165,44,156,-123,147,7.5,7.5,90.0,120.0,120.0,44.30961244257,28.9842788993992,11.2828854879918,0.24399186708751605,2.32090181010483,13.7927041154478,14.47172276701,7.661301232756999,3.1891079197285803,6.32281133880703
62,14666,15.95,-10.3,69,107,3,-147,-123,21,-55,-2,-60.0,-52.5,-75.0,30.0,-150.0,19.471212279906002,1.74419844683678,1.6950755813060099,0.5987940276380072,0.0171413488795906,15.917463869646099,2.72988401472808,4.08588007563597,3.05965059081998,3.2189422688471203
63,14671,16.7,-10.3,69,112,3,-109,106,-156,-96,100,-105.0,-7.5,-82.5,30.0,142.5,29.2619023748704,2.35137347045452,1.1592342715464399,3.25903033251069,3.1706376007128902,22.102639060608603,2.9865987393410496,3.43423445788275,5.22210459219844,5.57372264676772
64,14672,16.85,-10.3,69,113,2,-137,-116,-50,84,140,-52.5,-112.5,67.5,-97.5,45.0,38.021178409029204,22.578757063017395,0.918601956337568,1.00062461986505,0.526412911234729,24.602645305759896,23.937770462540897,3.33060691025366,3.47062123763711,3.85236111909414
65,14673,17.0,-10.3,69,114,2,-140,47,-151,-123,132,-52.5,-52.5,-112.5,-105.0,165.0,33.230730457095696,20.0794113017899,16.531124765813903,15.589163566224999,3.3816285783745497,23.071843358607502,10.034322181694,10.4998683964928,17.8067651703648,6.4946650556004295
66,14674,17.15,-10.3,69,115,2,-143,-154,-127,-38,34,-52.5,-105.0,-135.0,-30.0,142.5,34.6373206913093,23.0742277823867,3.5473590321146804,-0.41339878714467204,2.05957680700539,22.756653451258803,15.250032502427402,7.709780010473349,2.7593696743226803,4.7102514957257
67,14481,12.2,-10.45,70,82,1,15,27,2,-123,41,-165.0,165.0,-7.5,-142.5,-142.5,51.4246433122303,33.097697807406696,31.216659056822802,10.065070337596302,4.12051652616839,22.0972161425287,18.8399803188527,21.9710274512515,12.168814124474098,13.331904350216
68,14482,12.35,-10.45,70,83,1,19,32,82,5,-129,-165.0,150.0,-150.0,-7.5,-142.5,47.67289658453011,45.8137041495747,28.8471785210086,31.525612910545696,29.604330050033003,17.7597046645858,19.535978247088998,11.7459551319933,24.107096824692196,25.7249949486037
69,14483,12.5,-10.45,70,84,1,22,39,8,56,-128,-157.5,150.0,-7.5,135.0,-172.5,51.611023385505895,39.11163904774,28.7457283823103,19.2711738881031,7.7251097119286705,23.0890785130698,16.4171423389821,25.3764109281634,6.820209855014981,7.59573047462898
70,14484,12.65,-10.45,70,85,1,29,79,51,7,-133,-150.0,172.5,120.0,-7.5,-135.0,50.3420999866597,37.969089864162605,26.002083790634998,27.4226622309515,25.230279298062896,20.976794358499,13.2428240739504,9.243683276959269,21.9796538455083,24.1230735214306
71,14485,12.8,-10.45,70,86,1,39,72,98,84,21,-142.5,150.0,180.0,120.0,75.0,51.5114585864499,35.3011065827454,24.446095892986698,14.768127693056499,12.6796875310919,16.8660750884616,11.9579076550681,18.4895403666736,9.22147685221616,14.8730877745957
72,14486,12.95,-10.45,70,87,1,59,81,101,92,22,-120.0,112.5,157.5,135.0,67.5,51.0497832980735,27.9588376978367,24.3100140253663,11.180146760288599,6.17572237341329,9.97209711278016,15.3697201955045,14.8130908171513,10.1102832923527,13.2121673829865
73,14487,13.1,-10.45,70,88,1,90,118,105,59,23,-90.0,150.0,127.5,22.5,0.0,52.6822281584572,26.5343608020401,16.227382176447698,12.1798106739499,12.609954764835901,21.1342493904163,19.779463652268102,13.078657002026901,6.0412219266091,20.588082161634
74,14488,13.25,-10.45,70,89,1,121,132,41,103,20,-52.5,142.5,37.5,75.0,-7.5,47.6839358176089,33.9831754874239,23.5720931210565,22.9513980747313,12.166580820692802,26.340825638818103,21.7493966199653,15.492661913012302,21.573557553594604,11.320585350789301
75,14489,13.4,-10.45,70,90,1,140,130,64,119,119,-37.5,127.5,22.5,90.0,97.5,52.0419257150872,25.9135240942608,17.8380444101862,15.0547532067589,13.6764419847927,23.9433072728467,18.7795260528671,7.28435357319028,9.76901612329531,9.34678424076917
76,14490,13.55,-10.45,70,91,1,151,15,121,42,66,-30.0,-15.0,45.0,15.0,15.0,53.66538474790789,36.615982856849705,24.793421984939698,15.9398540915416,17.5421658698826,20.790156288196197,22.6066425505843,15.0498326564785,5.337186857201901,5.850347226505849
77,14491,13.7,-10.45,70,92,1,157,69,127,87,141,-22.5,-7.5,60.0,15.0,30.0,53.244209114409294,28.253533178166,27.972726750588798,22.050926663586303,19.3419805721082,17.715544694509898,7.33859897494274,18.10873339609,10.5283191705,16.2955283912836
78,14492,13.85,-10.45,70,93,1,159,100,136,148,116,-15.0,0.0,52.5,90.0,135.0,48.325451770806396,38.6897766651357,34.0789279429442,23.8319552761403,14.6958403494257,11.2195001972307,16.3543856942052,19.8035361732134,15.883161453194099,21.577745254006
79,14499,14.9,-10.45,70,100,3,165,-111,150,-175,116,82.5,-30.0,37.5,-7.5,7.5,46.824856009254205,42.2939778991341,34.8771658439013,24.746615420307002,24.673856591483897,14.3370874156566,24.2500045589221,20.2872664842815,6.200320392190809,21.861029495479197
80,14500,15.05,-10.45,70,101,3,131,132,-12,27,-88,7.5,7.5,-52.5,7.5,97.5,26.382109061332198,26.9052132337503,21.1519552152216,14.2034925267851,7.52269344619145,10.2333889147255,12.124085641787099,21.3988278077681,16.0098422712338,6.1337015104672
81,14501,15.2,-10.45,70,102,2,141,90,-104,-103,63,7.5,7.5,-52.5,-52.5,7.5,41.9796573574476,32.494790883964896,23.103934730162695,18.931610737665398,19.390655375894198,23.677848141555,20.288745008683602,12.237435432584,11.323574725544901,9.52333716086065
82,14502,15.35,-10.45,70,103,2,147,-121,-113,97,33,7.5,-60.0,7.5,7.5,7.5,42.046829881693604,35.757450102494204,25.254384690575105,28.2847436197573,23.295798199815803,21.933784016944898,18.839128571032,9.17594539250541,14.1624582598346,16.349956998337902
83,14503,15.5,-10.45,70,104,2,-118,151,-27,38,-109,-52.5,7.5,-52.5,7.5,-150.0,40.7098954240323,34.879763035738804,21.0842058205659,24.982599116547103,18.599753624694102,17.3144785047946,20.245914466258398,11.405996395376599,16.8974134351355,16.8366094040429
84,14504,15.65,-10.45,70,105,3,-120,-111,-139,-22,134,-52.5,-75.0,150.0,-105.0,-112.5,28.813939234714,16.811289850319902,12.3084020435323,1.89247799211898,2.7436324542455797,21.0868000362696,13.173975667186598,9.420788654723289,3.0427483654204397,5.027922758859219
85,14509,16.4,-10.45,70,110,3,156,94,-142,-126,-106,-52.5,120.0,-150.0,22.5,-15.0,21.4970077395215,1.6172590167322498,1.4695231468943502,1.9266355093046699,1.5819747493551999,18.4867948307252,3.7217032348107004,3.1948152310868103,4.234452583329721,2.90175508694336
86,14510,16.55,-10.45,70,111,3,-109,133,-98,-22,155,-105.0,-45.0,-165.0,-112.5,-120.0,39.0270002492521,26.9400512979578,17.6814853842914,20.0058875263682,1.89427637002706,25.201800314205297,25.1721229483671,20.123091439752802,21.1068522602828,3.63002611317388
87,14511,16.7,-10.45,70,112,2,-138,-109,-28,-18,148,-45.0,-105.0,-75.0,-105.0,-127.5,35.334300936541794,33.284751596687606,3.8327132150640804,7.6420200112181105,2.4803478354746202,23.8319581581751,23.515593162023002,6.660478724470691,11.775275929963698,5.09023440249545
88,14512,16.85,-10.45,70,113,2,-142,-154,46,-121,5,-52.5,-60.0,-52.5,-105.0,120.0,30.3837342021927,17.0709350487465,12.9744949809798,14.169698819149401,1.33516948884966,22.4983640812458,10.368706055117901,8.4452808353222,13.378511341255901,3.5647421267784103
89,14513,17.0,-10.45,70,114,2,-150,-138,-126,-25,178,-15.0,-45.0,-112.5,135.0,90.0,28.788018737172603,27.5569899210074,17.715610244097398,1.69344073163683,0.111716828665976,20.415191883694398,18.804105395066,20.901434171215502,5.11949072165712,2.82773831405439
90,14514,17.15,-10.45,70,115,2,-152,-141,-130,-128,123,-60.0,-30.0,-105.0,-97.5,67.5,39.2442944174804,23.0651743425703,13.8306600947248,3.57079173677022,3.3881477374216002,19.921101304796398,18.4098927725781,13.3317564645677,5.28761630548663,6.371247016040599
91,14515,17.3,-10.45,70,116,2,-154,-142,-130,84,134,-67.5,-52.5,-120.0,-127.5,-97.5,30.1162200076016,25.804533804603,9.45501914466502,3.6272863119402796,4.00835478249894,19.2792041576832,20.8857505426592,15.186460147699599,6.4452217848992195,6.01749464960989
92,14319,11.9,-10.6,71,80,1,17,29,-123,7,1,-165.0,-142.5,-150.0,-7.5,-15.0,50.815565923922605,27.6623449182222,22.208960785882397,13.472331744121199,9.40721298511664,21.0708544387477,19.2779797893554,24.6041557537288,13.0271729820777,12.222684396876499
93,14320,12.05,-10.6,71,81,1,21,33,52,-124,8,-157.5,150.0,-60.0,-142.5,-7.5,52.5459439769265,38.25979987118671,21.0616614929448,21.4268009404758,10.2286611859917,23.3031989513273,17.6839594344105,10.415889753197401,24.7635143839112,17.5912559860102
94,14321,12.2,-10.6,71,82,1,24,73,37,-127,11,-157.5,-60.0,157.5,-142.5,67.5,52.92056289126779,32.6214819635452,26.425315948037802,29.5354384918761,15.910396890237902,20.2108021631705,9.94080714067307,14.114050517876802,24.0034030279257,19.6566911617695
95,14322,12.35,-10.6,71,83,1,28,50,40,14,-130,-150.0,-60.0,142.5,-7.5,-142.5,53.30730189245521,28.5361873412324,29.7975028439932,18.7877249478555,22.642811407631303,21.6566361912469,7.12065936991971,10.796256462532499,10.3695497052772,25.041613627730698
96,14323,12.5,-10.6,71,84,1,33,51,76,-133,18,-150.0,165.0,-172.5,-135.0,67.5,50.8505034337935,30.021396896306502,24.1889638853938,27.3766253275069,16.7791711022703,19.3985743510378,7.7334107514825305,9.16148984875075,24.3189514942489,23.337245894145102
97,14324,12.65,-10.6,71,85,1,41,81,63,14,-135,-135.0,172.5,142.5,-7.5,-135.0,51.5677658382386,39.001330616167,24.998872079515902,19.415379786156798,19.281981245750398,15.9045621068997,16.0618804101695,7.81098845757518,23.6689099641541,24.3333527643328
