,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,18009,13.4,-7.15,48,90,2,-124,-136,-112,-164,-28,-105.0,-90.0,52.5,-97.5,-135.0,30.845824439079298,21.6536025943861,19.331360165596898,11.677229811148601,10.4691576090179,25.099270846589103,11.431965982545199,16.5225652256052,9.04075331260812,8.76561557142717
1,18010,13.55,-7.15,48,91,2,-106,-123,-116,-136,-142,-105.0,-105.0,-112.5,-112.5,-30.0,31.347930340942696,27.410684887917398,18.895099469756,15.6894436159882,13.499574102906001,21.0044664354326,11.3811082137196,9.39504830949201,10.0886603168641,12.7198573111981
2,17848,13.25,-7.3,49,89,2,-97,-108,-115,-127,142,-7.5,-82.5,-105.0,127.5,-157.5,35.8091559879239,26.592174786757003,12.637745627567401,3.9445502534236403,2.2402077651790897,23.0933514217726,16.637428752783002,12.1687177697668,6.03827492394332,4.1367245413825895
3,17849,13.4,-7.3,49,90,2,-20,-138,-130,-118,-95,-112.5,-82.5,15.0,-30.0,-97.5,25.3679191583802,22.452040593462897,19.0984582134636,20.244401903688,13.421036769259802,9.38355615367265,8.311333333205638,10.391848489071,17.1223462627346,9.919746309884731
4,17850,13.55,-7.3,49,91,2,-27,-107,-130,-144,-118,-112.5,-112.5,-97.5,-90.0,-90.0,38.3500484637241,33.5393394994098,27.4152384019302,22.008085673274497,19.523944930097603,19.911547519743,23.911873142305,20.891796867420002,17.3178367626352,18.935052108287802
5,17851,13.7,-7.3,49,92,2,-109,-151,-144,-123,-119,-112.5,-82.5,-120.0,-127.5,-90.0,29.645605363832697,22.179050335132604,21.453777594848898,12.662779116972699,14.261003559400802,19.109884274960102,11.251086685779601,11.809393799155199,8.63148738862084,11.9518193837735
6,17688,13.25,-7.45,50,89,2,-97,-167,-109,-146,-133,-82.5,-82.5,-105.0,-97.5,-82.5,35.717551444794296,27.7305055230049,17.8651387935835,6.75425574723897,3.7291420447683103,22.6638593070822,9.121804704908731,16.5969694316447,8.90668518697169,7.52633754590745
7,17689,13.4,-7.45,50,90,2,-171,-127,-139,-118,-1,-90.0,-105.0,-112.5,-45.0,-127.5,24.8548770862816,29.2213659122128,22.1350637656764,12.7083526151823,15.949484208143302,9.04670641995002,21.1011808406637,16.330093576573,5.12792629442746,11.7479723536112
8,17690,13.55,-7.45,50,91,2,-108,-132,-166,-157,-145,-105.0,-105.0,-37.5,-37.5,-45.0,31.1019281800733,29.806364064060197,21.8319441333243,19.1171074319586,11.303768380410599,15.393126466254301,12.4081461533061,8.69068749850549,7.398239983357331,8.107279614196768
9,17691,13.7,-7.45,50,92,2,-143,-130,-111,179,-14,-120.0,-105.0,-112.5,-37.5,-120.0,36.96414418780879,31.276566891539,21.932293201627804,21.5637076330922,18.7578021990576,22.2491864080271,11.855341727904598,10.7995678462833,9.03514171426241,10.5386436136188
