,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25511,10.7,-0.1,1,72,1,-35,135,-89,-56,-98,142.5,142.5,-135.0,-82.5,180.0,52.47111610054711,20.921384350556103,13.2846856940255,6.939613638477111,-11.8178540731599,18.8221549144951,24.892202797649304,20.768963550553302,10.3010071447595,10.4843632843518
1,25512,10.85,-0.1,1,73,1,-40,157,-111,-120,-60,142.5,142.5,-142.5,172.5,-82.5,52.519857715319205,15.1176295852652,12.8949843177371,4.1147530558611205,-1.87715401364829,16.4102979712284,16.0239430823597,18.0421846742803,10.869534728624,4.8716447302388
2,25513,11.0,-0.1,1,74,1,-47,-151,-122,-135,-110,135.0,150.0,-135.0,135.0,-172.5,51.4321178388821,30.2610165231387,20.4158953034482,13.995523487836198,11.6344519481615,13.168796930255999,18.1800275392578,15.1756404716666,21.9554540507729,15.3144242298948
3,25514,11.15,-0.1,1,75,1,-56,-118,-146,169,-104,120.0,-142.5,157.5,135.0,-127.5,49.48258797244,16.569807971838,14.2150647191484,6.83801667802538,7.053888291237629,10.2494207694728,23.956174576862303,20.197581331195398,10.750441856709099,21.922707027933697
4,25515,11.3,-0.1,1,76,1,-68,-125,-153,-138,-5,112.5,-142.5,-120.0,-120.0,7.5,52.394097521427895,31.793340740005604,6.99055846176327,4.59775996953056,9.74702603185636,11.1713949522348,25.835045916925697,12.5997995765938,10.675413734027801,25.012598023151003
5,25516,11.45,-0.1,1,77,1,-81,-128,-156,-141,-6,97.5,-142.5,165.0,-120.0,7.5,52.773132331525,31.495864251876196,20.1870118658,15.7432948122196,12.5724429746223,17.027768130034403,25.2249669048083,17.928150491282498,22.781216365950105,25.6935763603822
6,25517,11.6,-0.1,1,78,1,-95,-160,-144,-133,-127,82.5,165.0,-127.5,-142.5,-157.5,50.9659261901799,23.0248660080815,16.476440650908,8.51793802897225,8.73861153797441,22.771083196424797,15.900547278556001,17.6846749857495,9.67190275256166,15.594309326495301
7,25518,11.75,-0.1,1,79,1,-108,-95,-162,-134,-6,75.0,-82.5,165.0,-135.0,7.5,50.91305129422071,28.936955905956395,22.599548595579602,24.3859957938509,21.1548017592063,25.5035808794801,22.387292975999603,14.534399495817098,22.106084098268,24.104842291041997
8,25519,11.9,-0.1,1,80,1,-120,-164,-100,-4,-133,60.0,165.0,-82.5,7.5,-142.5,48.33936295901,26.9298785868605,22.2239755110915,23.8379387848275,17.4773169861932,26.3216968899399,14.5538558210256,21.527243367441002,25.8327179918257,24.4400933286417
9,25520,12.05,-0.1,1,81,1,-130,-104,-165,-141,-55,52.5,-75.0,165.0,-142.5,-30.0,49.5763378095032,31.7982279321208,22.162471356544298,19.2864189756996,7.363567173185519,25.684713349527396,24.553152991223698,13.536061816115902,17.3272516538144,9.34864417274657
10,25521,12.2,-0.1,1,82,1,-137,-108,-166,-5,-148,45.0,-67.5,165.0,7.5,-127.5,53.06284400589129,31.8596460707579,25.302829857014103,27.4520987490347,19.161768309481896,24.5947619056105,24.892341022647802,13.2974435747946,25.383479323599502,13.3272058598451
11,25522,12.35,-0.1,1,83,1,-143,-61,-167,-5,-111,37.5,-30.0,165.0,7.5,-67.5,53.1566267365282,27.894334240789,22.4516783283474,23.123762346897003,16.064833499122,23.2519408216795,9.88729428007039,12.0249128511481,23.4478872590125,23.2498752729374
12,25523,12.5,-0.1,1,84,1,-148,-116,-6,-66,-169,30.0,-67.5,7.5,-30.0,157.5,51.6539488443048,29.4954767099616,28.803165823133604,20.057553643729104,16.0180917495195,21.9445916102375,25.2966026893083,25.045474672673897,10.0040053210265,10.8221019667348
13,25524,12.65,-0.1,1,85,1,-151,-6,-118,-139,-171,30.0,7.5,-127.5,-127.5,165.0,53.4633061276687,33.7583807502128,16.5624930899877,19.233941142614697,12.501010316521699,20.5667583772007,25.8865185087081,19.5611666710779,15.0575271305109,11.2431361946931
14,25525,12.8,-0.1,1,86,1,-154,-7,-122,-37,-142,22.5,7.5,-52.5,-37.5,-120.0,51.8907504655664,37.038987999297,32.0310084586652,26.669701424011397,15.553046712479201,19.2428426069078,25.782654221287604,25.6727008252424,17.3887116520594,19.5743586760606
15,25526,12.95,-0.1,1,87,1,-156,-7,-40,-84,-146,22.5,7.5,-37.5,-37.5,-150.0,51.002710949923106,34.5107534993418,22.9519932880687,18.4112900090027,11.847697973782699,18.1209288009949,25.534251843874998,15.734669223866598,16.9014211692709,12.620432690276301
16,25527,13.1,-0.1,1,88,1,-158,-9,-126,-144,-43,22.5,7.5,-52.5,-127.5,-37.5,52.858441796542905,39.2897705832561,32.5050707025071,25.4027071724373,17.9589427895861,17.221942388363498,25.4591515885522,24.9923094401527,21.6093993348494,12.6455513234616
17,25528,13.25,-0.1,1,89,1,-160,-129,-10,-51,-94,22.5,-52.5,7.5,-37.5,-37.5,52.799812347438404,33.8007758238691,31.3820980668953,25.8120291234721,16.142947834156402,16.4589595574525,24.1537481179377,21.5598893313592,8.35558221056113,17.6939460717877
18,25529,13.4,-0.1,1,90,1,-161,-132,-10,-43,-146,15.0,-52.5,7.5,-37.5,-120.0,49.4343119361159,36.709074722645894,30.898808252157195,25.5721401288309,26.1904935726575,15.7613881762777,24.8688697655297,22.3156402359119,13.123141814851598,21.9545181933073
19,25530,13.55,-0.1,1,91,1,-163,-137,-54,-15,-149,15.0,-52.5,-30.0,7.5,-120.0,52.5875816164693,34.652336885064,22.7472357666495,23.475804300892896,24.8596576537465,15.120031003095301,23.5016508263449,7.7609825473673295,13.2439989949142,18.7882842733965
20,25531,13.7,-0.1,1,92,1,-164,-132,-133,-77,-144,15.0,-37.5,-45.0,-22.5,7.5,52.8412452120834,30.6182550608831,29.2145798134374,19.2072465843934,22.5183924778399,14.5887837898124,9.588037702065199,10.9143673597452,4.8219069479187695,13.469576818001
21,25532,13.85,-0.1,1,93,1,-165,-136,-82,-147,-114,15.0,-45.0,-7.5,-60.0,-30.0,50.148544273554,43.674864371431504,36.081424913518795,23.961048941904203,23.7349991989504,14.1725226845736,23.2187300529379,16.3811038773938,15.1658745192845,20.3066560459715
22,25533,14.0,-0.1,1,94,1,-165,-144,-87,-118,-71,15.0,-52.5,0.0,-37.5,-15.0,51.36439260503921,44.92129681423389,39.1804780569645,30.8264670383641,23.334489415535604,13.651288890246699,20.5841687584461,18.001908782544,24.0322530477016,10.7053472808223
23,25534,14.15,-0.1,1,95,2,-72,-173,-101,95,-86,0.0,172.5,7.5,7.5,-30.0,36.0427178643249,36.891139242421296,32.1361644148204,27.7293219357362,21.2536630573615,9.00853891115941,9.194810584908529,9.079807050424359,9.36335809706769,7.1994505106341204
24,25545,15.8,-0.1,1,106,3,117,-6,-135,97,-78,7.5,180.0,-67.5,-135.0,60.0,27.555209888877698,2.02284688984599,4.53820668112883,4.391449466352641,0.37644730155443495,25.911290507396497,4.11993823845007,5.29636298937819,5.36660539333014,3.88373590844889
25,25546,15.95,-0.1,1,107,3,152,-114,-116,107,27,7.5,-165.0,-172.5,-135.0,37.5,31.638892912221397,13.8503849773298,14.984820452267098,5.46140460004722,3.1634626200633997,14.9450313620739,9.63521362410045,13.695721049002,6.4755992162045,5.8096046519760005
26,25547,16.1,-0.1,1,108,2,163,-123,160,-137,36,15.0,-7.5,-7.5,-120.0,22.5,32.271085781905306,29.9620514123186,17.2826118760104,2.50683765408331,2.13436630729819,8.55353981220944,25.845372351631198,8.288838894312809,5.3443122803590795,4.632819360451349
27,25548,16.25,-0.1,1,109,2,-128,161,179,-98,137,-15.0,7.5,30.0,97.5,75.0,36.761126481447,24.7908091911149,17.9176416521315,2.41920437354474,4.74867911978521,25.615776559405305,14.0775281006234,9.455535478489779,4.75936388259409,4.33971894799567
28,25549,16.4,-0.1,1,110,2,172,-131,-143,162,25,15.0,-7.5,-30.0,-7.5,-157.5,34.1794427673985,33.0666030824056,20.9904922326697,0.984783758544552,2.16557281573262,10.651053142025699,24.430822364461196,20.0250561801154,2.9700147333997595,5.35725426703341
29,25550,16.55,-0.1,1,111,2,174,-141,-152,-124,-16,7.5,-15.0,-37.5,-30.0,-7.5,31.951279980263802,33.3652615036889,21.8134487846514,2.49103935242056,3.5880099160466403,8.32371328529243,14.5789938027125,13.5615102456206,4.21843593770899,6.480094420175919
30,25551,16.7,-0.1,1,112,2,175,-142,-152,-9,34,15.0,-15.0,-37.5,7.5,165.0,34.7150301793296,33.894987976615894,23.640545465813798,2.48700648871437,2.62067280354222,9.85207836532605,17.6638167359317,12.2014211655034,3.51983915954404,5.3484663775655195
31,25552,16.85,-0.1,1,113,2,-156,-141,-143,31,2,-22.5,0.0,15.0,-52.5,15.0,44.625689732395,27.921983022628197,24.673197523989803,-0.374498233865154,5.95395702866909,18.257485220449897,10.819293457511598,11.023151605231499,3.43353514967718,9.421406067927029
