,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25573,20.0,-0.1,1,134,2,-155,-145,-119,46,-10,-112.5,-105.0,-112.5,-105.0,142.5,31.4336941974512,3.82381645356884,6.45721963938445,0.544997399227611,3.6657718076680803,18.561084850788,4.46894805717667,7.74207789401811,4.26724021481729,6.04608449179802
1,25574,20.15,-0.1,1,135,2,-155,-145,142,90,-101,-112.5,-97.5,-90.0,-90.0,-120.0,37.36833482529239,13.0818554121927,2.33305397137582,1.16669683358509,0.945112182636251,18.4131308007148,10.520697308887199,5.0879681744897995,3.94930880596583,3.29939189228487
2,25575,20.3,-0.1,1,136,2,-155,-171,-143,42,133,-112.5,-45.0,67.5,-75.0,-67.5,33.2295128898846,2.39599443493273,2.18116856783342,0.38418902548249895,-0.32981287915788504,18.412608125410603,4.30308770026945,4.756989902723441,3.03844009716563,3.4646299167712997
3,25576,20.45,-0.1,1,137,2,-156,-170,153,168,138,-112.5,-97.5,75.0,165.0,60.0,26.678614918354803,5.73286542349581,0.7907749229192971,1.79873502554921,1.26619055872487,18.414928758639,5.61107200470191,3.58726975141007,4.10299882250307,2.81868840448185
4,25577,20.6,-0.1,1,138,2,-156,123,149,-128,-116,-112.5,-105.0,-127.5,37.5,-150.0,26.286054312092098,3.3952795564110296,1.2977798643355,0.619902166021177,2.21903580397804,17.774928465113103,3.7372574655942596,4.08490676962718,3.0337701941557,3.6051714247346403
5,25578,20.75,-0.1,1,139,2,-156,-61,80,26,85,-112.5,-105.0,-82.5,22.5,75.0,27.479108913003397,15.238969670665501,2.6182139816525,3.7036555174829,0.193757616741095,18.337698800332802,8.941775094721711,4.5629102136226996,6.52547149668105,3.00454607156833
6,25579,20.9,-0.1,1,140,2,-157,-67,-146,6,-7,-112.5,-112.5,-90.0,150.0,-15.0,33.3191413137771,23.0183027428128,11.129338510252,4.32995116627251,3.1559482712557405,17.8680222467683,10.313281700210801,9.72943072727711,6.573177992044751,5.2982837413071
7,25580,21.05,-0.1,1,141,2,-154,-77,-111,-126,141,-97.5,-112.5,-105.0,-105.0,-30.0,22.586159263672105,13.8008390199101,13.090768831248699,0.949762583656252,1.7818516404158202,16.4464097896584,8.06427639535407,12.551228575244501,3.8783338094022204,4.12594051540324
8,25410,19.55,-0.25,2,131,2,-111,-151,-18,115,126,-105.0,-97.5,-112.5,157.5,-90.0,30.3475502436435,21.1351993717706,14.8415847400531,3.17310942352503,0.8487692547598729,22.371623942542897,17.642602314202897,15.1659609343016,6.09150070757072,3.0620753848441296
9,25411,19.7,-0.25,2,132,2,-154,-19,-115,-142,25,-112.5,-112.5,-105.0,-75.0,52.5,24.3444611176534,21.0538931123333,18.329536648607,6.565780681880259,2.30821545533388,18.259823166155698,22.1501807138715,18.3644049145818,7.85892381932124,3.23125904662709
10,25412,19.85,-0.25,2,133,2,-155,-143,85,-19,34,-112.5,-90.0,-7.5,-105.0,-112.5,34.5559802876712,5.34131656353026,-0.172332591625036,5.75120889370697,2.74731224238377,17.9625120391353,6.4561274858015505,2.8113490234904104,7.329327157425751,5.05869486330009
11,25413,20.0,-0.25,2,134,2,-155,-19,-107,-24,-121,-112.5,-112.5,-90.0,-105.0,-105.0,33.130395713630904,9.52559048650528,1.2130693663340801,1.33400159647209,2.14504821758351,17.9426927910095,9.64200259535499,3.50661838503358,2.90791288550189,4.236059328701
12,25414,20.15,-0.25,2,135,2,-158,-19,-23,99,146,-112.5,-105.0,-105.0,90.0,-105.0,21.2253899602508,9.295461181045539,9.26522224935661,2.57239136053994,1.990870878382,16.6617003973895,9.20882928523783,8.49905991170675,4.20889329673035,4.30962701032813
13,25415,20.3,-0.25,2,136,2,-155,-169,146,-63,-38,-112.5,-97.5,135.0,-75.0,-45.0,30.1946609561447,11.422687315832802,1.3466383711615901,0.481395516817201,2.16535841359672,18.0037922448363,9.903052973369439,4.23445657093549,3.18949007403189,4.03572246330238
14,25416,20.45,-0.25,2,137,2,-158,-148,-14,12,126,-112.5,-120.0,-112.5,-60.0,-15.0,29.128524391318198,13.702947324638,6.367783587675491,2.47844863292744,1.8068190542753702,16.5135589429106,12.8639344343156,9.427958334504721,6.38711252179181,4.00418499276965
15,25417,20.6,-0.25,2,138,2,-155,-143,-5,-15,-11,-105.0,-157.5,127.5,172.5,-105.0,26.450608285498,0.257172372059188,2.33026199174554,1.77966050456359,2.7552776732102298,17.9554485752422,3.30747343797383,5.509442796274019,4.05991787810504,3.74800744626971
16,25418,20.75,-0.25,2,139,2,-156,-97,1,-106,-66,-105.0,-112.5,-112.5,-172.5,90.0,28.8970495838589,5.4901233792159605,2.56504194352465,4.11322818724796,1.14161170194734,17.9684978978511,4.18571399551857,3.9799459940918,7.221498675543129,3.43389772879998
17,25419,20.9,-0.25,2,140,2,-158,-106,-70,140,-82,-112.5,-112.5,-112.5,-22.5,180.0,30.2425324230386,21.199599387847897,4.6248896692161505,3.3513151319742205,2.0657798905659197,16.4955033508536,20.4674745730283,4.70925360357519,3.4414387827754904,4.14946598136223
18,25420,21.05,-0.25,2,141,2,-157,-105,-80,97,-115,-112.5,-112.5,-97.5,-67.5,-90.0,29.546927213685898,21.298795291872,12.2937762949949,2.4734848010791097,4.04503502691011,16.845310168561,11.2053338597618,8.641962465276869,5.3245759460894195,5.0732404973586505
19,25248,19.25,-0.4,3,129,2,-151,-19,-103,-113,-140,-105.0,-112.5,-120.0,-82.5,-15.0,23.311144768288802,14.3292532299428,6.41462532274011,1.28144802660717,1.81512427801954,14.0348990841004,12.1479433644258,6.47112345978982,3.84526214346295,4.204684585963641
20,25249,19.4,-0.4,3,130,2,-108,-156,-144,13,-31,-105.0,-67.5,-90.0,105.0,15.0,31.397837643768202,24.1840483857055,7.39476171262447,0.142590670356583,1.52060071382971,20.1867099529139,15.754617007929198,8.1378364961329,3.04345252901088,3.19868128982771
21,25250,19.55,-0.4,3,131,2,-155,-114,-144,124,93,-112.5,-105.0,-75.0,-90.0,-60.0,35.1850413082015,19.3727323765524,4.96280256722116,-0.350203809639822,1.56426757417211,18.016821155149,16.4798625626944,6.86262351737806,2.9577764768677404,3.64444170144838
22,25251,19.7,-0.4,3,132,2,-155,-15,-116,32,24,-112.5,-105.0,-105.0,-105.0,-67.5,21.702595430811,18.62712704552,3.60862243174734,1.51262029287221,0.21830082230513898,18.083293177514,19.6999039681122,5.84050358487903,3.3735502003815605,2.81579510379881
23,25252,19.85,-0.4,3,133,2,-156,-148,-18,-117,-78,-112.5,-97.5,-105.0,-112.5,-30.0,29.5306458178129,10.215135325571302,12.3291352419474,4.1077702478683005,1.7546294190293,17.056238697270004,7.419305552840691,10.3485738950007,5.584492371518719,4.1471401289428
24,25253,20.0,-0.4,3,134,2,-156,122,152,-19,49,-112.5,-150.0,82.5,142.5,-157.5,39.4389309846392,3.76469175747133,1.41740144192789,2.78600442346976,1.32854813791704,17.841367761195603,4.759055775881889,3.7607446584986297,5.6394859466203,4.52986786000716
25,25254,20.15,-0.4,3,135,2,-157,-18,-23,-18,-45,-112.5,-90.0,-90.0,-105.0,157.5,32.0714546685504,8.15762056289191,5.57007016270995,0.7468489989564091,2.05562908427834,17.714604137389,6.498706460897571,4.94232738237433,3.1563259946166404,3.16732162033355
26,25255,20.3,-0.4,3,136,2,-155,-16,128,-141,111,-97.5,-105.0,-97.5,165.0,-97.5,24.6400213989435,10.861292448591099,3.32435228471172,2.7318032381513704,3.29484348466013,18.8521078052609,10.84683194737,5.13823949633855,4.3783234703661,5.17596356101261
27,25256,20.45,-0.4,3,137,2,-155,-170,-26,-20,-88,-90.0,-105.0,-105.0,-105.0,30.0,21.793385945662603,7.46902525643588,2.12211400073448,6.695638078253349,2.60832667916043,18.8694110077295,5.53708956326237,5.72380941527264,7.9295557568364,4.99935878916986
28,25257,20.6,-0.4,3,138,2,-157,-145,-43,-5,142,-112.5,-90.0,112.5,-82.5,-120.0,31.313816137041997,10.889788917619299,2.94860294964002,2.53242214325121,0.5266645677457971,17.7242963166685,11.733794168485902,5.498132266490481,5.09701773736555,3.0564431187712997
29,25258,20.75,-0.4,3,139,2,-156,-102,-54,-126,-11,-97.5,-60.0,-105.0,-105.0,75.0,25.7271485250807,9.40986602419508,4.655928782752941,2.81192676110004,2.24479247871784,17.874380033578202,8.74071134794498,6.136358914251501,5.43780785491804,5.21887119920131
30,25259,20.9,-0.4,3,140,2,-158,-108,-54,85,65,-112.5,-112.5,-105.0,15.0,7.5,27.2552372652237,25.7784359778432,8.59874313834888,-0.687916660582573,2.28571522566375,14.8366275949501,20.653483588415398,6.633584229977269,2.87557041157892,5.40047970778311
