,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
0,25521,12.2,-0.1,1,82,1,-119,-43,-130,-157,-156,67.5,52.5,135.0,67.5,45.0,46.37818789522039,38.3359912410771,42.000057805540706,29.806272706642606,20.979260443142,23.2080673849513,10.197552912910199,19.0490535399972,8.29376977895802,8.54593961268661
1,25359,11.9,-0.25,2,80,1,-118,-127,-160,81,134,67.5,150.0,67.5,-45.0,112.5,45.863703440162894,37.062797101139395,31.7866045166922,-4.05771881145284,-1.8267164810328,22.4456308153482,14.6263720927824,9.67402549718033,3.75121413740839,5.88098028617589
2,25360,12.05,-0.25,2,81,1,-119,-36,-130,28,-53,67.5,52.5,135.0,67.5,45.0,47.0049512676914,38.579963228556,38.3069511142626,29.0221316009589,21.5138348562638,25.5710994185026,13.642602681579001,17.1060176377274,14.490105652283999,6.40057903955984
3,25361,12.2,-0.25,2,82,1,-119,-33,-163,-130,135,67.5,52.5,67.5,142.5,52.5,44.645472521418704,42.6931225511928,30.6579135907585,34.1651738578962,17.372980915751,23.231853368605197,15.7044345121239,11.1360621633742,15.4163679479509,11.259654317720198
4,25362,12.35,-0.25,2,83,1,-121,-165,-131,-160,-33,150.0,67.5,135.0,82.5,60.0,42.6605201333516,39.1118772716559,39.5885547360956,34.277841374606105,25.5178494476226,24.31489834961,6.15325953735867,17.714805484029398,9.11395419059146,11.890124583703198
5,25363,12.5,-0.25,2,84,1,-120,-163,-37,-102,-131,60.0,75.0,52.5,-15.0,127.5,46.363004245143,43.4931292138943,33.2064204981643,37.6901446509776,33.0359267268248,25.1099127088656,12.1114012193364,11.9058664075717,22.1773699133426,21.01180222519
6,25364,12.65,-0.25,2,85,1,-122,-121,-164,-131,-39,60.0,60.0,75.0,142.5,135.0,40.7434078684664,37.9480389361182,40.4071577154908,35.442618176317296,27.7960558221703,9.775599260006949,9.32734431152543,11.7273393174088,17.6194069463338,9.90332784863538
7,25197,11.6,-0.4,3,78,1,-116,-128,-39,-106,-30,67.5,127.5,45.0,150.0,52.5,49.390194346686705,44.0299526484695,38.025259765182206,21.614256599437297,16.5744089902685,26.1148947063695,24.051603923343002,15.838429341268101,11.2273447092503,9.71085526447318
8,25198,11.75,-0.4,3,79,1,-41,-118,-128,29,-161,45.0,67.5,135.0,67.5,75.0,48.6349039215635,43.6178957181386,34.7274203119759,28.0594746872067,21.2926887191298,15.5483873995102,25.4326791322893,19.4339245960646,12.934125061887801,7.74771609148777
9,25199,11.9,-0.4,3,80,1,-121,-112,-38,-54,-162,142.5,52.5,52.5,45.0,75.0,49.6118689846062,35.2481689761991,35.6038496873133,29.6577493408287,30.435525241735803,25.9132743803092,8.04512364114708,10.676197732637,9.098506456182449,13.3760467977916
